arch,hidden_size,regularizer,DRS_mean,DRS_std,DRS_sem,n_seeds
fc3rev_h8,8,weight_decay,0.994789,0.001089,0.000487,5
fc3rev_h8,8,mne_l2,0.997193,0.001058,0.000473,5
fc3rev_h8,8,no_regularization,0.992814,0.001584,0.000709,5
fc3rev_h16,16,weight_decay,0.995131,0.001409,0.000630,5
fc3rev_h16,16,mne_l2,0.996698,0.001136,0.000508,5
fc3rev_h16,16,no_regularization,0.994734,0.002750,0.001230,5
fc3rev_h32,32,weight_decay,0.995485,0.000923,0.000413,5
fc3rev_h32,32,mne_l2,0.995791,0.001128,0.000505,5
fc3rev_h32,32,no_regularization,0.995389,0.001260,0.000564,5
fc3rev_h64,64,weight_decay,0.996175,0.001410,0.000631,5
fc3rev_h64,64,mne_l2,0.996036,0.000869,0.000388,5
fc3rev_h64,64,no_regularization,0.995237,0.001450,0.000649,5
fc3rev_h128,128,weight_decay,0.995435,0.001939,0.000867,5
fc3rev_h128,128,mne_l2,0.996246,0.000467,0.000209,5
fc3rev_h128,128,no_regularization,0.995359,0.001167,0.000522,5
fc3rev_h256,256,weight_decay,0.996337,0.000957,0.000428,5
fc3rev_h256,256,mne_l2,0.994806,0.001723,0.000770,5
fc3rev_h256,256,no_regularization,0.994150,0.001328,0.000594,5
