dataset,variant,variant_label,regularizer,reg_coeff,hinge_tau,sigma,n,acc_mean,acc_std
cifar10,l2_numerator_detach,mne_l2_numerator_detach_lambda,mne_l2,0.0001,none,0,1,45.150000,0.000000
cifar10,l2_numerator_detach,mne_l2_numerator_detach_lambda,mne_l2,0.0001,none,0.05,1,45.050000,0.000000
cifar10,l2_numerator_detach,mne_l2_numerator_detach_lambda,mne_l2,0.0001,none,0.1,1,45.110000,0.000000
cifar10,l2_numerator_detach,mne_l2_numerator_detach_lambda,mne_l2,0.0001,none,0.15,1,45.140000,0.000000
cifar10,l2_numerator_detach,mne_l2_numerator_detach_lambda,mne_l2,0.0001,none,0.2,1,45.000000,0.000000
cifar10,l2_numerator_detach,mne_l2_numerator_detach_lambda,mne_l2,0.0001,none,0.25,1,45.130000,0.000000
cifar10,l2_numerator_detach,mne_l2_numerator_detach_lambda,mne_l2,0.0001,none,0.3,1,45.160000,0.000000
cifar10,l2_numerator_detach,mne_l2_numerator_detach_lambda,mne_l2,0.0001,none,0.35,1,45.170000,0.000000
cifar10,l2_numerator_detach,mne_l2_numerator_detach_lambda,mne_l2,0.0001,none,0.4,1,45.150000,0.000000
cifar10,l2_numerator_detach,mne_l2_numerator_detach_lambda,mne_l2,0.0001,none,0.45,1,45.040000,0.000000
cifar10,l2_numerator_detach,mne_l2_numerator_detach_lambda,mne_l2,0.0001,none,0.5,1,45.090000,0.000000
cifar10,l2_numerator_detach,mne_l2_numerator_detach_lambda,mne_l2,0.0001,none,0.55,1,45.040000,0.000000
cifar10,l2_numerator_detach,mne_l2_numerator_detach_lambda,mne_l2,0.0001,none,0.6,1,45.130000,0.000000
cifar10,l2_numerator_detach,mne_l2_numerator_detach_lambda,mne_l2,0.0001,none,0.65,1,45.140000,0.000000
cifar10,l2_numerator_detach,mne_l2_numerator_detach_lambda,mne_l2,0.0001,none,0.7,1,45.250000,0.000000
cifar10,l2_numerator_detach,mne_l2_numerator_detach_lambda,mne_l2,0.0001,none,0.75,1,45.160000,0.000000
cifar10,l2_numerator_detach,mne_l2_numerator_detach_lambda,mne_l2,0.0001,none,0.8,1,45.190000,0.000000
cifar10,l2_numerator_detach,mne_l2_numerator_detach_lambda,mne_l2,0.0001,none,0.85,1,45.000000,0.000000
cifar10,l2_numerator_detach,mne_l2_numerator_detach_lambda,mne_l2,0.0001,none,0.9,1,45.300000,0.000000
cifar10,l2_numerator_detach,mne_l2_numerator_detach_lambda,mne_l2,0.0001,none,0.95,1,44.930000,0.000000
cifar10,l2_numerator_detach,mne_l2_numerator_detach_lambda,mne_l2,0.0001,none,1,1,45.000000,0.000000
