dataset,variant,variant_label,regularizer,reg_coeff,hinge_tau,sigma,n,acc_mean,acc_std
cifar10,l2_numerator,mne_l2_numerator_lambda_trainable,mne_l2,0.0001,none,0,1,22.530000,0.000000
cifar10,l2_numerator,mne_l2_numerator_lambda_trainable,mne_l2,0.0001,none,0.05,1,22.330000,0.000000
cifar10,l2_numerator,mne_l2_numerator_lambda_trainable,mne_l2,0.0001,none,0.1,1,22.250000,0.000000
cifar10,l2_numerator,mne_l2_numerator_lambda_trainable,mne_l2,0.0001,none,0.15,1,22.310000,0.000000
cifar10,l2_numerator,mne_l2_numerator_lambda_trainable,mne_l2,0.0001,none,0.2,1,22.270000,0.000000
cifar10,l2_numerator,mne_l2_numerator_lambda_trainable,mne_l2,0.0001,none,0.25,1,22.380000,0.000000
cifar10,l2_numerator,mne_l2_numerator_lambda_trainable,mne_l2,0.0001,none,0.3,1,22.520000,0.000000
cifar10,l2_numerator,mne_l2_numerator_lambda_trainable,mne_l2,0.0001,none,0.35,1,22.430000,0.000000
cifar10,l2_numerator,mne_l2_numerator_lambda_trainable,mne_l2,0.0001,none,0.4,1,22.340000,0.000000
cifar10,l2_numerator,mne_l2_numerator_lambda_trainable,mne_l2,0.0001,none,0.45,1,22.340000,0.000000
cifar10,l2_numerator,mne_l2_numerator_lambda_trainable,mne_l2,0.0001,none,0.5,1,22.420000,0.000000
cifar10,l2_numerator,mne_l2_numerator_lambda_trainable,mne_l2,0.0001,none,0.55,1,22.220000,0.000000
cifar10,l2_numerator,mne_l2_numerator_lambda_trainable,mne_l2,0.0001,none,0.6,1,22.410000,0.000000
cifar10,l2_numerator,mne_l2_numerator_lambda_trainable,mne_l2,0.0001,none,0.65,1,22.200000,0.000000
cifar10,l2_numerator,mne_l2_numerator_lambda_trainable,mne_l2,0.0001,none,0.7,1,22.390000,0.000000
cifar10,l2_numerator,mne_l2_numerator_lambda_trainable,mne_l2,0.0001,none,0.75,1,22.290000,0.000000
cifar10,l2_numerator,mne_l2_numerator_lambda_trainable,mne_l2,0.0001,none,0.8,1,22.270000,0.000000
cifar10,l2_numerator,mne_l2_numerator_lambda_trainable,mne_l2,0.0001,none,0.85,1,22.280000,0.000000
cifar10,l2_numerator,mne_l2_numerator_lambda_trainable,mne_l2,0.0001,none,0.9,1,22.270000,0.000000
cifar10,l2_numerator,mne_l2_numerator_lambda_trainable,mne_l2,0.0001,none,0.95,1,22.590000,0.000000
cifar10,l2_numerator,mne_l2_numerator_lambda_trainable,mne_l2,0.0001,none,1,1,22.410000,0.000000
