arch,hidden_size,regularizer,if_mode,L,T,seed,acc,checkpoint
fc3rev_h4,4,weight_decay,normal,4,0,40,61.140000,mnist-checkpoints/fc3rev_h4_L[4]_strict_seed40_ablation_wd_l4_fc3rev_h4.pth
fc3rev_h4,4,weight_decay,normal,4,16,40,64.240000,mnist-checkpoints/fc3rev_h4_L[4]_strict_seed40_ablation_wd_l4_fc3rev_h4.pth
fc3rev_h4,4,weight_decay,normal,4,0,41,89.080000,mnist-checkpoints/fc3rev_h4_L[4]_strict_seed41_ablation_wd_l4_fc3rev_h4.pth
fc3rev_h4,4,weight_decay,normal,4,16,41,89.770000,mnist-checkpoints/fc3rev_h4_L[4]_strict_seed41_ablation_wd_l4_fc3rev_h4.pth
fc3rev_h4,4,weight_decay,normal,4,0,42,84.760000,mnist-checkpoints/fc3rev_h4_L[4]_strict_seed42_ablation_wd_l4_fc3rev_h4.pth
fc3rev_h4,4,weight_decay,normal,4,16,42,85.580000,mnist-checkpoints/fc3rev_h4_L[4]_strict_seed42_ablation_wd_l4_fc3rev_h4.pth
fc3rev_h4,4,weight_decay,normal,4,0,43,87.260000,mnist-checkpoints/fc3rev_h4_L[4]_strict_seed43_ablation_wd_l4_fc3rev_h4.pth
fc3rev_h4,4,weight_decay,normal,4,16,43,87.400000,mnist-checkpoints/fc3rev_h4_L[4]_strict_seed43_ablation_wd_l4_fc3rev_h4.pth
fc3rev_h4,4,weight_decay,normal,4,0,44,86.730000,mnist-checkpoints/fc3rev_h4_L[4]_strict_seed44_ablation_wd_l4_fc3rev_h4.pth
fc3rev_h4,4,weight_decay,normal,4,16,44,87.440000,mnist-checkpoints/fc3rev_h4_L[4]_strict_seed44_ablation_wd_l4_fc3rev_h4.pth
fc3rev_h4,4,weight_decay,normal,16,0,40,11.350000,mnist-checkpoints/fc3rev_h4_L[16]_strict_seed40_ablation_wd_l16_fc3rev_h4.pth
fc3rev_h4,4,weight_decay,normal,16,16,40,11.350000,mnist-checkpoints/fc3rev_h4_L[16]_strict_seed40_ablation_wd_l16_fc3rev_h4.pth
fc3rev_h4,4,weight_decay,normal,16,0,41,40.140000,mnist-checkpoints/fc3rev_h4_L[16]_strict_seed41_ablation_wd_l16_fc3rev_h4.pth
fc3rev_h4,4,weight_decay,normal,16,16,41,40.140000,mnist-checkpoints/fc3rev_h4_L[16]_strict_seed41_ablation_wd_l16_fc3rev_h4.pth
fc3rev_h4,4,weight_decay,normal,16,0,42,88.070000,mnist-checkpoints/fc3rev_h4_L[16]_strict_seed42_ablation_wd_l16_fc3rev_h4.pth
