arch,hidden_size,regularizer,RS_mean,RS_std,RS_sem,n_seeds
fc3rev_h4,4,weight_decay,0.987850,0.014630,0.006543,5
fc3rev_h4,4,mne_l2,0.978630,0.016603,0.007425,5
fc3rev_h4,4,no_regularization,0.975756,0.029574,0.013226,5
fc3rev_h8,8,weight_decay,0.990721,0.007682,0.003435,5
fc3rev_h8,8,mne_l2,0.995300,0.000946,0.000423,5
fc3rev_h8,8,no_regularization,0.981077,0.005735,0.002565,5
fc3rev_h16,16,weight_decay,0.995828,0.002126,0.000951,5
fc3rev_h16,16,mne_l2,0.997585,0.000555,0.000248,5
fc3rev_h16,16,no_regularization,0.989850,0.004740,0.002120,5
fc3rev_h32,32,weight_decay,0.998371,0.000754,0.000337,5
fc3rev_h32,32,mne_l2,0.998333,0.000379,0.000169,5
fc3rev_h32,32,no_regularization,0.995524,0.001203,0.000538,5
fc3rev_h64,64,weight_decay,0.998817,0.000211,0.000094,5
fc3rev_h64,64,mne_l2,0.998228,0.000268,0.000120,5
fc3rev_h64,64,no_regularization,0.996071,0.000739,0.000330,5
fc3rev_h128,128,weight_decay,0.998958,0.000554,0.000248,5
fc3rev_h128,128,mne_l2,0.999067,0.000287,0.000128,5
fc3rev_h128,128,no_regularization,0.997718,0.000212,0.000095,5
fc3rev_h256,256,weight_decay,0.998949,0.000608,0.000272,5
fc3rev_h256,256,mne_l2,0.998810,0.000500,0.000224,5
fc3rev_h256,256,no_regularization,0.998135,0.000515,0.000230,5
