arch,hidden_size,regularizer,if_mode,L,T,seed,acc,checkpoint
fc3rev_h4,4,weight_decay,rate_uniform,4,0,40,89.510000,mnist-checkpoints/fc3rev_h4_L[4]_strict_seed40_ablation_wd_l4_fc3rev_h4.pth
fc3rev_h4,4,weight_decay,rate_uniform,4,16,40,90.230000,mnist-checkpoints/fc3rev_h4_L[4]_strict_seed40_ablation_wd_l4_fc3rev_h4.pth
fc3rev_h4,4,weight_decay,rate_uniform,4,0,41,82.500000,mnist-checkpoints/fc3rev_h4_L[4]_strict_seed41_ablation_wd_l4_fc3rev_h4.pth
fc3rev_h4,4,weight_decay,rate_uniform,4,16,41,83.500000,mnist-checkpoints/fc3rev_h4_L[4]_strict_seed41_ablation_wd_l4_fc3rev_h4.pth
fc3rev_h4,4,weight_decay,rate_uniform,4,0,42,84.000000,mnist-checkpoints/fc3rev_h4_L[4]_strict_seed42_ablation_wd_l4_fc3rev_h4.pth
fc3rev_h4,4,weight_decay,rate_uniform,4,16,42,84.690000,mnist-checkpoints/fc3rev_h4_L[4]_strict_seed42_ablation_wd_l4_fc3rev_h4.pth
fc3rev_h4,4,weight_decay,rate_uniform,4,0,43,86.540000,mnist-checkpoints/fc3rev_h4_L[4]_strict_seed43_ablation_wd_l4_fc3rev_h4.pth
fc3rev_h4,4,weight_decay,rate_uniform,4,16,43,87.550000,mnist-checkpoints/fc3rev_h4_L[4]_strict_seed43_ablation_wd_l4_fc3rev_h4.pth
fc3rev_h4,4,weight_decay,rate_uniform,4,0,44,85.460000,mnist-checkpoints/fc3rev_h4_L[4]_strict_seed44_ablation_wd_l4_fc3rev_h4.pth
fc3rev_h4,4,weight_decay,rate_uniform,4,16,44,86.270000,mnist-checkpoints/fc3rev_h4_L[4]_strict_seed44_ablation_wd_l4_fc3rev_h4.pth
fc3rev_h4,4,weight_decay,rate_uniform,16,0,40,85.140000,mnist-checkpoints/fc3rev_h4_L[16]_strict_seed40_ablation_wd_l16_fc3rev_h4.pth
fc3rev_h4,4,weight_decay,rate_uniform,16,16,40,85.140000,mnist-checkpoints/fc3rev_h4_L[16]_strict_seed40_ablation_wd_l16_fc3rev_h4.pth
fc3rev_h4,4,weight_decay,rate_uniform,16,0,41,84.440000,mnist-checkpoints/fc3rev_h4_L[16]_strict_seed41_ablation_wd_l16_fc3rev_h4.pth
fc3rev_h4,4,weight_decay,rate_uniform,16,16,41,84.440000,mnist-checkpoints/fc3rev_h4_L[16]_strict_seed41_ablation_wd_l16_fc3rev_h4.pth
fc3rev_h4,4,weight_decay,rate_uniform,16,0,42,81.910000,mnist-checkpoints/fc3rev_h4_L[16]_strict_seed42_ablation_wd_l16_fc3rev_h4.pth
fc3rev_h4,4,weight_decay,rate_uniform,16,16,42,81.910000,mnist-checkpoints/fc3rev_h4_L[16]_strict_seed42_ablation_wd_l16_fc3rev_h4.pth
fc3rev_h4,4,weight_decay,rate_uniform,16,0,43,81.090000,mnist-checkpoints/fc3rev_h4_L[16]_strict_seed43_ablation_wd_l16_fc3rev_h4.pth
fc3rev_h4,4,weight_decay,rate_uniform,16,16,43,81.090000,mnist-checkpoints/fc3rev_h4_L[16]_strict_seed43_ablation_wd_l16_fc3rev_h4.pth
fc3rev_h4,4,weight_decay,rate_uniform,16,0,44,11.350000,mnist-checkpoints/fc3rev_h4_L[16]_strict_seed44_ablation_wd_l16_fc3rev_h4.pth
fc3rev_h4,4,weight_decay,rate_uniform,16,16,44,11.350000,mnist-checkpoints/fc3rev_h4_L[16]_strict_seed44_ablation_wd_l16_fc3rev_h4.pth
fc3rev_h8,8,weight_decay,rate_uniform,4,0,40,92.730000,mnist-checkpoints/fc3rev_h8_L[4]_strict_seed40_ablation_wd_l4_fc3rev_h8.pth
fc3rev_h8,8,weight_decay,rate_uniform,4,16,40,93.070000,mnist-checkpoints/fc3rev_h8_L[4]_strict_seed40_ablation_wd_l4_fc3rev_h8.pth
fc3rev_h8,8,weight_decay,rate_uniform,4,0,41,95.100000,mnist-checkpoints/fc3rev_h8_L[4]_strict_seed41_ablation_wd_l4_fc3rev_h8.pth
