arch,hidden_size,regularizer,if_mode,L,T,sigma,acc_mean,acc_std,n_seeds
fc3rev_h4,4,mne_l2,rate_uniform,16,16,0.00,81.580000,8.764157,5
fc3rev_h4,4,mne_l2,rate_uniform,16,16,0.05,81.518000,8.824283,5
fc3rev_h4,4,mne_l2,rate_uniform,16,16,0.10,81.498000,8.885402,5
fc3rev_h4,4,mne_l2,rate_uniform,16,16,0.15,81.514000,8.888618,5
fc3rev_h4,4,mne_l2,rate_uniform,16,16,0.20,81.456000,8.864450,5
fc3rev_h4,4,mne_l2,rate_uniform,16,16,0.25,81.330000,8.886622,5
fc3rev_h4,4,mne_l2,rate_uniform,16,16,0.30,81.368000,8.917150,5
fc3rev_h4,4,mne_l2,rate_uniform,16,16,0.35,81.274000,8.857758,5
fc3rev_h4,4,mne_l2,rate_uniform,16,16,0.40,81.268000,8.896208,5
fc3rev_h4,4,mne_l2,rate_uniform,16,16,0.45,81.064000,9.018214,5
fc3rev_h4,4,mne_l2,rate_uniform,16,16,0.50,81.206000,9.043170,5
fc3rev_h4,4,mne_l2,rate_uniform,16,16,0.55,81.192000,8.865327,5
fc3rev_h4,4,mne_l2,rate_uniform,16,16,0.60,81.004000,9.175275,5
fc3rev_h4,4,mne_l2,rate_uniform,16,16,0.65,80.962000,9.140936,5
fc3rev_h4,4,mne_l2,rate_uniform,16,16,0.70,80.816000,9.140333,5
fc3rev_h4,4,mne_l2,rate_uniform,16,16,0.75,80.736000,9.078680,5
fc3rev_h4,4,mne_l2,rate_uniform,16,16,0.80,80.770000,9.201158,5
fc3rev_h4,4,mne_l2,rate_uniform,16,16,0.85,80.448000,9.236789,5
fc3rev_h4,4,mne_l2,rate_uniform,16,16,0.90,80.478000,9.164402,5
fc3rev_h4,4,mne_l2,rate_uniform,16,16,0.95,80.286000,9.451583,5
fc3rev_h4,4,mne_l2,rate_uniform,16,16,1.00,80.336000,9.348846,5
fc3rev_h4,4,no_regularization,rate_uniform,16,16,0.00,78.626000,7.452488,5
fc3rev_h4,4,no_regularization,rate_uniform,16,16,0.05,78.352000,7.623199,5
fc3rev_h4,4,no_regularization,rate_uniform,16,16,0.10,78.000000,7.696392,5
fc3rev_h4,4,no_regularization,rate_uniform,16,16,0.15,77.428000,8.206002,5
fc3rev_h4,4,no_regularization,rate_uniform,16,16,0.20,76.840000,8.647780,5
fc3rev_h4,4,no_regularization,rate_uniform,16,16,0.25,75.438000,9.517028,5
fc3rev_h4,4,no_regularization,rate_uniform,16,16,0.30,74.060000,9.785175,5
fc3rev_h4,4,no_regularization,rate_uniform,16,16,0.35,72.858000,10.131442,5
fc3rev_h4,4,no_regularization,rate_uniform,16,16,0.40,71.256000,11.029784,5
fc3rev_h4,4,no_regularization,rate_uniform,16,16,0.45,69.764000,11.461424,5
fc3rev_h4,4,no_regularization,rate_uniform,16,16,0.50,68.280000,11.457563,5
fc3rev_h4,4,no_regularization,rate_uniform,16,16,0.55,66.728000,11.881480,5
fc3rev_h4,4,no_regularization,rate_uniform,16,16,0.60,65.014000,11.807258,5
fc3rev_h4,4,no_regularization,rate_uniform,16,16,0.65,63.564000,12.064364,5
fc3rev_h4,4,no_regularization,rate_uniform,16,16,0.70,61.920000,12.371101,5
fc3rev_h4,4,no_regularization,rate_uniform,16,16,0.75,60.284000,11.745460,5
fc3rev_h4,4,no_regularization,rate_uniform,16,16,0.80,58.804000,12.373139,5
fc3rev_h4,4,no_regularization,rate_uniform,16,16,0.85,57.152000,12.224071,5
fc3rev_h4,4,no_regularization,rate_uniform,16,16,0.90,55.932000,12.055947,5
fc3rev_h4,4,no_regularization,rate_uniform,16,16,0.95,54.980000,12.153534,5
fc3rev_h4,4,no_regularization,rate_uniform,16,16,1.00,53.446000,11.537791,5
fc3rev_h4,4,weight_decay,rate_uniform,16,16,0.00,68.786000,32.152072,5
fc3rev_h4,4,weight_decay,rate_uniform,16,16,0.05,68.694000,32.101266,5
fc3rev_h4,4,weight_decay,rate_uniform,16,16,0.10,68.556000,32.023547,5
fc3rev_h4,4,weight_decay,rate_uniform,16,16,0.15,68.490000,31.986041,5
fc3rev_h4,4,weight_decay,rate_uniform,16,16,0.20,68.046000,31.741246,5
fc3rev_h4,4,weight_decay,rate_uniform,16,16,0.25,67.814000,31.623775,5
fc3rev_h4,4,weight_decay,rate_uniform,16,16,0.30,67.130000,31.259406,5
fc3rev_h4,4,weight_decay,rate_uniform,16,16,0.35,66.502000,30.926632,5
fc3rev_h4,4,weight_decay,rate_uniform,16,16,0.40,66.002000,30.664360,5
fc3rev_h4,4,weight_decay,rate_uniform,16,16,0.45,65.376000,30.358128,5
fc3rev_h4,4,weight_decay,rate_uniform,16,16,0.50,64.432000,29.880315,5
fc3rev_h4,4,weight_decay,rate_uniform,16,16,0.55,63.920000,29.637395,5
fc3rev_h4,4,weight_decay,rate_uniform,16,16,0.60,62.644000,29.047200,5
fc3rev_h4,4,weight_decay,rate_uniform,16,16,0.65,61.958000,28.695633,5
fc3rev_h4,4,weight_decay,rate_uniform,16,16,0.70,60.890000,28.161256,5
fc3rev_h4,4,weight_decay,rate_uniform,16,16,0.75,60.144000,27.866115,5
fc3rev_h4,4,weight_decay,rate_uniform,16,16,0.80,59.320000,27.430977,5
fc3rev_h4,4,weight_decay,rate_uniform,16,16,0.85,57.940000,26.795031,5
fc3rev_h4,4,weight_decay,rate_uniform,16,16,0.90,57.204000,26.507879,5
fc3rev_h4,4,weight_decay,rate_uniform,16,16,0.95,55.988000,26.148838,5
fc3rev_h4,4,weight_decay,rate_uniform,16,16,1.00,55.254000,25.491607,5
fc3rev_h8,8,mne_l2,rate_uniform,16,16,0.00,91.560000,2.570729,5
fc3rev_h8,8,mne_l2,rate_uniform,16,16,0.05,91.572000,2.590496,5
fc3rev_h8,8,mne_l2,rate_uniform,16,16,0.10,91.542000,2.560131,5
fc3rev_h8,8,mne_l2,rate_uniform,16,16,0.15,91.502000,2.615640,5
fc3rev_h8,8,mne_l2,rate_uniform,16,16,0.20,91.534000,2.552730,5
fc3rev_h8,8,mne_l2,rate_uniform,16,16,0.25,91.466000,2.649185,5
fc3rev_h8,8,mne_l2,rate_uniform,16,16,0.30,91.496000,2.538903,5
fc3rev_h8,8,mne_l2,rate_uniform,16,16,0.35,91.450000,2.545044,5
fc3rev_h8,8,mne_l2,rate_uniform,16,16,0.40,91.402000,2.524920,5
fc3rev_h8,8,mne_l2,rate_uniform,16,16,0.45,91.372000,2.604625,5
fc3rev_h8,8,mne_l2,rate_uniform,16,16,0.50,91.340000,2.564089,5
fc3rev_h8,8,mne_l2,rate_uniform,16,16,0.55,91.248000,2.510153,5
fc3rev_h8,8,mne_l2,rate_uniform,16,16,0.60,91.168000,2.654895,5
fc3rev_h8,8,mne_l2,rate_uniform,16,16,0.65,91.192000,2.632844,5
fc3rev_h8,8,mne_l2,rate_uniform,16,16,0.70,91.236000,2.606920,5
fc3rev_h8,8,mne_l2,rate_uniform,16,16,0.75,91.070000,2.633363,5
fc3rev_h8,8,mne_l2,rate_uniform,16,16,0.80,91.078000,2.760973,5
fc3rev_h8,8,mne_l2,rate_uniform,16,16,0.85,91.052000,2.705295,5
fc3rev_h8,8,mne_l2,rate_uniform,16,16,0.90,90.950000,2.694318,5
fc3rev_h8,8,mne_l2,rate_uniform,16,16,0.95,90.850000,2.762463,5
fc3rev_h8,8,mne_l2,rate_uniform,16,16,1.00,90.910000,2.733340,5
fc3rev_h8,8,no_regularization,rate_uniform,16,16,0.00,93.016000,0.981443,5
fc3rev_h8,8,no_regularization,rate_uniform,16,16,0.05,92.930000,0.972214,5
fc3rev_h8,8,no_regularization,rate_uniform,16,16,0.10,92.780000,1.046231,5
fc3rev_h8,8,no_regularization,rate_uniform,16,16,0.15,92.710000,1.084274,5
fc3rev_h8,8,no_regularization,rate_uniform,16,16,0.20,92.394000,1.081333,5
fc3rev_h8,8,no_regularization,rate_uniform,16,16,0.25,92.154000,1.167874,5
fc3rev_h8,8,no_regularization,rate_uniform,16,16,0.30,91.984000,1.304772,5
fc3rev_h8,8,no_regularization,rate_uniform,16,16,0.35,91.524000,1.289876,5
fc3rev_h8,8,no_regularization,rate_uniform,16,16,0.40,90.914000,1.413252,5
fc3rev_h8,8,no_regularization,rate_uniform,16,16,0.45,90.410000,1.555555,5
fc3rev_h8,8,no_regularization,rate_uniform,16,16,0.50,89.892000,1.835421,5
fc3rev_h8,8,no_regularization,rate_uniform,16,16,0.55,89.240000,1.885882,5
fc3rev_h8,8,no_regularization,rate_uniform,16,16,0.60,88.424000,2.230029,5
fc3rev_h8,8,no_regularization,rate_uniform,16,16,0.65,87.634000,2.459762,5
fc3rev_h8,8,no_regularization,rate_uniform,16,16,0.70,86.702000,2.450514,5
fc3rev_h8,8,no_regularization,rate_uniform,16,16,0.75,85.556000,3.073244,5
fc3rev_h8,8,no_regularization,rate_uniform,16,16,0.80,84.648000,3.250303,5
fc3rev_h8,8,no_regularization,rate_uniform,16,16,0.85,83.538000,3.981503,5
fc3rev_h8,8,no_regularization,rate_uniform,16,16,0.90,82.548000,3.766068,5
fc3rev_h8,8,no_regularization,rate_uniform,16,16,0.95,81.254000,4.170315,5
fc3rev_h8,8,no_regularization,rate_uniform,16,16,1.00,80.520000,3.900859,5
fc3rev_h8,8,weight_decay,rate_uniform,16,16,0.00,93.708000,0.993162,5
fc3rev_h8,8,weight_decay,rate_uniform,16,16,0.05,93.656000,0.962408,5
fc3rev_h8,8,weight_decay,rate_uniform,16,16,0.10,93.508000,0.989859,5
fc3rev_h8,8,weight_decay,rate_uniform,16,16,0.15,93.558000,0.989960,5
fc3rev_h8,8,weight_decay,rate_uniform,16,16,0.20,93.380000,0.943239,5
fc3rev_h8,8,weight_decay,rate_uniform,16,16,0.25,93.316000,0.985611,5
fc3rev_h8,8,weight_decay,rate_uniform,16,16,0.30,93.060000,1.085196,5
fc3rev_h8,8,weight_decay,rate_uniform,16,16,0.35,92.954000,1.153183,5
fc3rev_h8,8,weight_decay,rate_uniform,16,16,0.40,92.660000,1.299750,5
fc3rev_h8,8,weight_decay,rate_uniform,16,16,0.45,92.302000,1.389162,5
fc3rev_h8,8,weight_decay,rate_uniform,16,16,0.50,92.110000,1.530441,5
fc3rev_h8,8,weight_decay,rate_uniform,16,16,0.55,91.838000,1.668074,5
fc3rev_h8,8,weight_decay,rate_uniform,16,16,0.60,91.532000,1.904828,5
fc3rev_h8,8,weight_decay,rate_uniform,16,16,0.65,90.990000,2.196304,5
fc3rev_h8,8,weight_decay,rate_uniform,16,16,0.70,90.530000,2.302607,5
fc3rev_h8,8,weight_decay,rate_uniform,16,16,0.75,90.168000,2.698652,5
fc3rev_h8,8,weight_decay,rate_uniform,16,16,0.80,89.584000,2.958958,5
fc3rev_h8,8,weight_decay,rate_uniform,16,16,0.85,88.934000,3.160891,5
fc3rev_h8,8,weight_decay,rate_uniform,16,16,0.90,87.964000,3.604425,5
fc3rev_h8,8,weight_decay,rate_uniform,16,16,0.95,87.680000,3.634728,5
fc3rev_h8,8,weight_decay,rate_uniform,16,16,1.00,86.860000,4.207559,5
fc3rev_h16,16,mne_l2,rate_uniform,16,16,0.00,96.224000,0.266796,5
