arch,hidden_size,regularizer,if_mode,L,T,seed,sigma,acc,checkpoint,matrix_csv
fc3rev_h4,4,mne_l2,rate_uniform,16,16,40,0.00,80.750000,mnist-checkpoints/fc3rev_h4_L[16]_strict_seed40_ablation_mne_l2_l16_fc3rev_h4_rc5em02.pth,/Users/S4142196/Documents/Phd_Document/codes/QCFS_simulation_FI/important results/new_fc3/noise_sweep_rate_uniform_L16_T16/fc3rev_h4/mne_l2/seed_40/noise_sweep_matrix_mnist_fc3rev_h4_T16_mode_rate_uniform_schedule_normal_seed_40.csv
fc3rev_h4,4,mne_l2,rate_uniform,16,16,40,0.05,80.710000,mnist-checkpoints/fc3rev_h4_L[16]_strict_seed40_ablation_mne_l2_l16_fc3rev_h4_rc5em02.pth,/Users/S4142196/Documents/Phd_Document/codes/QCFS_simulation_FI/important results/new_fc3/noise_sweep_rate_uniform_L16_T16/fc3rev_h4/mne_l2/seed_40/noise_sweep_matrix_mnist_fc3rev_h4_T16_mode_rate_uniform_schedule_normal_seed_40.csv
fc3rev_h4,4,mne_l2,rate_uniform,16,16,40,0.10,80.570000,mnist-checkpoints/fc3rev_h4_L[16]_strict_seed40_ablation_mne_l2_l16_fc3rev_h4_rc5em02.pth,/Users/S4142196/Documents/Phd_Document/codes/QCFS_simulation_FI/important results/new_fc3/noise_sweep_rate_uniform_L16_T16/fc3rev_h4/mne_l2/seed_40/noise_sweep_matrix_mnist_fc3rev_h4_T16_mode_rate_uniform_schedule_normal_seed_40.csv
fc3rev_h4,4,mne_l2,rate_uniform,16,16,40,0.15,80.560000,mnist-checkpoints/fc3rev_h4_L[16]_strict_seed40_ablation_mne_l2_l16_fc3rev_h4_rc5em02.pth,/Users/S4142196/Documents/Phd_Document/codes/QCFS_simulation_FI/important results/new_fc3/noise_sweep_rate_uniform_L16_T16/fc3rev_h4/mne_l2/seed_40/noise_sweep_matrix_mnist_fc3rev_h4_T16_mode_rate_uniform_schedule_normal_seed_40.csv
fc3rev_h4,4,mne_l2,rate_uniform,16,16,40,0.20,80.530000,mnist-checkpoints/fc3rev_h4_L[16]_strict_seed40_ablation_mne_l2_l16_fc3rev_h4_rc5em02.pth,/Users/S4142196/Documents/Phd_Document/codes/QCFS_simulation_FI/important results/new_fc3/noise_sweep_rate_uniform_L16_T16/fc3rev_h4/mne_l2/seed_40/noise_sweep_matrix_mnist_fc3rev_h4_T16_mode_rate_uniform_schedule_normal_seed_40.csv
fc3rev_h4,4,mne_l2,rate_uniform,16,16,40,0.25,80.470000,mnist-checkpoints/fc3rev_h4_L[16]_strict_seed40_ablation_mne_l2_l16_fc3rev_h4_rc5em02.pth,/Users/S4142196/Documents/Phd_Document/codes/QCFS_simulation_FI/important results/new_fc3/noise_sweep_rate_uniform_L16_T16/fc3rev_h4/mne_l2/seed_40/noise_sweep_matrix_mnist_fc3rev_h4_T16_mode_rate_uniform_schedule_normal_seed_40.csv
fc3rev_h4,4,mne_l2,rate_uniform,16,16,40,0.30,80.580000,mnist-checkpoints/fc3rev_h4_L[16]_strict_seed40_ablation_mne_l2_l16_fc3rev_h4_rc5em02.pth,/Users/S4142196/Documents/Phd_Document/codes/QCFS_simulation_FI/important results/new_fc3/noise_sweep_rate_uniform_L16_T16/fc3rev_h4/mne_l2/seed_40/noise_sweep_matrix_mnist_fc3rev_h4_T16_mode_rate_uniform_schedule_normal_seed_40.csv
fc3rev_h4,4,mne_l2,rate_uniform,16,16,40,0.35,80.370000,mnist-checkpoints/fc3rev_h4_L[16]_strict_seed40_ablation_mne_l2_l16_fc3rev_h4_rc5em02.pth,/Users/S4142196/Documents/Phd_Document/codes/QCFS_simulation_FI/important results/new_fc3/noise_sweep_rate_uniform_L16_T16/fc3rev_h4/mne_l2/seed_40/noise_sweep_matrix_mnist_fc3rev_h4_T16_mode_rate_uniform_schedule_normal_seed_40.csv
fc3rev_h4,4,mne_l2,rate_uniform,16,16,40,0.40,80.290000,mnist-checkpoints/fc3rev_h4_L[16]_strict_seed40_ablation_mne_l2_l16_fc3rev_h4_rc5em02.pth,/Users/S4142196/Documents/Phd_Document/codes/QCFS_simulation_FI/important results/new_fc3/noise_sweep_rate_uniform_L16_T16/fc3rev_h4/mne_l2/seed_40/noise_sweep_matrix_mnist_fc3rev_h4_T16_mode_rate_uniform_schedule_normal_seed_40.csv
fc3rev_h4,4,mne_l2,rate_uniform,16,16,40,0.45,80.190000,mnist-checkpoints/fc3rev_h4_L[16]_strict_seed40_ablation_mne_l2_l16_fc3rev_h4_rc5em02.pth,/Users/S4142196/Documents/Phd_Document/codes/QCFS_simulation_FI/important results/new_fc3/noise_sweep_rate_uniform_L16_T16/fc3rev_h4/mne_l2/seed_40/noise_sweep_matrix_mnist_fc3rev_h4_T16_mode_rate_uniform_schedule_normal_seed_40.csv
