arch,hidden_size,regularizer,if_mode,L,T,sigma,acc_mean,acc_std,n_seeds
fc3rev_h4,4,weight_decay,rate_uniform,16,16,0.00,68.786000,32.152072,5
fc3rev_h4,4,weight_decay,rate_uniform,16,16,0.05,68.694000,32.101266,5
fc3rev_h4,4,weight_decay,rate_uniform,16,16,0.10,68.556000,32.023547,5
fc3rev_h4,4,weight_decay,rate_uniform,16,16,0.15,68.490000,31.986041,5
fc3rev_h4,4,weight_decay,rate_uniform,16,16,0.20,68.046000,31.741246,5
fc3rev_h4,4,weight_decay,rate_uniform,16,16,0.25,67.814000,31.623775,5
fc3rev_h4,4,weight_decay,rate_uniform,16,16,0.30,67.130000,31.259406,5
fc3rev_h4,4,weight_decay,rate_uniform,16,16,0.35,66.502000,30.926632,5
fc3rev_h4,4,weight_decay,rate_uniform,16,16,0.40,66.002000,30.664360,5
fc3rev_h4,4,weight_decay,rate_uniform,16,16,0.45,65.376000,30.358128,5
fc3rev_h4,4,weight_decay,rate_uniform,16,16,0.50,64.432000,29.880315,5
fc3rev_h4,4,weight_decay,rate_uniform,16,16,0.55,63.920000,29.637395,5
fc3rev_h4,4,weight_decay,rate_uniform,16,16,0.60,62.644000,29.047200,5
fc3rev_h4,4,weight_decay,rate_uniform,16,16,0.65,61.958000,28.695633,5
fc3rev_h4,4,weight_decay,rate_uniform,16,16,0.70,60.890000,28.161256,5
fc3rev_h4,4,weight_decay,rate_uniform,16,16,0.75,60.144000,27.866115,5
fc3rev_h4,4,weight_decay,rate_uniform,16,16,0.80,59.320000,27.430977,5
fc3rev_h4,4,weight_decay,rate_uniform,16,16,0.85,57.940000,26.795031,5
fc3rev_h4,4,weight_decay,rate_uniform,16,16,0.90,57.204000,26.507879,5
fc3rev_h4,4,weight_decay,rate_uniform,16,16,0.95,55.988000,26.148838,5
fc3rev_h4,4,weight_decay,rate_uniform,16,16,1.00,55.254000,25.491607,5
fc3rev_h8,8,weight_decay,rate_uniform,16,16,0.00,93.708000,0.993162,5
fc3rev_h8,8,weight_decay,rate_uniform,16,16,0.05,93.656000,0.962408,5
fc3rev_h8,8,weight_decay,rate_uniform,16,16,0.10,93.508000,0.989859,5
fc3rev_h8,8,weight_decay,rate_uniform,16,16,0.15,93.558000,0.989960,5
fc3rev_h8,8,weight_decay,rate_uniform,16,16,0.20,93.380000,0.943239,5
fc3rev_h8,8,weight_decay,rate_uniform,16,16,0.25,93.316000,0.985611,5
fc3rev_h8,8,weight_decay,rate_uniform,16,16,0.30,93.060000,1.085196,5
fc3rev_h8,8,weight_decay,rate_uniform,16,16,0.35,92.954000,1.153183,5
fc3rev_h8,8,weight_decay,rate_uniform,16,16,0.40,92.660000,1.299750,5
fc3rev_h8,8,weight_decay,rate_uniform,16,16,0.45,92.302000,1.389162,5
fc3rev_h8,8,weight_decay,rate_uniform,16,16,0.50,92.110000,1.530441,5
fc3rev_h8,8,weight_decay,rate_uniform,16,16,0.55,91.838000,1.668074,5
fc3rev_h8,8,weight_decay,rate_uniform,16,16,0.60,91.532000,1.904828,5
fc3rev_h8,8,weight_decay,rate_uniform,16,16,0.65,90.990000,2.196304,5
fc3rev_h8,8,weight_decay,rate_uniform,16,16,0.70,90.530000,2.302607,5
fc3rev_h8,8,weight_decay,rate_uniform,16,16,0.75,90.168000,2.698652,5
fc3rev_h8,8,weight_decay,rate_uniform,16,16,0.80,89.584000,2.958958,5
fc3rev_h8,8,weight_decay,rate_uniform,16,16,0.85,88.934000,3.160891,5
fc3rev_h8,8,weight_decay,rate_uniform,16,16,0.90,87.964000,3.604425,5
fc3rev_h8,8,weight_decay,rate_uniform,16,16,0.95,87.680000,3.634728,5
fc3rev_h8,8,weight_decay,rate_uniform,16,16,1.00,86.860000,4.207559,5
fc3rev_h16,16,weight_decay,rate_uniform,16,16,0.00,96.466000,0.270703,5
fc3rev_h16,16,weight_decay,rate_uniform,16,16,0.05,96.424000,0.303200,5
fc3rev_h16,16,weight_decay,rate_uniform,16,16,0.10,96.430000,0.226716,5
fc3rev_h16,16,weight_decay,rate_uniform,16,16,0.15,96.416000,0.230282,5
fc3rev_h16,16,weight_decay,rate_uniform,16,16,0.20,96.306000,0.302457,5
fc3rev_h16,16,weight_decay,rate_uniform,16,16,0.25,96.346000,0.221766,5
fc3rev_h16,16,weight_decay,rate_uniform,16,16,0.30,96.296000,0.285009,5
fc3rev_h16,16,weight_decay,rate_uniform,16,16,0.35,96.258000,0.284728,5
fc3rev_h16,16,weight_decay,rate_uniform,16,16,0.40,96.156000,0.258322,5
fc3rev_h16,16,weight_decay,rate_uniform,16,16,0.45,96.196000,0.370176,5
fc3rev_h16,16,weight_decay,rate_uniform,16,16,0.50,96.112000,0.298446,5
fc3rev_h16,16,weight_decay,rate_uniform,16,16,0.55,95.964000,0.381484,5
fc3rev_h16,16,weight_decay,rate_uniform,16,16,0.60,95.838000,0.409536,5
fc3rev_h16,16,weight_decay,rate_uniform,16,16,0.65,95.822000,0.400087,5
fc3rev_h16,16,weight_decay,rate_uniform,16,16,0.70,95.750000,0.488825,5
fc3rev_h16,16,weight_decay,rate_uniform,16,16,0.75,95.592000,0.515141,5
fc3rev_h16,16,weight_decay,rate_uniform,16,16,0.80,95.410000,0.531272,5
fc3rev_h16,16,weight_decay,rate_uniform,16,16,0.85,95.384000,0.530406,5
fc3rev_h16,16,weight_decay,rate_uniform,16,16,0.90,95.156000,0.652250,5
fc3rev_h16,16,weight_decay,rate_uniform,16,16,0.95,95.040000,0.587367,5
fc3rev_h16,16,weight_decay,rate_uniform,16,16,1.00,94.878000,0.577339,5
fc3rev_h32,32,weight_decay,rate_uniform,16,16,0.00,97.732000,0.293718,5
fc3rev_h32,32,weight_decay,rate_uniform,16,16,0.05,97.712000,0.299533,5
fc3rev_h32,32,weight_decay,rate_uniform,16,16,0.10,97.688000,0.258786,5
fc3rev_h32,32,weight_decay,rate_uniform,16,16,0.15,97.668000,0.328968,5
fc3rev_h32,32,weight_decay,rate_uniform,16,16,0.20,97.634000,0.312858,5
fc3rev_h32,32,weight_decay,rate_uniform,16,16,0.25,97.602000,0.314118,5
fc3rev_h32,32,weight_decay,rate_uniform,16,16,0.30,97.616000,0.306888,5
fc3rev_h32,32,weight_decay,rate_uniform,16,16,0.35,97.600000,0.280446,5
fc3rev_h32,32,weight_decay,rate_uniform,16,16,0.40,97.590000,0.305614,5
fc3rev_h32,32,weight_decay,rate_uniform,16,16,0.45,97.560000,0.295212,5
fc3rev_h32,32,weight_decay,rate_uniform,16,16,0.50,97.588000,0.278155,5
fc3rev_h32,32,weight_decay,rate_uniform,16,16,0.55,97.512000,0.294398,5
fc3rev_h32,32,weight_decay,rate_uniform,16,16,0.60,97.492000,0.275264,5
