arch,hidden_size,regularizer,if_mode,L,T,seed,sigma,acc,checkpoint,matrix_csv
fc3rev_h8,8,weight_decay,rate_uniform,16,16,40,0.00,92.680000,mnist-checkpoints/fc3rev_h8_L[16]_strict_seed40_ablation_wd_l16_fc3rev_h8.pth,/home/595/sl9144/codes/snn_simulation/important_results/new_fc3/noise_sweep_rate_uniform_L16_T16/fc3rev_h8/seed_40/noise_sweep_matrix_mnist_fc3rev_h8_T16_mode_rate_uniform_schedule_normal_seed_40.csv
fc3rev_h8,8,weight_decay,rate_uniform,16,16,40,0.05,92.700000,mnist-checkpoints/fc3rev_h8_L[16]_strict_seed40_ablation_wd_l16_fc3rev_h8.pth,/home/595/sl9144/codes/snn_simulation/important_results/new_fc3/noise_sweep_rate_uniform_L16_T16/fc3rev_h8/seed_40/noise_sweep_matrix_mnist_fc3rev_h8_T16_mode_rate_uniform_schedule_normal_seed_40.csv
fc3rev_h8,8,weight_decay,rate_uniform,16,16,40,0.10,92.410000,mnist-checkpoints/fc3rev_h8_L[16]_strict_seed40_ablation_wd_l16_fc3rev_h8.pth,/home/595/sl9144/codes/snn_simulation/important_results/new_fc3/noise_sweep_rate_uniform_L16_T16/fc3rev_h8/seed_40/noise_sweep_matrix_mnist_fc3rev_h8_T16_mode_rate_uniform_schedule_normal_seed_40.csv
fc3rev_h8,8,weight_decay,rate_uniform,16,16,40,0.15,92.520000,mnist-checkpoints/fc3rev_h8_L[16]_strict_seed40_ablation_wd_l16_fc3rev_h8.pth,/home/595/sl9144/codes/snn_simulation/important_results/new_fc3/noise_sweep_rate_uniform_L16_T16/fc3rev_h8/seed_40/noise_sweep_matrix_mnist_fc3rev_h8_T16_mode_rate_uniform_schedule_normal_seed_40.csv
fc3rev_h8,8,weight_decay,rate_uniform,16,16,40,0.20,92.430000,mnist-checkpoints/fc3rev_h8_L[16]_strict_seed40_ablation_wd_l16_fc3rev_h8.pth,/home/595/sl9144/codes/snn_simulation/important_results/new_fc3/noise_sweep_rate_uniform_L16_T16/fc3rev_h8/seed_40/noise_sweep_matrix_mnist_fc3rev_h8_T16_mode_rate_uniform_schedule_normal_seed_40.csv
fc3rev_h8,8,weight_decay,rate_uniform,16,16,40,0.25,92.240000,mnist-checkpoints/fc3rev_h8_L[16]_strict_seed40_ablation_wd_l16_fc3rev_h8.pth,/home/595/sl9144/codes/snn_simulation/important_results/new_fc3/noise_sweep_rate_uniform_L16_T16/fc3rev_h8/seed_40/noise_sweep_matrix_mnist_fc3rev_h8_T16_mode_rate_uniform_schedule_normal_seed_40.csv
fc3rev_h8,8,weight_decay,rate_uniform,16,16,40,0.30,92.140000,mnist-checkpoints/fc3rev_h8_L[16]_strict_seed40_ablation_wd_l16_fc3rev_h8.pth,/home/595/sl9144/codes/snn_simulation/important_results/new_fc3/noise_sweep_rate_uniform_L16_T16/fc3rev_h8/seed_40/noise_sweep_matrix_mnist_fc3rev_h8_T16_mode_rate_uniform_schedule_normal_seed_40.csv
fc3rev_h8,8,weight_decay,rate_uniform,16,16,40,0.35,91.620000,mnist-checkpoints/fc3rev_h8_L[16]_strict_seed40_ablation_wd_l16_fc3rev_h8.pth,/home/595/sl9144/codes/snn_simulation/important_results/new_fc3/noise_sweep_rate_uniform_L16_T16/fc3rev_h8/seed_40/noise_sweep_matrix_mnist_fc3rev_h8_T16_mode_rate_uniform_schedule_normal_seed_40.csv
fc3rev_h8,8,weight_decay,rate_uniform,16,16,40,0.40,91.210000,mnist-checkpoints/fc3rev_h8_L[16]_strict_seed40_ablation_wd_l16_fc3rev_h8.pth,/home/595/sl9144/codes/snn_simulation/important_results/new_fc3/noise_sweep_rate_uniform_L16_T16/fc3rev_h8/seed_40/noise_sweep_matrix_mnist_fc3rev_h8_T16_mode_rate_uniform_schedule_normal_seed_40.csv
fc3rev_h8,8,weight_decay,rate_uniform,16,16,40,0.45,90.650000,mnist-checkpoints/fc3rev_h8_L[16]_strict_seed40_ablation_wd_l16_fc3rev_h8.pth,/home/595/sl9144/codes/snn_simulation/important_results/new_fc3/noise_sweep_rate_uniform_L16_T16/fc3rev_h8/seed_40/noise_sweep_matrix_mnist_fc3rev_h8_T16_mode_rate_uniform_schedule_normal_seed_40.csv
fc3rev_h8,8,weight_decay,rate_uniform,16,16,40,0.50,90.330000,mnist-checkpoints/fc3rev_h8_L[16]_strict_seed40_ablation_wd_l16_fc3rev_h8.pth,/home/595/sl9144/codes/snn_simulation/important_results/new_fc3/noise_sweep_rate_uniform_L16_T16/fc3rev_h8/seed_40/noise_sweep_matrix_mnist_fc3rev_h8_T16_mode_rate_uniform_schedule_normal_seed_40.csv
fc3rev_h8,8,weight_decay,rate_uniform,16,16,40,0.55,89.830000,mnist-checkpoints/fc3rev_h8_L[16]_strict_seed40_ablation_wd_l16_fc3rev_h8.pth,/home/595/sl9144/codes/snn_simulation/important_results/new_fc3/noise_sweep_rate_uniform_L16_T16/fc3rev_h8/seed_40/noise_sweep_matrix_mnist_fc3rev_h8_T16_mode_rate_uniform_schedule_normal_seed_40.csv
