dataset,arch,method,label,reg_coeff,weight_decay,seed,L,T,if_mode,sigma,acc,checkpoint,matrix_csv
cifar10,vgg16,weight_decay,weight_decay,,0.0005,40,16,16,rate_uniform,0.0,90.79,cifar10-checkpoints/vgg16_L[16]_strict_seed40_schemeC_noout_wd_l16_vgg16.pth,/home/595/sl9144/codes/snn_simulation/important_results/pre_input_if_noise/cifar10_vgg16_three_regs/weight_decay/seed_40/noise_sweep_matrix_cifar10_vgg16_T16_mode_rate_uniform_schedule_normal_seed_40.csv
cifar10,vgg16,weight_decay,weight_decay,,0.0005,40,16,16,rate_uniform,0.05,90.77,cifar10-checkpoints/vgg16_L[16]_strict_seed40_schemeC_noout_wd_l16_vgg16.pth,/home/595/sl9144/codes/snn_simulation/important_results/pre_input_if_noise/cifar10_vgg16_three_regs/weight_decay/seed_40/noise_sweep_matrix_cifar10_vgg16_T16_mode_rate_uniform_schedule_normal_seed_40.csv
cifar10,vgg16,weight_decay,weight_decay,,0.0005,40,16,16,rate_uniform,0.1,90.76,cifar10-checkpoints/vgg16_L[16]_strict_seed40_schemeC_noout_wd_l16_vgg16.pth,/home/595/sl9144/codes/snn_simulation/important_results/pre_input_if_noise/cifar10_vgg16_three_regs/weight_decay/seed_40/noise_sweep_matrix_cifar10_vgg16_T16_mode_rate_uniform_schedule_normal_seed_40.csv
cifar10,vgg16,weight_decay,weight_decay,,0.0005,40,16,16,rate_uniform,0.15,90.77,cifar10-checkpoints/vgg16_L[16]_strict_seed40_schemeC_noout_wd_l16_vgg16.pth,/home/595/sl9144/codes/snn_simulation/important_results/pre_input_if_noise/cifar10_vgg16_three_regs/weight_decay/seed_40/noise_sweep_matrix_cifar10_vgg16_T16_mode_rate_uniform_schedule_normal_seed_40.csv
cifar10,vgg16,weight_decay,weight_decay,,0.0005,40,16,16,rate_uniform,0.2,90.63,cifar10-checkpoints/vgg16_L[16]_strict_seed40_schemeC_noout_wd_l16_vgg16.pth,/home/595/sl9144/codes/snn_simulation/important_results/pre_input_if_noise/cifar10_vgg16_three_regs/weight_decay/seed_40/noise_sweep_matrix_cifar10_vgg16_T16_mode_rate_uniform_schedule_normal_seed_40.csv
cifar10,vgg16,weight_decay,weight_decay,,0.0005,40,16,16,rate_uniform,0.25,90.48,cifar10-checkpoints/vgg16_L[16]_strict_seed40_schemeC_noout_wd_l16_vgg16.pth,/home/595/sl9144/codes/snn_simulation/important_results/pre_input_if_noise/cifar10_vgg16_three_regs/weight_decay/seed_40/noise_sweep_matrix_cifar10_vgg16_T16_mode_rate_uniform_schedule_normal_seed_40.csv
cifar10,vgg16,weight_decay,weight_decay,,0.0005,40,16,16,rate_uniform,0.3,90.53,cifar10-checkpoints/vgg16_L[16]_strict_seed40_schemeC_noout_wd_l16_vgg16.pth,/home/595/sl9144/codes/snn_simulation/important_results/pre_input_if_noise/cifar10_vgg16_three_regs/weight_decay/seed_40/noise_sweep_matrix_cifar10_vgg16_T16_mode_rate_uniform_schedule_normal_seed_40.csv
cifar10,vgg16,weight_decay,weight_decay,,0.0005,40,16,16,rate_uniform,0.35,90.36,cifar10-checkpoints/vgg16_L[16]_strict_seed40_schemeC_noout_wd_l16_vgg16.pth,/home/595/sl9144/codes/snn_simulation/important_results/pre_input_if_noise/cifar10_vgg16_three_regs/weight_decay/seed_40/noise_sweep_matrix_cifar10_vgg16_T16_mode_rate_uniform_schedule_normal_seed_40.csv
cifar10,vgg16,weight_decay,weight_decay,,0.0005,40,16,16,rate_uniform,0.4,90.02,cifar10-checkpoints/vgg16_L[16]_strict_seed40_schemeC_noout_wd_l16_vgg16.pth,/home/595/sl9144/codes/snn_simulation/important_results/pre_input_if_noise/cifar10_vgg16_three_regs/weight_decay/seed_40/noise_sweep_matrix_cifar10_vgg16_T16_mode_rate_uniform_schedule_normal_seed_40.csv
cifar10,vgg16,weight_decay,weight_decay,,0.0005,40,16,16,rate_uniform,0.45,89.95,cifar10-checkpoints/vgg16_L[16]_strict_seed40_schemeC_noout_wd_l16_vgg16.pth,/home/595/sl9144/codes/snn_simulation/important_results/pre_input_if_noise/cifar10_vgg16_three_regs/weight_decay/seed_40/noise_sweep_matrix_cifar10_vgg16_T16_mode_rate_uniform_schedule_normal_seed_40.csv
cifar10,vgg16,weight_decay,weight_decay,,0.0005,40,16,16,rate_uniform,0.5,89.39,cifar10-checkpoints/vgg16_L[16]_strict_seed40_schemeC_noout_wd_l16_vgg16.pth,/home/595/sl9144/codes/snn_simulation/important_results/pre_input_if_noise/cifar10_vgg16_three_regs/weight_decay/seed_40/noise_sweep_matrix_cifar10_vgg16_T16_mode_rate_uniform_schedule_normal_seed_40.csv
cifar10,vgg16,weight_decay,weight_decay,,0.0005,40,16,16,rate_uniform,0.55,88.86,cifar10-checkpoints/vgg16_L[16]_strict_seed40_schemeC_noout_wd_l16_vgg16.pth,/home/595/sl9144/codes/snn_simulation/important_results/pre_input_if_noise/cifar10_vgg16_three_regs/weight_decay/seed_40/noise_sweep_matrix_cifar10_vgg16_T16_mode_rate_uniform_schedule_normal_seed_40.csv
cifar10,vgg16,weight_decay,weight_decay,,0.0005,40,16,16,rate_uniform,0.6,88.21,cifar10-checkpoints/vgg16_L[16]_strict_seed40_schemeC_noout_wd_l16_vgg16.pth,/home/595/sl9144/codes/snn_simulation/important_results/pre_input_if_noise/cifar10_vgg16_three_regs/weight_decay/seed_40/noise_sweep_matrix_cifar10_vgg16_T16_mode_rate_uniform_schedule_normal_seed_40.csv
cifar10,vgg16,weight_decay,weight_decay,,0.0005,40,16,16,rate_uniform,0.65,87.95,cifar10-checkpoints/vgg16_L[16]_strict_seed40_schemeC_noout_wd_l16_vgg16.pth,/home/595/sl9144/codes/snn_simulation/important_results/pre_input_if_noise/cifar10_vgg16_three_regs/weight_decay/seed_40/noise_sweep_matrix_cifar10_vgg16_T16_mode_rate_uniform_schedule_normal_seed_40.csv
cifar10,vgg16,weight_decay,weight_decay,,0.0005,40,16,16,rate_uniform,0.7,87.35,cifar10-checkpoints/vgg16_L[16]_strict_seed40_schemeC_noout_wd_l16_vgg16.pth,/home/595/sl9144/codes/snn_simulation/important_results/pre_input_if_noise/cifar10_vgg16_three_regs/weight_decay/seed_40/noise_sweep_matrix_cifar10_vgg16_T16_mode_rate_uniform_schedule_normal_seed_40.csv
cifar10,vgg16,weight_decay,weight_decay,,0.0005,40,16,16,rate_uniform,0.75,86.62,cifar10-checkpoints/vgg16_L[16]_strict_seed40_schemeC_noout_wd_l16_vgg16.pth,/home/595/sl9144/codes/snn_simulation/important_results/pre_input_if_noise/cifar10_vgg16_three_regs/weight_decay/seed_40/noise_sweep_matrix_cifar10_vgg16_T16_mode_rate_uniform_schedule_normal_seed_40.csv
cifar10,vgg16,weight_decay,weight_decay,,0.0005,40,16,16,rate_uniform,0.8,86.3,cifar10-checkpoints/vgg16_L[16]_strict_seed40_schemeC_noout_wd_l16_vgg16.pth,/home/595/sl9144/codes/snn_simulation/important_results/pre_input_if_noise/cifar10_vgg16_three_regs/weight_decay/seed_40/noise_sweep_matrix_cifar10_vgg16_T16_mode_rate_uniform_schedule_normal_seed_40.csv
cifar10,vgg16,weight_decay,weight_decay,,0.0005,40,16,16,rate_uniform,0.85,85.6,cifar10-checkpoints/vgg16_L[16]_strict_seed40_schemeC_noout_wd_l16_vgg16.pth,/home/595/sl9144/codes/snn_simulation/important_results/pre_input_if_noise/cifar10_vgg16_three_regs/weight_decay/seed_40/noise_sweep_matrix_cifar10_vgg16_T16_mode_rate_uniform_schedule_normal_seed_40.csv
cifar10,vgg16,weight_decay,weight_decay,,0.0005,40,16,16,rate_uniform,0.9,84.85,cifar10-checkpoints/vgg16_L[16]_strict_seed40_schemeC_noout_wd_l16_vgg16.pth,/home/595/sl9144/codes/snn_simulation/important_results/pre_input_if_noise/cifar10_vgg16_three_regs/weight_decay/seed_40/noise_sweep_matrix_cifar10_vgg16_T16_mode_rate_uniform_schedule_normal_seed_40.csv
cifar10,vgg16,weight_decay,weight_decay,,0.0005,40,16,16,rate_uniform,0.95,84.09,cifar10-checkpoints/vgg16_L[16]_strict_seed40_schemeC_noout_wd_l16_vgg16.pth,/home/595/sl9144/codes/snn_simulation/important_results/pre_input_if_noise/cifar10_vgg16_three_regs/weight_decay/seed_40/noise_sweep_matrix_cifar10_vgg16_T16_mode_rate_uniform_schedule_normal_seed_40.csv
cifar10,vgg16,weight_decay,weight_decay,,0.0005,40,16,16,rate_uniform,1.0,82.89,cifar10-checkpoints/vgg16_L[16]_strict_seed40_schemeC_noout_wd_l16_vgg16.pth,/home/595/sl9144/codes/snn_simulation/important_results/pre_input_if_noise/cifar10_vgg16_three_regs/weight_decay/seed_40/noise_sweep_matrix_cifar10_vgg16_T16_mode_rate_uniform_schedule_normal_seed_40.csv
cifar10,vgg16,weight_decay,weight_decay,,0.0005,41,16,16,rate_uniform,0.0,90.45,cifar10-checkpoints/vgg16_L[16]_strict_seed41_schemeC_noout_wd_l16_vgg16.pth,/home/595/sl9144/codes/snn_simulation/important_results/pre_input_if_noise/cifar10_vgg16_three_regs/weight_decay/seed_41/noise_sweep_matrix_cifar10_vgg16_T16_mode_rate_uniform_schedule_normal_seed_41.csv
cifar10,vgg16,weight_decay,weight_decay,,0.0005,41,16,16,rate_uniform,0.05,90.56,cifar10-checkpoints/vgg16_L[16]_strict_seed41_schemeC_noout_wd_l16_vgg16.pth,/home/595/sl9144/codes/snn_simulation/important_results/pre_input_if_noise/cifar10_vgg16_three_regs/weight_decay/seed_41/noise_sweep_matrix_cifar10_vgg16_T16_mode_rate_uniform_schedule_normal_seed_41.csv
cifar10,vgg16,weight_decay,weight_decay,,0.0005,41,16,16,rate_uniform,0.1,90.41,cifar10-checkpoints/vgg16_L[16]_strict_seed41_schemeC_noout_wd_l16_vgg16.pth,/home/595/sl9144/codes/snn_simulation/important_results/pre_input_if_noise/cifar10_vgg16_three_regs/weight_decay/seed_41/noise_sweep_matrix_cifar10_vgg16_T16_mode_rate_uniform_schedule_normal_seed_41.csv
cifar10,vgg16,weight_decay,weight_decay,,0.0005,41,16,16,rate_uniform,0.15,90.44,cifar10-checkpoints/vgg16_L[16]_strict_seed41_schemeC_noout_wd_l16_vgg16.pth,/home/595/sl9144/codes/snn_simulation/important_results/pre_input_if_noise/cifar10_vgg16_three_regs/weight_decay/seed_41/noise_sweep_matrix_cifar10_vgg16_T16_mode_rate_uniform_schedule_normal_seed_41.csv
cifar10,vgg16,weight_decay,weight_decay,,0.0005,41,16,16,rate_uniform,0.2,90.26,cifar10-checkpoints/vgg16_L[16]_strict_seed41_schemeC_noout_wd_l16_vgg16.pth,/home/595/sl9144/codes/snn_simulation/important_results/pre_input_if_noise/cifar10_vgg16_three_regs/weight_decay/seed_41/noise_sweep_matrix_cifar10_vgg16_T16_mode_rate_uniform_schedule_normal_seed_41.csv
cifar10,vgg16,weight_decay,weight_decay,,0.0005,41,16,16,rate_uniform,0.25,90.08,cifar10-checkpoints/vgg16_L[16]_strict_seed41_schemeC_noout_wd_l16_vgg16.pth,/home/595/sl9144/codes/snn_simulation/important_results/pre_input_if_noise/cifar10_vgg16_three_regs/weight_decay/seed_41/noise_sweep_matrix_cifar10_vgg16_T16_mode_rate_uniform_schedule_normal_seed_41.csv
cifar10,vgg16,weight_decay,weight_decay,,0.0005,41,16,16,rate_uniform,0.3,89.88,cifar10-checkpoints/vgg16_L[16]_strict_seed41_schemeC_noout_wd_l16_vgg16.pth,/home/595/sl9144/codes/snn_simulation/important_results/pre_input_if_noise/cifar10_vgg16_three_regs/weight_decay/seed_41/noise_sweep_matrix_cifar10_vgg16_T16_mode_rate_uniform_schedule_normal_seed_41.csv
cifar10,vgg16,weight_decay,weight_decay,,0.0005,41,16,16,rate_uniform,0.35,90.06,cifar10-checkpoints/vgg16_L[16]_strict_seed41_schemeC_noout_wd_l16_vgg16.pth,/home/595/sl9144/codes/snn_simulation/important_results/pre_input_if_noise/cifar10_vgg16_three_regs/weight_decay/seed_41/noise_sweep_matrix_cifar10_vgg16_T16_mode_rate_uniform_schedule_normal_seed_41.csv
cifar10,vgg16,weight_decay,weight_decay,,0.0005,41,16,16,rate_uniform,0.4,89.76,cifar10-checkpoints/vgg16_L[16]_strict_seed41_schemeC_noout_wd_l16_vgg16.pth,/home/595/sl9144/codes/snn_simulation/important_results/pre_input_if_noise/cifar10_vgg16_three_regs/weight_decay/seed_41/noise_sweep_matrix_cifar10_vgg16_T16_mode_rate_uniform_schedule_normal_seed_41.csv
cifar10,vgg16,weight_decay,weight_decay,,0.0005,41,16,16,rate_uniform,0.45,89.29,cifar10-checkpoints/vgg16_L[16]_strict_seed41_schemeC_noout_wd_l16_vgg16.pth,/home/595/sl9144/codes/snn_simulation/important_results/pre_input_if_noise/cifar10_vgg16_three_regs/weight_decay/seed_41/noise_sweep_matrix_cifar10_vgg16_T16_mode_rate_uniform_schedule_normal_seed_41.csv
cifar10,vgg16,weight_decay,weight_decay,,0.0005,41,16,16,rate_uniform,0.5,89.17,cifar10-checkpoints/vgg16_L[16]_strict_seed41_schemeC_noout_wd_l16_vgg16.pth,/home/595/sl9144/codes/snn_simulation/important_results/pre_input_if_noise/cifar10_vgg16_three_regs/weight_decay/seed_41/noise_sweep_matrix_cifar10_vgg16_T16_mode_rate_uniform_schedule_normal_seed_41.csv
cifar10,vgg16,weight_decay,weight_decay,,0.0005,41,16,16,rate_uniform,0.55,89.12,cifar10-checkpoints/vgg16_L[16]_strict_seed41_schemeC_noout_wd_l16_vgg16.pth,/home/595/sl9144/codes/snn_simulation/important_results/pre_input_if_noise/cifar10_vgg16_three_regs/weight_decay/seed_41/noise_sweep_matrix_cifar10_vgg16_T16_mode_rate_uniform_schedule_normal_seed_41.csv
cifar10,vgg16,weight_decay,weight_decay,,0.0005,41,16,16,rate_uniform,0.6,88.57,cifar10-checkpoints/vgg16_L[16]_strict_seed41_schemeC_noout_wd_l16_vgg16.pth,/home/595/sl9144/codes/snn_simulation/important_results/pre_input_if_noise/cifar10_vgg16_three_regs/weight_decay/seed_41/noise_sweep_matrix_cifar10_vgg16_T16_mode_rate_uniform_schedule_normal_seed_41.csv
cifar10,vgg16,weight_decay,weight_decay,,0.0005,41,16,16,rate_uniform,0.65,87.84,cifar10-checkpoints/vgg16_L[16]_strict_seed41_schemeC_noout_wd_l16_vgg16.pth,/home/595/sl9144/codes/snn_simulation/important_results/pre_input_if_noise/cifar10_vgg16_three_regs/weight_decay/seed_41/noise_sweep_matrix_cifar10_vgg16_T16_mode_rate_uniform_schedule_normal_seed_41.csv
cifar10,vgg16,weight_decay,weight_decay,,0.0005,41,16,16,rate_uniform,0.7,87.57,cifar10-checkpoints/vgg16_L[16]_strict_seed41_schemeC_noout_wd_l16_vgg16.pth,/home/595/sl9144/codes/snn_simulation/important_results/pre_input_if_noise/cifar10_vgg16_three_regs/weight_decay/seed_41/noise_sweep_matrix_cifar10_vgg16_T16_mode_rate_uniform_schedule_normal_seed_41.csv
cifar10,vgg16,weight_decay,weight_decay,,0.0005,41,16,16,rate_uniform,0.75,87.16,cifar10-checkpoints/vgg16_L[16]_strict_seed41_schemeC_noout_wd_l16_vgg16.pth,/home/595/sl9144/codes/snn_simulation/important_results/pre_input_if_noise/cifar10_vgg16_three_regs/weight_decay/seed_41/noise_sweep_matrix_cifar10_vgg16_T16_mode_rate_uniform_schedule_normal_seed_41.csv
