dataset,arch,method,label,reg_coeff,weight_decay,seed,L,T,if_mode,sigma,acc,checkpoint,matrix_csv
cifar100,vgg16,weight_decay,weight_decay,,0.0005,40,16,16,rate_uniform,0.0,62.67,/scratch/gs14/sl9144/qcfs_checkpoints/cifar100-checkpoints/vgg16_L[16]_strict_seed40_schemeC_noout_wd_l16_vgg16.pth,/home/595/sl9144/codes/snn_simulation/important_results/pre_input_image_noise/cifar100_vgg16_three_regs/weight_decay/seed_40/noise_sweep_matrix_cifar100_vgg16_T16_mode_rate_uniform_schedule_normal_seed_40.csv
cifar100,vgg16,weight_decay,weight_decay,,0.0005,40,16,16,rate_uniform,0.05,60.69,/scratch/gs14/sl9144/qcfs_checkpoints/cifar100-checkpoints/vgg16_L[16]_strict_seed40_schemeC_noout_wd_l16_vgg16.pth,/home/595/sl9144/codes/snn_simulation/important_results/pre_input_image_noise/cifar100_vgg16_three_regs/weight_decay/seed_40/noise_sweep_matrix_cifar100_vgg16_T16_mode_rate_uniform_schedule_normal_seed_40.csv
cifar100,vgg16,weight_decay,weight_decay,,0.0005,40,16,16,rate_uniform,0.1,52.2,/scratch/gs14/sl9144/qcfs_checkpoints/cifar100-checkpoints/vgg16_L[16]_strict_seed40_schemeC_noout_wd_l16_vgg16.pth,/home/595/sl9144/codes/snn_simulation/important_results/pre_input_image_noise/cifar100_vgg16_three_regs/weight_decay/seed_40/noise_sweep_matrix_cifar100_vgg16_T16_mode_rate_uniform_schedule_normal_seed_40.csv
cifar100,vgg16,weight_decay,weight_decay,,0.0005,40,16,16,rate_uniform,0.15,42.11,/scratch/gs14/sl9144/qcfs_checkpoints/cifar100-checkpoints/vgg16_L[16]_strict_seed40_schemeC_noout_wd_l16_vgg16.pth,/home/595/sl9144/codes/snn_simulation/important_results/pre_input_image_noise/cifar100_vgg16_three_regs/weight_decay/seed_40/noise_sweep_matrix_cifar100_vgg16_T16_mode_rate_uniform_schedule_normal_seed_40.csv
cifar100,vgg16,weight_decay,weight_decay,,0.0005,40,16,16,rate_uniform,0.2,33.21,/scratch/gs14/sl9144/qcfs_checkpoints/cifar100-checkpoints/vgg16_L[16]_strict_seed40_schemeC_noout_wd_l16_vgg16.pth,/home/595/sl9144/codes/snn_simulation/important_results/pre_input_image_noise/cifar100_vgg16_three_regs/weight_decay/seed_40/noise_sweep_matrix_cifar100_vgg16_T16_mode_rate_uniform_schedule_normal_seed_40.csv
cifar100,vgg16,weight_decay,weight_decay,,0.0005,40,16,16,rate_uniform,0.25,26.34,/scratch/gs14/sl9144/qcfs_checkpoints/cifar100-checkpoints/vgg16_L[16]_strict_seed40_schemeC_noout_wd_l16_vgg16.pth,/home/595/sl9144/codes/snn_simulation/important_results/pre_input_image_noise/cifar100_vgg16_three_regs/weight_decay/seed_40/noise_sweep_matrix_cifar100_vgg16_T16_mode_rate_uniform_schedule_normal_seed_40.csv
cifar100,vgg16,weight_decay,weight_decay,,0.0005,40,16,16,rate_uniform,0.3,20.42,/scratch/gs14/sl9144/qcfs_checkpoints/cifar100-checkpoints/vgg16_L[16]_strict_seed40_schemeC_noout_wd_l16_vgg16.pth,/home/595/sl9144/codes/snn_simulation/important_results/pre_input_image_noise/cifar100_vgg16_three_regs/weight_decay/seed_40/noise_sweep_matrix_cifar100_vgg16_T16_mode_rate_uniform_schedule_normal_seed_40.csv
cifar100,vgg16,weight_decay,weight_decay,,0.0005,40,16,16,rate_uniform,0.35,16.29,/scratch/gs14/sl9144/qcfs_checkpoints/cifar100-checkpoints/vgg16_L[16]_strict_seed40_schemeC_noout_wd_l16_vgg16.pth,/home/595/sl9144/codes/snn_simulation/important_results/pre_input_image_noise/cifar100_vgg16_three_regs/weight_decay/seed_40/noise_sweep_matrix_cifar100_vgg16_T16_mode_rate_uniform_schedule_normal_seed_40.csv
cifar100,vgg16,weight_decay,weight_decay,,0.0005,40,16,16,rate_uniform,0.4,13.0,/scratch/gs14/sl9144/qcfs_checkpoints/cifar100-checkpoints/vgg16_L[16]_strict_seed40_schemeC_noout_wd_l16_vgg16.pth,/home/595/sl9144/codes/snn_simulation/important_results/pre_input_image_noise/cifar100_vgg16_three_regs/weight_decay/seed_40/noise_sweep_matrix_cifar100_vgg16_T16_mode_rate_uniform_schedule_normal_seed_40.csv
cifar100,vgg16,weight_decay,weight_decay,,0.0005,40,16,16,rate_uniform,0.45,10.78,/scratch/gs14/sl9144/qcfs_checkpoints/cifar100-checkpoints/vgg16_L[16]_strict_seed40_schemeC_noout_wd_l16_vgg16.pth,/home/595/sl9144/codes/snn_simulation/important_results/pre_input_image_noise/cifar100_vgg16_three_regs/weight_decay/seed_40/noise_sweep_matrix_cifar100_vgg16_T16_mode_rate_uniform_schedule_normal_seed_40.csv
cifar100,vgg16,weight_decay,weight_decay,,0.0005,40,16,16,rate_uniform,0.5,8.9,/scratch/gs14/sl9144/qcfs_checkpoints/cifar100-checkpoints/vgg16_L[16]_strict_seed40_schemeC_noout_wd_l16_vgg16.pth,/home/595/sl9144/codes/snn_simulation/important_results/pre_input_image_noise/cifar100_vgg16_three_regs/weight_decay/seed_40/noise_sweep_matrix_cifar100_vgg16_T16_mode_rate_uniform_schedule_normal_seed_40.csv
cifar100,vgg16,weight_decay,weight_decay,,0.0005,40,16,16,rate_uniform,0.55,7.65,/scratch/gs14/sl9144/qcfs_checkpoints/cifar100-checkpoints/vgg16_L[16]_strict_seed40_schemeC_noout_wd_l16_vgg16.pth,/home/595/sl9144/codes/snn_simulation/important_results/pre_input_image_noise/cifar100_vgg16_three_regs/weight_decay/seed_40/noise_sweep_matrix_cifar100_vgg16_T16_mode_rate_uniform_schedule_normal_seed_40.csv
cifar100,vgg16,weight_decay,weight_decay,,0.0005,40,16,16,rate_uniform,0.6,6.45,/scratch/gs14/sl9144/qcfs_checkpoints/cifar100-checkpoints/vgg16_L[16]_strict_seed40_schemeC_noout_wd_l16_vgg16.pth,/home/595/sl9144/codes/snn_simulation/important_results/pre_input_image_noise/cifar100_vgg16_three_regs/weight_decay/seed_40/noise_sweep_matrix_cifar100_vgg16_T16_mode_rate_uniform_schedule_normal_seed_40.csv
cifar100,vgg16,weight_decay,weight_decay,,0.0005,40,16,16,rate_uniform,0.65,5.68,/scratch/gs14/sl9144/qcfs_checkpoints/cifar100-checkpoints/vgg16_L[16]_strict_seed40_schemeC_noout_wd_l16_vgg16.pth,/home/595/sl9144/codes/snn_simulation/important_results/pre_input_image_noise/cifar100_vgg16_three_regs/weight_decay/seed_40/noise_sweep_matrix_cifar100_vgg16_T16_mode_rate_uniform_schedule_normal_seed_40.csv
cifar100,vgg16,weight_decay,weight_decay,,0.0005,40,16,16,rate_uniform,0.7,5.03,/scratch/gs14/sl9144/qcfs_checkpoints/cifar100-checkpoints/vgg16_L[16]_strict_seed40_schemeC_noout_wd_l16_vgg16.pth,/home/595/sl9144/codes/snn_simulation/important_results/pre_input_image_noise/cifar100_vgg16_three_regs/weight_decay/seed_40/noise_sweep_matrix_cifar100_vgg16_T16_mode_rate_uniform_schedule_normal_seed_40.csv
cifar100,vgg16,weight_decay,weight_decay,,0.0005,40,16,16,rate_uniform,0.75,4.51,/scratch/gs14/sl9144/qcfs_checkpoints/cifar100-checkpoints/vgg16_L[16]_strict_seed40_schemeC_noout_wd_l16_vgg16.pth,/home/595/sl9144/codes/snn_simulation/important_results/pre_input_image_noise/cifar100_vgg16_three_regs/weight_decay/seed_40/noise_sweep_matrix_cifar100_vgg16_T16_mode_rate_uniform_schedule_normal_seed_40.csv
cifar100,vgg16,weight_decay,weight_decay,,0.0005,40,16,16,rate_uniform,0.8,4.01,/scratch/gs14/sl9144/qcfs_checkpoints/cifar100-checkpoints/vgg16_L[16]_strict_seed40_schemeC_noout_wd_l16_vgg16.pth,/home/595/sl9144/codes/snn_simulation/important_results/pre_input_image_noise/cifar100_vgg16_three_regs/weight_decay/seed_40/noise_sweep_matrix_cifar100_vgg16_T16_mode_rate_uniform_schedule_normal_seed_40.csv
cifar100,vgg16,weight_decay,weight_decay,,0.0005,40,16,16,rate_uniform,0.85,3.51,/scratch/gs14/sl9144/qcfs_checkpoints/cifar100-checkpoints/vgg16_L[16]_strict_seed40_schemeC_noout_wd_l16_vgg16.pth,/home/595/sl9144/codes/snn_simulation/important_results/pre_input_image_noise/cifar100_vgg16_three_regs/weight_decay/seed_40/noise_sweep_matrix_cifar100_vgg16_T16_mode_rate_uniform_schedule_normal_seed_40.csv
cifar100,vgg16,weight_decay,weight_decay,,0.0005,40,16,16,rate_uniform,0.9,3.14,/scratch/gs14/sl9144/qcfs_checkpoints/cifar100-checkpoints/vgg16_L[16]_strict_seed40_schemeC_noout_wd_l16_vgg16.pth,/home/595/sl9144/codes/snn_simulation/important_results/pre_input_image_noise/cifar100_vgg16_three_regs/weight_decay/seed_40/noise_sweep_matrix_cifar100_vgg16_T16_mode_rate_uniform_schedule_normal_seed_40.csv
cifar100,vgg16,weight_decay,weight_decay,,0.0005,40,16,16,rate_uniform,0.95,2.84,/scratch/gs14/sl9144/qcfs_checkpoints/cifar100-checkpoints/vgg16_L[16]_strict_seed40_schemeC_noout_wd_l16_vgg16.pth,/home/595/sl9144/codes/snn_simulation/important_results/pre_input_image_noise/cifar100_vgg16_three_regs/weight_decay/seed_40/noise_sweep_matrix_cifar100_vgg16_T16_mode_rate_uniform_schedule_normal_seed_40.csv
cifar100,vgg16,weight_decay,weight_decay,,0.0005,40,16,16,rate_uniform,1.0,2.65,/scratch/gs14/sl9144/qcfs_checkpoints/cifar100-checkpoints/vgg16_L[16]_strict_seed40_schemeC_noout_wd_l16_vgg16.pth,/home/595/sl9144/codes/snn_simulation/important_results/pre_input_image_noise/cifar100_vgg16_three_regs/weight_decay/seed_40/noise_sweep_matrix_cifar100_vgg16_T16_mode_rate_uniform_schedule_normal_seed_40.csv
cifar100,vgg16,weight_decay,weight_decay,,0.0005,41,16,16,rate_uniform,0.0,62.57,/scratch/gs14/sl9144/qcfs_checkpoints/cifar100-checkpoints/vgg16_L[16]_strict_seed41_schemeC_noout_wd_l16_vgg16.pth,/home/595/sl9144/codes/snn_simulation/important_results/pre_input_image_noise/cifar100_vgg16_three_regs/weight_decay/seed_41/noise_sweep_matrix_cifar100_vgg16_T16_mode_rate_uniform_schedule_normal_seed_41.csv
cifar100,vgg16,weight_decay,weight_decay,,0.0005,41,16,16,rate_uniform,0.05,60.97,/scratch/gs14/sl9144/qcfs_checkpoints/cifar100-checkpoints/vgg16_L[16]_strict_seed41_schemeC_noout_wd_l16_vgg16.pth,/home/595/sl9144/codes/snn_simulation/important_results/pre_input_image_noise/cifar100_vgg16_three_regs/weight_decay/seed_41/noise_sweep_matrix_cifar100_vgg16_T16_mode_rate_uniform_schedule_normal_seed_41.csv
cifar100,vgg16,weight_decay,weight_decay,,0.0005,41,16,16,rate_uniform,0.1,53.34,/scratch/gs14/sl9144/qcfs_checkpoints/cifar100-checkpoints/vgg16_L[16]_strict_seed41_schemeC_noout_wd_l16_vgg16.pth,/home/595/sl9144/codes/snn_simulation/important_results/pre_input_image_noise/cifar100_vgg16_three_regs/weight_decay/seed_41/noise_sweep_matrix_cifar100_vgg16_T16_mode_rate_uniform_schedule_normal_seed_41.csv
cifar100,vgg16,weight_decay,weight_decay,,0.0005,41,16,16,rate_uniform,0.15,43.62,/scratch/gs14/sl9144/qcfs_checkpoints/cifar100-checkpoints/vgg16_L[16]_strict_seed41_schemeC_noout_wd_l16_vgg16.pth,/home/595/sl9144/codes/snn_simulation/important_results/pre_input_image_noise/cifar100_vgg16_three_regs/weight_decay/seed_41/noise_sweep_matrix_cifar100_vgg16_T16_mode_rate_uniform_schedule_normal_seed_41.csv
cifar100,vgg16,weight_decay,weight_decay,,0.0005,41,16,16,rate_uniform,0.2,34.5,/scratch/gs14/sl9144/qcfs_checkpoints/cifar100-checkpoints/vgg16_L[16]_strict_seed41_schemeC_noout_wd_l16_vgg16.pth,/home/595/sl9144/codes/snn_simulation/important_results/pre_input_image_noise/cifar100_vgg16_three_regs/weight_decay/seed_41/noise_sweep_matrix_cifar100_vgg16_T16_mode_rate_uniform_schedule_normal_seed_41.csv
cifar100,vgg16,weight_decay,weight_decay,,0.0005,41,16,16,rate_uniform,0.25,27.01,/scratch/gs14/sl9144/qcfs_checkpoints/cifar100-checkpoints/vgg16_L[16]_strict_seed41_schemeC_noout_wd_l16_vgg16.pth,/home/595/sl9144/codes/snn_simulation/important_results/pre_input_image_noise/cifar100_vgg16_three_regs/weight_decay/seed_41/noise_sweep_matrix_cifar100_vgg16_T16_mode_rate_uniform_schedule_normal_seed_41.csv
cifar100,vgg16,weight_decay,weight_decay,,0.0005,41,16,16,rate_uniform,0.3,21.49,/scratch/gs14/sl9144/qcfs_checkpoints/cifar100-checkpoints/vgg16_L[16]_strict_seed41_schemeC_noout_wd_l16_vgg16.pth,/home/595/sl9144/codes/snn_simulation/important_results/pre_input_image_noise/cifar100_vgg16_three_regs/weight_decay/seed_41/noise_sweep_matrix_cifar100_vgg16_T16_mode_rate_uniform_schedule_normal_seed_41.csv
cifar100,vgg16,weight_decay,weight_decay,,0.0005,41,16,16,rate_uniform,0.35,17.22,/scratch/gs14/sl9144/qcfs_checkpoints/cifar100-checkpoints/vgg16_L[16]_strict_seed41_schemeC_noout_wd_l16_vgg16.pth,/home/595/sl9144/codes/snn_simulation/important_results/pre_input_image_noise/cifar100_vgg16_three_regs/weight_decay/seed_41/noise_sweep_matrix_cifar100_vgg16_T16_mode_rate_uniform_schedule_normal_seed_41.csv
cifar100,vgg16,weight_decay,weight_decay,,0.0005,41,16,16,rate_uniform,0.4,13.63,/scratch/gs14/sl9144/qcfs_checkpoints/cifar100-checkpoints/vgg16_L[16]_strict_seed41_schemeC_noout_wd_l16_vgg16.pth,/home/595/sl9144/codes/snn_simulation/important_results/pre_input_image_noise/cifar100_vgg16_three_regs/weight_decay/seed_41/noise_sweep_matrix_cifar100_vgg16_T16_mode_rate_uniform_schedule_normal_seed_41.csv
cifar100,vgg16,weight_decay,weight_decay,,0.0005,41,16,16,rate_uniform,0.45,11.32,/scratch/gs14/sl9144/qcfs_checkpoints/cifar100-checkpoints/vgg16_L[16]_strict_seed41_schemeC_noout_wd_l16_vgg16.pth,/home/595/sl9144/codes/snn_simulation/important_results/pre_input_image_noise/cifar100_vgg16_three_regs/weight_decay/seed_41/noise_sweep_matrix_cifar100_vgg16_T16_mode_rate_uniform_schedule_normal_seed_41.csv
cifar100,vgg16,weight_decay,weight_decay,,0.0005,41,16,16,rate_uniform,0.5,9.63,/scratch/gs14/sl9144/qcfs_checkpoints/cifar100-checkpoints/vgg16_L[16]_strict_seed41_schemeC_noout_wd_l16_vgg16.pth,/home/595/sl9144/codes/snn_simulation/important_results/pre_input_image_noise/cifar100_vgg16_three_regs/weight_decay/seed_41/noise_sweep_matrix_cifar100_vgg16_T16_mode_rate_uniform_schedule_normal_seed_41.csv
cifar100,vgg16,weight_decay,weight_decay,,0.0005,41,16,16,rate_uniform,0.55,8.23,/scratch/gs14/sl9144/qcfs_checkpoints/cifar100-checkpoints/vgg16_L[16]_strict_seed41_schemeC_noout_wd_l16_vgg16.pth,/home/595/sl9144/codes/snn_simulation/important_results/pre_input_image_noise/cifar100_vgg16_three_regs/weight_decay/seed_41/noise_sweep_matrix_cifar100_vgg16_T16_mode_rate_uniform_schedule_normal_seed_41.csv
cifar100,vgg16,weight_decay,weight_decay,,0.0005,41,16,16,rate_uniform,0.6,7.39,/scratch/gs14/sl9144/qcfs_checkpoints/cifar100-checkpoints/vgg16_L[16]_strict_seed41_schemeC_noout_wd_l16_vgg16.pth,/home/595/sl9144/codes/snn_simulation/important_results/pre_input_image_noise/cifar100_vgg16_three_regs/weight_decay/seed_41/noise_sweep_matrix_cifar100_vgg16_T16_mode_rate_uniform_schedule_normal_seed_41.csv
cifar100,vgg16,weight_decay,weight_decay,,0.0005,41,16,16,rate_uniform,0.65,6.2,/scratch/gs14/sl9144/qcfs_checkpoints/cifar100-checkpoints/vgg16_L[16]_strict_seed41_schemeC_noout_wd_l16_vgg16.pth,/home/595/sl9144/codes/snn_simulation/important_results/pre_input_image_noise/cifar100_vgg16_three_regs/weight_decay/seed_41/noise_sweep_matrix_cifar100_vgg16_T16_mode_rate_uniform_schedule_normal_seed_41.csv
cifar100,vgg16,weight_decay,weight_decay,,0.0005,41,16,16,rate_uniform,0.7,5.63,/scratch/gs14/sl9144/qcfs_checkpoints/cifar100-checkpoints/vgg16_L[16]_strict_seed41_schemeC_noout_wd_l16_vgg16.pth,/home/595/sl9144/codes/snn_simulation/important_results/pre_input_image_noise/cifar100_vgg16_three_regs/weight_decay/seed_41/noise_sweep_matrix_cifar100_vgg16_T16_mode_rate_uniform_schedule_normal_seed_41.csv
cifar100,vgg16,weight_decay,weight_decay,,0.0005,41,16,16,rate_uniform,0.75,5.29,/scratch/gs14/sl9144/qcfs_checkpoints/cifar100-checkpoints/vgg16_L[16]_strict_seed41_schemeC_noout_wd_l16_vgg16.pth,/home/595/sl9144/codes/snn_simulation/important_results/pre_input_image_noise/cifar100_vgg16_three_regs/weight_decay/seed_41/noise_sweep_matrix_cifar100_vgg16_T16_mode_rate_uniform_schedule_normal_seed_41.csv
cifar100,vgg16,weight_decay,weight_decay,,0.0005,41,16,16,rate_uniform,0.8,4.63,/scratch/gs14/sl9144/qcfs_checkpoints/cifar100-checkpoints/vgg16_L[16]_strict_seed41_schemeC_noout_wd_l16_vgg16.pth,/home/595/sl9144/codes/snn_simulation/important_results/pre_input_image_noise/cifar100_vgg16_three_regs/weight_decay/seed_41/noise_sweep_matrix_cifar100_vgg16_T16_mode_rate_uniform_schedule_normal_seed_41.csv
cifar100,vgg16,weight_decay,weight_decay,,0.0005,41,16,16,rate_uniform,0.85,4.36,/scratch/gs14/sl9144/qcfs_checkpoints/cifar100-checkpoints/vgg16_L[16]_strict_seed41_schemeC_noout_wd_l16_vgg16.pth,/home/595/sl9144/codes/snn_simulation/important_results/pre_input_image_noise/cifar100_vgg16_three_regs/weight_decay/seed_41/noise_sweep_matrix_cifar100_vgg16_T16_mode_rate_uniform_schedule_normal_seed_41.csv
cifar100,vgg16,weight_decay,weight_decay,,0.0005,41,16,16,rate_uniform,0.9,3.85,/scratch/gs14/sl9144/qcfs_checkpoints/cifar100-checkpoints/vgg16_L[16]_strict_seed41_schemeC_noout_wd_l16_vgg16.pth,/home/595/sl9144/codes/snn_simulation/important_results/pre_input_image_noise/cifar100_vgg16_three_regs/weight_decay/seed_41/noise_sweep_matrix_cifar100_vgg16_T16_mode_rate_uniform_schedule_normal_seed_41.csv
cifar100,vgg16,weight_decay,weight_decay,,0.0005,41,16,16,rate_uniform,0.95,3.58,/scratch/gs14/sl9144/qcfs_checkpoints/cifar100-checkpoints/vgg16_L[16]_strict_seed41_schemeC_noout_wd_l16_vgg16.pth,/home/595/sl9144/codes/snn_simulation/important_results/pre_input_image_noise/cifar100_vgg16_three_regs/weight_decay/seed_41/noise_sweep_matrix_cifar100_vgg16_T16_mode_rate_uniform_schedule_normal_seed_41.csv
cifar100,vgg16,weight_decay,weight_decay,,0.0005,41,16,16,rate_uniform,1.0,3.16,/scratch/gs14/sl9144/qcfs_checkpoints/cifar100-checkpoints/vgg16_L[16]_strict_seed41_schemeC_noout_wd_l16_vgg16.pth,/home/595/sl9144/codes/snn_simulation/important_results/pre_input_image_noise/cifar100_vgg16_three_regs/weight_decay/seed_41/noise_sweep_matrix_cifar100_vgg16_T16_mode_rate_uniform_schedule_normal_seed_41.csv
cifar100,vgg16,weight_decay,weight_decay,,0.0005,42,16,16,rate_uniform,0.0,62.27,/scratch/gs14/sl9144/qcfs_checkpoints/cifar100-checkpoints/vgg16_L[16]_strict_seed42_schemeC_noout_wd_l16_vgg16.pth,/home/595/sl9144/codes/snn_simulation/important_results/pre_input_image_noise/cifar100_vgg16_three_regs/weight_decay/seed_42/noise_sweep_matrix_cifar100_vgg16_T16_mode_rate_uniform_schedule_normal_seed_42.csv
cifar100,vgg16,weight_decay,weight_decay,,0.0005,42,16,16,rate_uniform,0.05,61.03,/scratch/gs14/sl9144/qcfs_checkpoints/cifar100-checkpoints/vgg16_L[16]_strict_seed42_schemeC_noout_wd_l16_vgg16.pth,/home/595/sl9144/codes/snn_simulation/important_results/pre_input_image_noise/cifar100_vgg16_three_regs/weight_decay/seed_42/noise_sweep_matrix_cifar100_vgg16_T16_mode_rate_uniform_schedule_normal_seed_42.csv
cifar100,vgg16,weight_decay,weight_decay,,0.0005,42,16,16,rate_uniform,0.1,52.85,/scratch/gs14/sl9144/qcfs_checkpoints/cifar100-checkpoints/vgg16_L[16]_strict_seed42_schemeC_noout_wd_l16_vgg16.pth,/home/595/sl9144/codes/snn_simulation/important_results/pre_input_image_noise/cifar100_vgg16_three_regs/weight_decay/seed_42/noise_sweep_matrix_cifar100_vgg16_T16_mode_rate_uniform_schedule_normal_seed_42.csv
cifar100,vgg16,weight_decay,weight_decay,,0.0005,42,16,16,rate_uniform,0.15,42.76,/scratch/gs14/sl9144/qcfs_checkpoints/cifar100-checkpoints/vgg16_L[16]_strict_seed42_schemeC_noout_wd_l16_vgg16.pth,/home/595/sl9144/codes/snn_simulation/important_results/pre_input_image_noise/cifar100_vgg16_three_regs/weight_decay/seed_42/noise_sweep_matrix_cifar100_vgg16_T16_mode_rate_uniform_schedule_normal_seed_42.csv
cifar100,vgg16,weight_decay,weight_decay,,0.0005,42,16,16,rate_uniform,0.2,34.29,/scratch/gs14/sl9144/qcfs_checkpoints/cifar100-checkpoints/vgg16_L[16]_strict_seed42_schemeC_noout_wd_l16_vgg16.pth,/home/595/sl9144/codes/snn_simulation/important_results/pre_input_image_noise/cifar100_vgg16_three_regs/weight_decay/seed_42/noise_sweep_matrix_cifar100_vgg16_T16_mode_rate_uniform_schedule_normal_seed_42.csv
cifar100,vgg16,weight_decay,weight_decay,,0.0005,42,16,16,rate_uniform,0.25,26.92,/scratch/gs14/sl9144/qcfs_checkpoints/cifar100-checkpoints/vgg16_L[16]_strict_seed42_schemeC_noout_wd_l16_vgg16.pth,/home/595/sl9144/codes/snn_simulation/important_results/pre_input_image_noise/cifar100_vgg16_three_regs/weight_decay/seed_42/noise_sweep_matrix_cifar100_vgg16_T16_mode_rate_uniform_schedule_normal_seed_42.csv
cifar100,vgg16,weight_decay,weight_decay,,0.0005,42,16,16,rate_uniform,0.3,21.9,/scratch/gs14/sl9144/qcfs_checkpoints/cifar100-checkpoints/vgg16_L[16]_strict_seed42_schemeC_noout_wd_l16_vgg16.pth,/home/595/sl9144/codes/snn_simulation/important_results/pre_input_image_noise/cifar100_vgg16_three_regs/weight_decay/seed_42/noise_sweep_matrix_cifar100_vgg16_T16_mode_rate_uniform_schedule_normal_seed_42.csv
cifar100,vgg16,weight_decay,weight_decay,,0.0005,42,16,16,rate_uniform,0.35,17.83,/scratch/gs14/sl9144/qcfs_checkpoints/cifar100-checkpoints/vgg16_L[16]_strict_seed42_schemeC_noout_wd_l16_vgg16.pth,/home/595/sl9144/codes/snn_simulation/important_results/pre_input_image_noise/cifar100_vgg16_three_regs/weight_decay/seed_42/noise_sweep_matrix_cifar100_vgg16_T16_mode_rate_uniform_schedule_normal_seed_42.csv
cifar100,vgg16,weight_decay,weight_decay,,0.0005,42,16,16,rate_uniform,0.4,14.76,/scratch/gs14/sl9144/qcfs_checkpoints/cifar100-checkpoints/vgg16_L[16]_strict_seed42_schemeC_noout_wd_l16_vgg16.pth,/home/595/sl9144/codes/snn_simulation/important_results/pre_input_image_noise/cifar100_vgg16_three_regs/weight_decay/seed_42/noise_sweep_matrix_cifar100_vgg16_T16_mode_rate_uniform_schedule_normal_seed_42.csv
cifar100,vgg16,weight_decay,weight_decay,,0.0005,42,16,16,rate_uniform,0.45,12.27,/scratch/gs14/sl9144/qcfs_checkpoints/cifar100-checkpoints/vgg16_L[16]_strict_seed42_schemeC_noout_wd_l16_vgg16.pth,/home/595/sl9144/codes/snn_simulation/important_results/pre_input_image_noise/cifar100_vgg16_three_regs/weight_decay/seed_42/noise_sweep_matrix_cifar100_vgg16_T16_mode_rate_uniform_schedule_normal_seed_42.csv
cifar100,vgg16,weight_decay,weight_decay,,0.0005,42,16,16,rate_uniform,0.5,10.1,/scratch/gs14/sl9144/qcfs_checkpoints/cifar100-checkpoints/vgg16_L[16]_strict_seed42_schemeC_noout_wd_l16_vgg16.pth,/home/595/sl9144/codes/snn_simulation/important_results/pre_input_image_noise/cifar100_vgg16_three_regs/weight_decay/seed_42/noise_sweep_matrix_cifar100_vgg16_T16_mode_rate_uniform_schedule_normal_seed_42.csv
