dataset,arch,method,label,reg_coeff,weight_decay,seed,L,T,if_mode,sigma,acc,checkpoint,matrix_csv
cifar10,vgg16,weight_decay,weight_decay,,0.0005,40,16,16,rate_uniform,0.0,90.79,cifar10-checkpoints/vgg16_L[16]_strict_seed40_schemeC_noout_wd_l16_vgg16.pth,/home/595/sl9144/codes/snn_simulation/important_results/pre_input_image_noise/cifar10_vgg16_three_regs/weight_decay/seed_40/noise_sweep_matrix_cifar10_vgg16_T16_mode_rate_uniform_schedule_normal_seed_40.csv
cifar10,vgg16,weight_decay,weight_decay,,0.0005,40,16,16,rate_uniform,0.05,90.46,cifar10-checkpoints/vgg16_L[16]_strict_seed40_schemeC_noout_wd_l16_vgg16.pth,/home/595/sl9144/codes/snn_simulation/important_results/pre_input_image_noise/cifar10_vgg16_three_regs/weight_decay/seed_40/noise_sweep_matrix_cifar10_vgg16_T16_mode_rate_uniform_schedule_normal_seed_40.csv
cifar10,vgg16,weight_decay,weight_decay,,0.0005,40,16,16,rate_uniform,0.1,88.93,cifar10-checkpoints/vgg16_L[16]_strict_seed40_schemeC_noout_wd_l16_vgg16.pth,/home/595/sl9144/codes/snn_simulation/important_results/pre_input_image_noise/cifar10_vgg16_three_regs/weight_decay/seed_40/noise_sweep_matrix_cifar10_vgg16_T16_mode_rate_uniform_schedule_normal_seed_40.csv
cifar10,vgg16,weight_decay,weight_decay,,0.0005,40,16,16,rate_uniform,0.15,85.33,cifar10-checkpoints/vgg16_L[16]_strict_seed40_schemeC_noout_wd_l16_vgg16.pth,/home/595/sl9144/codes/snn_simulation/important_results/pre_input_image_noise/cifar10_vgg16_three_regs/weight_decay/seed_40/noise_sweep_matrix_cifar10_vgg16_T16_mode_rate_uniform_schedule_normal_seed_40.csv
cifar10,vgg16,weight_decay,weight_decay,,0.0005,40,16,16,rate_uniform,0.2,80.25,cifar10-checkpoints/vgg16_L[16]_strict_seed40_schemeC_noout_wd_l16_vgg16.pth,/home/595/sl9144/codes/snn_simulation/important_results/pre_input_image_noise/cifar10_vgg16_three_regs/weight_decay/seed_40/noise_sweep_matrix_cifar10_vgg16_T16_mode_rate_uniform_schedule_normal_seed_40.csv
cifar10,vgg16,weight_decay,weight_decay,,0.0005,40,16,16,rate_uniform,0.25,73.85,cifar10-checkpoints/vgg16_L[16]_strict_seed40_schemeC_noout_wd_l16_vgg16.pth,/home/595/sl9144/codes/snn_simulation/important_results/pre_input_image_noise/cifar10_vgg16_three_regs/weight_decay/seed_40/noise_sweep_matrix_cifar10_vgg16_T16_mode_rate_uniform_schedule_normal_seed_40.csv
cifar10,vgg16,weight_decay,weight_decay,,0.0005,40,16,16,rate_uniform,0.3,67.13,cifar10-checkpoints/vgg16_L[16]_strict_seed40_schemeC_noout_wd_l16_vgg16.pth,/home/595/sl9144/codes/snn_simulation/important_results/pre_input_image_noise/cifar10_vgg16_three_regs/weight_decay/seed_40/noise_sweep_matrix_cifar10_vgg16_T16_mode_rate_uniform_schedule_normal_seed_40.csv
cifar10,vgg16,weight_decay,weight_decay,,0.0005,40,16,16,rate_uniform,0.35,59.63,cifar10-checkpoints/vgg16_L[16]_strict_seed40_schemeC_noout_wd_l16_vgg16.pth,/home/595/sl9144/codes/snn_simulation/important_results/pre_input_image_noise/cifar10_vgg16_three_regs/weight_decay/seed_40/noise_sweep_matrix_cifar10_vgg16_T16_mode_rate_uniform_schedule_normal_seed_40.csv
cifar10,vgg16,weight_decay,weight_decay,,0.0005,40,16,16,rate_uniform,0.4,52.3,cifar10-checkpoints/vgg16_L[16]_strict_seed40_schemeC_noout_wd_l16_vgg16.pth,/home/595/sl9144/codes/snn_simulation/important_results/pre_input_image_noise/cifar10_vgg16_three_regs/weight_decay/seed_40/noise_sweep_matrix_cifar10_vgg16_T16_mode_rate_uniform_schedule_normal_seed_40.csv
cifar10,vgg16,weight_decay,weight_decay,,0.0005,40,16,16,rate_uniform,0.45,44.34,cifar10-checkpoints/vgg16_L[16]_strict_seed40_schemeC_noout_wd_l16_vgg16.pth,/home/595/sl9144/codes/snn_simulation/important_results/pre_input_image_noise/cifar10_vgg16_three_regs/weight_decay/seed_40/noise_sweep_matrix_cifar10_vgg16_T16_mode_rate_uniform_schedule_normal_seed_40.csv
cifar10,vgg16,weight_decay,weight_decay,,0.0005,40,16,16,rate_uniform,0.5,37.57,cifar10-checkpoints/vgg16_L[16]_strict_seed40_schemeC_noout_wd_l16_vgg16.pth,/home/595/sl9144/codes/snn_simulation/important_results/pre_input_image_noise/cifar10_vgg16_three_regs/weight_decay/seed_40/noise_sweep_matrix_cifar10_vgg16_T16_mode_rate_uniform_schedule_normal_seed_40.csv
cifar10,vgg16,weight_decay,weight_decay,,0.0005,40,16,16,rate_uniform,0.55,31.84,cifar10-checkpoints/vgg16_L[16]_strict_seed40_schemeC_noout_wd_l16_vgg16.pth,/home/595/sl9144/codes/snn_simulation/important_results/pre_input_image_noise/cifar10_vgg16_three_regs/weight_decay/seed_40/noise_sweep_matrix_cifar10_vgg16_T16_mode_rate_uniform_schedule_normal_seed_40.csv
cifar10,vgg16,weight_decay,weight_decay,,0.0005,40,16,16,rate_uniform,0.6,27.22,cifar10-checkpoints/vgg16_L[16]_strict_seed40_schemeC_noout_wd_l16_vgg16.pth,/home/595/sl9144/codes/snn_simulation/important_results/pre_input_image_noise/cifar10_vgg16_three_regs/weight_decay/seed_40/noise_sweep_matrix_cifar10_vgg16_T16_mode_rate_uniform_schedule_normal_seed_40.csv
