dataset,variant,variant_label,regularizer,reg_coeff,hinge_tau,sigma,n,acc_mean,acc_std
cifar100,weight_decay,weight_decay,weight_decay,none,none,0,5,64.734000,0.190604
cifar100,weight_decay,weight_decay,weight_decay,none,none,0.25,5,64.274000,0.488293
cifar100,weight_decay,weight_decay,weight_decay,none,none,0.5,5,56.764000,0.459380
cifar100,weight_decay,weight_decay,weight_decay,none,none,0.75,5,30.324000,2.141840
cifar100,weight_decay,weight_decay,weight_decay,none,none,1,5,7.446000,1.246286
cifar100,weight_decay,weight_decay,weight_decay,none,none,1.25,5,2.286000,0.594079
cifar100,weight_decay,weight_decay,weight_decay,none,none,1.5,5,1.526000,0.338053
cifar100,weight_decay,weight_decay,weight_decay,none,none,1.75,5,1.334000,0.382988
cifar100,weight_decay,weight_decay,weight_decay,none,none,2,5,1.222000,0.272066
cifar100,weight_decay,weight_decay,weight_decay,none,none,2.25,5,1.110000,0.130384
cifar100,weight_decay,weight_decay,weight_decay,none,none,2.5,5,1.068000,0.063008
cifar100,weight_decay,weight_decay,weight_decay,none,none,2.75,5,1.042000,0.060166
cifar100,weight_decay,weight_decay,weight_decay,none,none,3,5,1.028000,0.041473
cifar100,weight_decay,weight_decay,weight_decay,none,none,3.25,5,1.034000,0.056391
cifar100,weight_decay,weight_decay,weight_decay,none,none,3.5,5,1.016000,0.026077
cifar100,weight_decay,weight_decay,weight_decay,none,none,3.75,5,1.026000,0.058138
cifar100,weight_decay,weight_decay,weight_decay,none,none,4,5,1.020000,0.039370
cifar100,weight_decay,weight_decay,weight_decay,none,none,4.25,5,1.028000,0.062610
cifar100,weight_decay,weight_decay,weight_decay,none,none,4.5,5,1.016000,0.030496
cifar100,weight_decay,weight_decay,weight_decay,none,none,4.75,5,1.004000,0.008944
cifar100,weight_decay,weight_decay,weight_decay,none,none,5,5,1.006000,0.013416
cifar100,weight_decay_weights_only,weight_decay_conv_linear_only,weight_decay_weights_only,none,none,0,5,65.942000,0.151228
cifar100,weight_decay_weights_only,weight_decay_conv_linear_only,weight_decay_weights_only,none,none,0.25,5,65.944000,0.149766
cifar100,weight_decay_weights_only,weight_decay_conv_linear_only,weight_decay_weights_only,none,none,0.5,5,65.936000,0.242961
cifar100,weight_decay_weights_only,weight_decay_conv_linear_only,weight_decay_weights_only,none,none,0.75,5,65.844000,0.096592
cifar100,weight_decay_weights_only,weight_decay_conv_linear_only,weight_decay_weights_only,none,none,1,5,65.718000,0.186735
cifar100,weight_decay_weights_only,weight_decay_conv_linear_only,weight_decay_weights_only,none,none,1.25,5,65.562000,0.214639
cifar100,weight_decay_weights_only,weight_decay_conv_linear_only,weight_decay_weights_only,none,none,1.5,5,64.854000,0.213378
cifar100,weight_decay_weights_only,weight_decay_conv_linear_only,weight_decay_weights_only,none,none,1.75,5,64.010000,0.218403
cifar100,weight_decay_weights_only,weight_decay_conv_linear_only,weight_decay_weights_only,none,none,2,5,62.536000,0.659795
cifar100,weight_decay_weights_only,weight_decay_conv_linear_only,weight_decay_weights_only,none,none,2.25,5,60.522000,0.811800
cifar100,weight_decay_weights_only,weight_decay_conv_linear_only,weight_decay_weights_only,none,none,2.5,5,57.254000,1.015101
cifar100,weight_decay_weights_only,weight_decay_conv_linear_only,weight_decay_weights_only,none,none,2.75,5,52.714000,1.683250
cifar100,weight_decay_weights_only,weight_decay_conv_linear_only,weight_decay_weights_only,none,none,3,5,47.382000,2.528314
cifar100,weight_decay_weights_only,weight_decay_conv_linear_only,weight_decay_weights_only,none,none,3.25,5,40.732000,3.205132
cifar100,weight_decay_weights_only,weight_decay_conv_linear_only,weight_decay_weights_only,none,none,3.5,5,33.500000,3.662752
cifar100,weight_decay_weights_only,weight_decay_conv_linear_only,weight_decay_weights_only,none,none,3.75,5,26.178000,3.798272
cifar100,weight_decay_weights_only,weight_decay_conv_linear_only,weight_decay_weights_only,none,none,4,5,19.712000,3.508941
cifar100,weight_decay_weights_only,weight_decay_conv_linear_only,weight_decay_weights_only,none,none,4.25,5,14.412000,2.804607
cifar100,weight_decay_weights_only,weight_decay_conv_linear_only,weight_decay_weights_only,none,none,4.5,5,10.650000,2.172234
cifar100,weight_decay_weights_only,weight_decay_conv_linear_only,weight_decay_weights_only,none,none,4.75,5,7.874000,1.541389
cifar100,weight_decay_weights_only,weight_decay_conv_linear_only,weight_decay_weights_only,none,none,5,5,5.958000,0.957690
cifar100,l1,l1_rc1e-5,l1,1e-05,none,0,5,51.164000,1.306534
cifar100,l1,l1_rc1e-5,l1,1e-05,none,0.25,5,51.078000,1.366591
cifar100,l1,l1_rc1e-5,l1,1e-05,none,0.5,5,51.086000,1.385543
cifar100,l1,l1_rc1e-5,l1,1e-05,none,0.75,5,51.192000,1.179246
cifar100,l1,l1_rc1e-5,l1,1e-05,none,1,5,51.242000,1.276801
cifar100,l1,l1_rc1e-5,l1,1e-05,none,1.25,5,51.210000,1.401624
cifar100,l1,l1_rc1e-5,l1,1e-05,none,1.5,5,51.140000,1.353015
cifar100,l1,l1_rc1e-5,l1,1e-05,none,1.75,5,51.006000,1.351603
cifar100,l1,l1_rc1e-5,l1,1e-05,none,2,5,50.670000,1.272085
cifar100,l1,l1_rc1e-5,l1,1e-05,none,2.25,5,50.380000,1.264674
cifar100,l1,l1_rc1e-5,l1,1e-05,none,2.5,5,49.590000,1.314401
cifar100,l1,l1_rc1e-5,l1,1e-05,none,2.75,5,48.886000,1.181685
cifar100,l1,l1_rc1e-5,l1,1e-05,none,3,5,47.976000,1.116123
cifar100,l1,l1_rc1e-5,l1,1e-05,none,3.25,5,46.888000,1.098212
cifar100,l1,l1_rc1e-5,l1,1e-05,none,3.5,5,45.318000,1.270756
cifar100,l1,l1_rc1e-5,l1,1e-05,none,3.75,5,43.588000,1.274665
cifar100,l1,l1_rc1e-5,l1,1e-05,none,4,5,41.852000,1.559429
cifar100,l1,l1_rc1e-5,l1,1e-05,none,4.25,5,39.648000,2.213226
