config,family,beta0,beta1,alpha,tau,beta,seed,checkpoint,val_clean,val_sigma5,val_auc,test_clean,test_sigma5,test_auc,clean_ok,sigma5_ok,eligible,ref_calibrated_clean,ref_old_mne_sigma5,clean_energy_mJ,clean_fire,eta,thresh_mode
interp_lerp_all_eta0.0,interp_lerp_all_eta0.0,,,,,,42,interp_lerp_all_eta0.0,62.98,5.16,218.89250000000007,57.4,5.66,204.08249999999998,False,False,False,63.91,41.14,0.49827762,0.104355,0.0,lerp_all
interp_lerp_all_eta0.1,interp_lerp_all_eta0.1,,,,,,42,interp_lerp_all_eta0.1,39.18,1.34,131.03,36.13,1.56,124.31875,False,False,False,63.91,41.14,0.47690353,0.100112,0.1,lerp_all
interp_lerp_all_eta0.2,interp_lerp_all_eta0.2,,,,,,42,interp_lerp_all_eta0.2,0.88,0.96,4.735,1.13,1.05,6.095000000000001,False,False,False,63.91,41.14,0.46249777,0.098121,0.2,lerp_all
interp_lerp_all_eta0.3,interp_lerp_all_eta0.3,,,,,,42,interp_lerp_all_eta0.3,1.2,0.96,6.409999999999999,1.25,0.99,6.714999999999999,False,False,False,63.91,41.14,0.46953108,0.098469,0.3,lerp_all
interp_lerp_all_eta0.4,interp_lerp_all_eta0.4,,,,,,42,interp_lerp_all_eta0.4,4.94,1.08,32.1475,5.19,1.19,33.83,False,False,False,63.91,41.14,0.47406893,0.098168,0.4,lerp_all
interp_lerp_all_eta0.5,interp_lerp_all_eta0.5,,,,,,42,interp_lerp_all_eta0.5,12.98,3.38,78.495,13.34,3.5,78.7,False,False,False,63.91,41.14,0.47519325,0.097554,0.5,lerp_all
interp_lerp_all_eta0.6,interp_lerp_all_eta0.6,,,,,,42,interp_lerp_all_eta0.6,23.64,9.74,129.80749999999998,22.88,9.75,125.89875,False,False,False,63.91,41.14,0.47591903,0.097068,0.6,lerp_all
interp_lerp_all_eta0.7,interp_lerp_all_eta0.7,,,,,,42,interp_lerp_all_eta0.7,38.82,18.3,187.91,37.5,17.91,179.25124999999997,False,False,False,63.91,41.14,0.47961765,0.097106,0.7,lerp_all
interp_lerp_all_eta0.8,interp_lerp_all_eta0.8,,,,,,42,interp_lerp_all_eta0.8,53.04,28.4,239.415,48.91,27.37,222.45000000000005,False,False,False,63.91,41.14,0.48389108,0.097207,0.8,lerp_all
interp_lerp_all_eta0.9,interp_lerp_all_eta0.9,,,,,,42,interp_lerp_all_eta0.9,59.02,37.08,269.57249999999993,53.89,34.81,247.07999999999998,False,False,False,63.91,41.14,0.48565094,0.096475,0.9,lerp_all
interp_lerp_all_eta1.0,interp_lerp_all_eta1.0,,,,,,42,interp_lerp_all_eta1.0,60.76,40.16,279.3400000000001,56.23,38.17,258.575,False,True,False,63.91,41.14,0.48552151,0.094821,1.0,lerp_all
interp_keep_mne_thresh_eta0.0,interp_keep_mne_thresh_eta0.0,,,,,,42,interp_keep_mne_thresh_eta0.0,63.08,36.42,288.5174999999999,57.62,35.64,267.105,False,False,False,63.91,41.14,0.46355972,0.084739,0.0,keep_mne_thresh
interp_keep_mne_thresh_eta0.1,interp_keep_mne_thresh_eta0.1,,,,,,42,interp_keep_mne_thresh_eta0.1,41.88,11.26,179.56750000000008,38.3,12.02,169.2025,False,False,False,63.91,41.14,0.45055089,0.084157,0.1,keep_mne_thresh
interp_keep_mne_thresh_eta0.2,interp_keep_mne_thresh_eta0.2,,,,,,42,interp_keep_mne_thresh_eta0.2,0.92,0.92,5.0649999999999995,1.07,1.13,6.4799999999999995,False,False,False,63.91,41.14,0.43741967,0.084434,0.2,keep_mne_thresh
interp_keep_mne_thresh_eta0.3,interp_keep_mne_thresh_eta0.3,,,,,,42,interp_keep_mne_thresh_eta0.3,1.24,0.96,6.389999999999999,1.28,1.03,6.98875,False,False,False,63.91,41.14,0.44635705,0.086676,0.3,keep_mne_thresh
interp_keep_mne_thresh_eta0.4,interp_keep_mne_thresh_eta0.4,,,,,,42,interp_keep_mne_thresh_eta0.4,4.38,4.1,34.82000000000001,4.71,4.31,37.114999999999995,False,False,False,63.91,41.14,0.45536732,0.088447,0.4,keep_mne_thresh
interp_keep_mne_thresh_eta0.5,interp_keep_mne_thresh_eta0.5,,,,,,42,interp_keep_mne_thresh_eta0.5,12.4,10.0,84.71,12.97,10.1,85.36875,False,False,False,63.91,41.14,0.46093908,0.089757,0.5,keep_mne_thresh
interp_keep_mne_thresh_eta0.6,interp_keep_mne_thresh_eta0.6,,,,,,42,interp_keep_mne_thresh_eta0.6,23.3,17.22,136.76500000000001,22.61,17.15,132.665,False,False,False,63.91,41.14,0.46548622,0.091055,0.6,keep_mne_thresh
interp_keep_mne_thresh_eta0.7,interp_keep_mne_thresh_eta0.7,,,,,,42,interp_keep_mne_thresh_eta0.7,38.98,24.18,195.04000000000005,37.19,23.53,185.65499999999997,False,False,False,63.91,41.14,0.47255744,0.092788,0.7,keep_mne_thresh
interp_keep_mne_thresh_eta0.8,interp_keep_mne_thresh_eta0.8,,,,,,42,interp_keep_mne_thresh_eta0.8,52.94,32.14,244.65000000000003,49.01,30.88,226.99874999999997,False,False,False,63.91,41.14,0.47981257,0.094463,0.8,keep_mne_thresh
interp_keep_mne_thresh_eta0.9,interp_keep_mne_thresh_eta0.9,,,,,,42,interp_keep_mne_thresh_eta0.9,59.02,38.6,272.0275,54.15,36.12,249.12124999999997,False,False,False,63.91,41.14,0.48393141,0.095161,0.9,keep_mne_thresh
