dataset,arch,method,method_label,regularizer,reg_coeff,weight_decay,seed,L,train_T,test_T,noise_position,sigma,acc,checkpoint,matrix_csv
cifar10,fc5_cifar,old_no_detach,MNE-standard (lambda trainable),mne_l2,0.005,0,42,16,0,16,post_input_if,0,49.530000,/home/595/sl9144/codes/snn_simulation/QCFS_simulation/cifar10-checkpoints/fc5_cifar_L[16]_cifar10_fc5_cifar_old_no_detach_rc0p005_seed42_L16_trainT0.pth,/home/595/sl9144/codes/snn_simulation/QCFS_simulation/../important_results/cifar10_mlp_fc5_mne_rc5e-3_no_detach_seed42/cifar10/fc5_cifar/old_no_detach/seed_42/noise_sweep_matrix_cifar10_fc5_cifar_T16_mode_rate_uniform_schedule_normal_seed_42.csv
cifar10,fc5_cifar,old_no_detach,MNE-standard (lambda trainable),mne_l2,0.005,0,42,16,0,16,post_input_if,0.1,49.390000,/home/595/sl9144/codes/snn_simulation/QCFS_simulation/cifar10-checkpoints/fc5_cifar_L[16]_cifar10_fc5_cifar_old_no_detach_rc0p005_seed42_L16_trainT0.pth,/home/595/sl9144/codes/snn_simulation/QCFS_simulation/../important_results/cifar10_mlp_fc5_mne_rc5e-3_no_detach_seed42/cifar10/fc5_cifar/old_no_detach/seed_42/noise_sweep_matrix_cifar10_fc5_cifar_T16_mode_rate_uniform_schedule_normal_seed_42.csv
cifar10,fc5_cifar,old_no_detach,MNE-standard (lambda trainable),mne_l2,0.005,0,42,16,0,16,post_input_if,0.2,49.320000,/home/595/sl9144/codes/snn_simulation/QCFS_simulation/cifar10-checkpoints/fc5_cifar_L[16]_cifar10_fc5_cifar_old_no_detach_rc0p005_seed42_L16_trainT0.pth,/home/595/sl9144/codes/snn_simulation/QCFS_simulation/../important_results/cifar10_mlp_fc5_mne_rc5e-3_no_detach_seed42/cifar10/fc5_cifar/old_no_detach/seed_42/noise_sweep_matrix_cifar10_fc5_cifar_T16_mode_rate_uniform_schedule_normal_seed_42.csv
cifar10,fc5_cifar,old_no_detach,MNE-standard (lambda trainable),mne_l2,0.005,0,42,16,0,16,post_input_if,0.3,49.310000,/home/595/sl9144/codes/snn_simulation/QCFS_simulation/cifar10-checkpoints/fc5_cifar_L[16]_cifar10_fc5_cifar_old_no_detach_rc0p005_seed42_L16_trainT0.pth,/home/595/sl9144/codes/snn_simulation/QCFS_simulation/../important_results/cifar10_mlp_fc5_mne_rc5e-3_no_detach_seed42/cifar10/fc5_cifar/old_no_detach/seed_42/noise_sweep_matrix_cifar10_fc5_cifar_T16_mode_rate_uniform_schedule_normal_seed_42.csv
cifar10,fc5_cifar,old_no_detach,MNE-standard (lambda trainable),mne_l2,0.005,0,42,16,0,16,post_input_if,0.4,49.200000,/home/595/sl9144/codes/snn_simulation/QCFS_simulation/cifar10-checkpoints/fc5_cifar_L[16]_cifar10_fc5_cifar_old_no_detach_rc0p005_seed42_L16_trainT0.pth,/home/595/sl9144/codes/snn_simulation/QCFS_simulation/../important_results/cifar10_mlp_fc5_mne_rc5e-3_no_detach_seed42/cifar10/fc5_cifar/old_no_detach/seed_42/noise_sweep_matrix_cifar10_fc5_cifar_T16_mode_rate_uniform_schedule_normal_seed_42.csv
cifar10,fc5_cifar,old_no_detach,MNE-standard (lambda trainable),mne_l2,0.005,0,42,16,0,16,post_input_if,0.5,48.830000,/home/595/sl9144/codes/snn_simulation/QCFS_simulation/cifar10-checkpoints/fc5_cifar_L[16]_cifar10_fc5_cifar_old_no_detach_rc0p005_seed42_L16_trainT0.pth,/home/595/sl9144/codes/snn_simulation/QCFS_simulation/../important_results/cifar10_mlp_fc5_mne_rc5e-3_no_detach_seed42/cifar10/fc5_cifar/old_no_detach/seed_42/noise_sweep_matrix_cifar10_fc5_cifar_T16_mode_rate_uniform_schedule_normal_seed_42.csv
cifar10,fc5_cifar,old_no_detach,MNE-standard (lambda trainable),mne_l2,0.005,0,42,16,0,16,post_input_if,0.6,49.160000,/home/595/sl9144/codes/snn_simulation/QCFS_simulation/cifar10-checkpoints/fc5_cifar_L[16]_cifar10_fc5_cifar_old_no_detach_rc0p005_seed42_L16_trainT0.pth,/home/595/sl9144/codes/snn_simulation/QCFS_simulation/../important_results/cifar10_mlp_fc5_mne_rc5e-3_no_detach_seed42/cifar10/fc5_cifar/old_no_detach/seed_42/noise_sweep_matrix_cifar10_fc5_cifar_T16_mode_rate_uniform_schedule_normal_seed_42.csv
cifar10,fc5_cifar,old_no_detach,MNE-standard (lambda trainable),mne_l2,0.005,0,42,16,0,16,post_input_if,0.7,48.760000,/home/595/sl9144/codes/snn_simulation/QCFS_simulation/cifar10-checkpoints/fc5_cifar_L[16]_cifar10_fc5_cifar_old_no_detach_rc0p005_seed42_L16_trainT0.pth,/home/595/sl9144/codes/snn_simulation/QCFS_simulation/../important_results/cifar10_mlp_fc5_mne_rc5e-3_no_detach_seed42/cifar10/fc5_cifar/old_no_detach/seed_42/noise_sweep_matrix_cifar10_fc5_cifar_T16_mode_rate_uniform_schedule_normal_seed_42.csv
cifar10,fc5_cifar,old_no_detach,MNE-standard (lambda trainable),mne_l2,0.005,0,42,16,0,16,post_input_if,0.8,48.130000,/home/595/sl9144/codes/snn_simulation/QCFS_simulation/cifar10-checkpoints/fc5_cifar_L[16]_cifar10_fc5_cifar_old_no_detach_rc0p005_seed42_L16_trainT0.pth,/home/595/sl9144/codes/snn_simulation/QCFS_simulation/../important_results/cifar10_mlp_fc5_mne_rc5e-3_no_detach_seed42/cifar10/fc5_cifar/old_no_detach/seed_42/noise_sweep_matrix_cifar10_fc5_cifar_T16_mode_rate_uniform_schedule_normal_seed_42.csv
cifar10,fc5_cifar,old_no_detach,MNE-standard (lambda trainable),mne_l2,0.005,0,42,16,0,16,post_input_if,0.9,48.670000,/home/595/sl9144/codes/snn_simulation/QCFS_simulation/cifar10-checkpoints/fc5_cifar_L[16]_cifar10_fc5_cifar_old_no_detach_rc0p005_seed42_L16_trainT0.pth,/home/595/sl9144/codes/snn_simulation/QCFS_simulation/../important_results/cifar10_mlp_fc5_mne_rc5e-3_no_detach_seed42/cifar10/fc5_cifar/old_no_detach/seed_42/noise_sweep_matrix_cifar10_fc5_cifar_T16_mode_rate_uniform_schedule_normal_seed_42.csv
