dataset,arch,method,method_label,regularizer,reg_coeff,weight_decay,seed,L,train_T,test_T,noise_position,sigma,acc,checkpoint,matrix_csv
cifar10,fc5_cifar,old_detach,MNE-standard,mne_l2,0.01,0,42,16,0,16,post_input_if,0,50.070000,/home/595/sl9144/codes/snn_simulation/QCFS_simulation/cifar10-checkpoints/fc5_cifar_L[16]_cifar10_fc5_cifar_old_detach_rc0p01_seed42_L16_trainT0.pth,../important_results/cifar10_mlp_fc5_mne_rc_scan_seed42/rc_1e-2/cifar10/fc5_cifar/old_detach/seed_42/noise_sweep_matrix_cifar10_fc5_cifar_T16_mode_rate_uniform_schedule_normal_seed_42.csv
cifar10,fc5_cifar,old_detach,MNE-standard,mne_l2,0.01,0,42,16,0,16,post_input_if,0.1,49.950000,/home/595/sl9144/codes/snn_simulation/QCFS_simulation/cifar10-checkpoints/fc5_cifar_L[16]_cifar10_fc5_cifar_old_detach_rc0p01_seed42_L16_trainT0.pth,../important_results/cifar10_mlp_fc5_mne_rc_scan_seed42/rc_1e-2/cifar10/fc5_cifar/old_detach/seed_42/noise_sweep_matrix_cifar10_fc5_cifar_T16_mode_rate_uniform_schedule_normal_seed_42.csv
cifar10,fc5_cifar,old_detach,MNE-standard,mne_l2,0.01,0,42,16,0,16,post_input_if,0.2,50.190000,/home/595/sl9144/codes/snn_simulation/QCFS_simulation/cifar10-checkpoints/fc5_cifar_L[16]_cifar10_fc5_cifar_old_detach_rc0p01_seed42_L16_trainT0.pth,../important_results/cifar10_mlp_fc5_mne_rc_scan_seed42/rc_1e-2/cifar10/fc5_cifar/old_detach/seed_42/noise_sweep_matrix_cifar10_fc5_cifar_T16_mode_rate_uniform_schedule_normal_seed_42.csv
cifar10,fc5_cifar,old_detach,MNE-standard,mne_l2,0.01,0,42,16,0,16,post_input_if,0.3,49.710000,/home/595/sl9144/codes/snn_simulation/QCFS_simulation/cifar10-checkpoints/fc5_cifar_L[16]_cifar10_fc5_cifar_old_detach_rc0p01_seed42_L16_trainT0.pth,../important_results/cifar10_mlp_fc5_mne_rc_scan_seed42/rc_1e-2/cifar10/fc5_cifar/old_detach/seed_42/noise_sweep_matrix_cifar10_fc5_cifar_T16_mode_rate_uniform_schedule_normal_seed_42.csv
cifar10,fc5_cifar,old_detach,MNE-standard,mne_l2,0.01,0,42,16,0,16,post_input_if,0.4,49.770000,/home/595/sl9144/codes/snn_simulation/QCFS_simulation/cifar10-checkpoints/fc5_cifar_L[16]_cifar10_fc5_cifar_old_detach_rc0p01_seed42_L16_trainT0.pth,../important_results/cifar10_mlp_fc5_mne_rc_scan_seed42/rc_1e-2/cifar10/fc5_cifar/old_detach/seed_42/noise_sweep_matrix_cifar10_fc5_cifar_T16_mode_rate_uniform_schedule_normal_seed_42.csv
cifar10,fc5_cifar,old_detach,MNE-standard,mne_l2,0.01,0,42,16,0,16,post_input_if,0.5,49.650000,/home/595/sl9144/codes/snn_simulation/QCFS_simulation/cifar10-checkpoints/fc5_cifar_L[16]_cifar10_fc5_cifar_old_detach_rc0p01_seed42_L16_trainT0.pth,../important_results/cifar10_mlp_fc5_mne_rc_scan_seed42/rc_1e-2/cifar10/fc5_cifar/old_detach/seed_42/noise_sweep_matrix_cifar10_fc5_cifar_T16_mode_rate_uniform_schedule_normal_seed_42.csv
cifar10,fc5_cifar,old_detach,MNE-standard,mne_l2,0.01,0,42,16,0,16,post_input_if,0.6,49.780000,/home/595/sl9144/codes/snn_simulation/QCFS_simulation/cifar10-checkpoints/fc5_cifar_L[16]_cifar10_fc5_cifar_old_detach_rc0p01_seed42_L16_trainT0.pth,../important_results/cifar10_mlp_fc5_mne_rc_scan_seed42/rc_1e-2/cifar10/fc5_cifar/old_detach/seed_42/noise_sweep_matrix_cifar10_fc5_cifar_T16_mode_rate_uniform_schedule_normal_seed_42.csv
cifar10,fc5_cifar,old_detach,MNE-standard,mne_l2,0.01,0,42,16,0,16,post_input_if,0.7,49.620000,/home/595/sl9144/codes/snn_simulation/QCFS_simulation/cifar10-checkpoints/fc5_cifar_L[16]_cifar10_fc5_cifar_old_detach_rc0p01_seed42_L16_trainT0.pth,../important_results/cifar10_mlp_fc5_mne_rc_scan_seed42/rc_1e-2/cifar10/fc5_cifar/old_detach/seed_42/noise_sweep_matrix_cifar10_fc5_cifar_T16_mode_rate_uniform_schedule_normal_seed_42.csv
cifar10,fc5_cifar,old_detach,MNE-standard,mne_l2,0.01,0,42,16,0,16,post_input_if,0.8,49.270000,/home/595/sl9144/codes/snn_simulation/QCFS_simulation/cifar10-checkpoints/fc5_cifar_L[16]_cifar10_fc5_cifar_old_detach_rc0p01_seed42_L16_trainT0.pth,../important_results/cifar10_mlp_fc5_mne_rc_scan_seed42/rc_1e-2/cifar10/fc5_cifar/old_detach/seed_42/noise_sweep_matrix_cifar10_fc5_cifar_T16_mode_rate_uniform_schedule_normal_seed_42.csv
cifar10,fc5_cifar,old_detach,MNE-standard,mne_l2,0.01,0,42,16,0,16,post_input_if,0.9,49.050000,/home/595/sl9144/codes/snn_simulation/QCFS_simulation/cifar10-checkpoints/fc5_cifar_L[16]_cifar10_fc5_cifar_old_detach_rc0p01_seed42_L16_trainT0.pth,../important_results/cifar10_mlp_fc5_mne_rc_scan_seed42/rc_1e-2/cifar10/fc5_cifar/old_detach/seed_42/noise_sweep_matrix_cifar10_fc5_cifar_T16_mode_rate_uniform_schedule_normal_seed_42.csv
cifar10,fc5_cifar,old_detach,MNE-standard,mne_l2,0.01,0,42,16,0,16,post_input_if,1,49.440000,/home/595/sl9144/codes/snn_simulation/QCFS_simulation/cifar10-checkpoints/fc5_cifar_L[16]_cifar10_fc5_cifar_old_detach_rc0p01_seed42_L16_trainT0.pth,../important_results/cifar10_mlp_fc5_mne_rc_scan_seed42/rc_1e-2/cifar10/fc5_cifar/old_detach/seed_42/noise_sweep_matrix_cifar10_fc5_cifar_T16_mode_rate_uniform_schedule_normal_seed_42.csv
