dataset,method,method_label,sigma,n,acc_mean,acc_std
cifar10,old_detach,MNE-standard,0,1,35.030000,0.000000
cifar10,old_detach,MNE-standard,0.1,1,35.080000,0.000000
cifar10,old_detach,MNE-standard,0.2,1,34.960000,0.000000
cifar10,old_detach,MNE-standard,0.3,1,34.860000,0.000000
cifar10,old_detach,MNE-standard,0.4,1,35.020000,0.000000
cifar10,old_detach,MNE-standard,0.5,1,35.120000,0.000000
cifar10,old_detach,MNE-standard,0.6,1,34.670000,0.000000
cifar10,old_detach,MNE-standard,0.7,1,34.820000,0.000000
cifar10,old_detach,MNE-standard,0.8,1,34.640000,0.000000
cifar10,old_detach,MNE-standard,0.9,1,34.900000,0.000000
cifar10,old_detach,MNE-standard,1,1,34.460000,0.000000
