stage,epoch,epochs,regularizer,reg_coeff,param_kind,layer,numel,value_mean,value_rms,value_l2,grad_ce_l2,grad_reg_l2,grad_total_l2,cos_ce_reg,dot_ce_reg,sign_agree_frac,grad_ce_mean,grad_reg_mean,ce_loss,reg_loss
early,0,300,mne_l2_all,0.0001,bn_gamma,layer1.1,64,0.930880606174469,0.9372791051864624,7.498232841491699,0.04258675128221512,0.0014996465761214495,0.04256172105669975,-0.03429586311882048,-2.190307895943988e-06,0.484375,-0.0004309142823331058,0.00018617611203808337,2.1274662017822266,0.4488109350204468
early,0,300,mne_l2_all,0.0001,lambda,layer1.2,1,7.349259376525879,7.349259376525879,7.349259376525879,0.0011264801723882556,0.001469851820729673,0.0025963319931179285,1.000000028031124,1.6557589788135374e-06,1.0,0.0011264801723882556,0.001469851820729673,2.1274662017822266,0.4488109350204468
early,0,300,mne_l2_all,0.0001,bn_gamma,layer1.5,64,0.9268187880516052,0.9276329278945923,7.421063423156738,0.021050969138741493,0.0014842125819996,0.021133562549948692,0.02050373655972609,6.406210673048918e-07,0.53125,5.682951450580731e-05,0.00018536373681854457,2.1274662017822266,0.4488109350204468
early,0,300,mne_l2_all,0.0001,lambda,layer1.6,1,7.403676986694336,7.403676986694336,7.403676986694336,0.0003232923336327076,0.0014807353727519512,0.0018040277063846588,0.9999999625635633,4.787103762282641e-07,1.0,0.0003232923336327076,0.0014807353727519512,2.1274662017822266,0.4488109350204468
early,0,300,mne_l2_all,0.0001,bn_gamma,layer2.1,128,0.9274891018867493,0.9277239441871643,10.49599838256836,0.011363377794623375,0.0020991996861994267,0.01151343248784542,-0.020413446164999897,-4.869423264608486e-07,0.515625,-2.0566658349707723e-05,0.00018549781816545874,2.1274662017822266,0.4488109350204468
early,0,300,mne_l2_all,0.0001,lambda,layer2.2,1,7.39285945892334,7.39285945892334,7.39285945892334,0.0003978898748755455,0.0014785719104111195,0.001876461785286665,1.0000000262851056,5.883088078917353e-07,1.0,0.0003978898748755455,0.0014785719104111195,2.1274662017822266,0.4488109350204468
early,0,300,mne_l2_all,0.0001,bn_gamma,layer2.5,128,0.9270523190498352,0.9272441267967224,10.490569114685059,0.00680330116301775,0.0020981139969080687,0.007143829017877579,0.012165520263829633,1.7365186977258418e-07,0.453125,8.59500141814351e-06,0.00018541046301834285,2.1274662017822266,0.4488109350204468
early,0,300,mne_l2_all,0.0001,lambda,layer2.6,1,7.399727821350098,7.399727821350098,7.399727821350098,5.24099450558424e-05,0.0014799454947933555,0.001427535549737513,-0.9999999876736853,-7.756386111168467e-08,0.0,-5.24099450558424e-05,0.0014799454947933555,2.1274662017822266,0.4488109350204468
early,0,300,mne_l2_all,0.0001,bn_gamma,layer3.1,256,0.9266442060470581,0.9267143607139587,14.82742977142334,0.00540401553735137,0.0029654859099537134,0.00612647645175457,-0.014469864166833208,-2.3188727027445566e-07,0.48046875,-4.807403456652537e-06,0.00018532884132582694,2.1274662017822266,0.4488109350204468
early,0,300,mne_l2_all,0.0001,lambda,layer3.2,1,7.399808883666992,7.399808883666992,7.399808883666992,0.00016532279551029205,0.0014799617929384112,0.0016452845884487033,0.9999999638808167,2.4467141201967024e-07,1.0,0.00016532279551029205,0.0014799617929384112,2.1274662017822266,0.4488109350204468
