stage,epoch,epochs,regularizer,reg_coeff,param_kind,layer,numel,value_mean,value_rms,value_l2,grad_ce_l2,grad_reg_l2,grad_total_l2,cos_ce_reg,dot_ce_reg,sign_agree_frac,grad_ce_mean,grad_reg_mean,ce_loss,reg_loss
early,0,300,mne_l2,0.0001,bn_gamma,layer1.1,64,1.004035472869873,1.0089778900146484,8.071823120117188,0.01863088458776474,0.0,0.01863088458776474,nan,0.0,0.0,-0.00011002547398675233,0.0,2.068537950515747,0.0045910729095339775
early,0,300,mne_l2,0.0001,lambda,layer1.2,1,7.964754581451416,7.964754581451416,7.964754581451416,0.00048156484263017774,3.155678859911859e-05,0.00045000805403105915,-1.0000000299319562,-1.5196640390513494e-08,0.0,0.00048156484263017774,-3.155678859911859e-05,2.068537950515747,0.0045910729095339775
early,0,300,mne_l2,0.0001,bn_gamma,layer1.5,64,1.0010156631469727,1.0017365217208862,8.01389217376709,0.012193676084280014,0.0,0.012193676084280014,nan,0.0,0.0,3.6298224586062133e-06,0.0,2.068537950515747,0.0045910729095339775
early,0,300,mne_l2,0.0001,lambda,layer1.6,1,8.024617195129395,8.024617195129395,8.024617195129395,9.636016329750419e-06,5.8363199059385806e-05,6.799921538913622e-05,1.0000000133191218,5.6238874668324e-10,1.0,-9.636016329750419e-06,-5.8363199059385806e-05,2.068537950515747,0.0045910729095339775
early,0,300,mne_l2,0.0001,bn_gamma,layer2.1,128,1.0003260374069214,1.0005079507827759,11.31945514678955,0.007646483834832907,0.0,0.007646483834832907,nan,0.0,0.0,-8.208902727346867e-06,0.0,2.068537950515747,0.0045910729095339775
early,0,300,mne_l2,0.0001,lambda,layer2.2,1,8.062615394592285,8.062615394592285,8.062615394592285,9.577907621860504e-05,0.00013321777805685997,3.743870183825493e-05,-1.0000000332411692,-1.2759476142321091e-08,0.0,9.577907621860504e-05,-0.00013321777805685997,2.068537950515747,0.0045910729095339775
early,0,300,mne_l2,0.0001,bn_gamma,layer2.5,128,1.0007973909378052,1.0009433031082153,11.324380874633789,0.0070054479874670506,0.0,0.0070054479874670506,nan,0.0,0.0,3.3596224966458976e-06,0.0,2.068537950515747,0.0045910729095339775
early,0,300,mne_l2,0.0001,lambda,layer2.6,1,8.023521423339844,8.023521423339844,8.023521423339844,2.509821206331253e-05,7.197169179562479e-05,9.706990385893732e-05,1.0000000306934191,1.8063608386853502e-09,1.0,-2.509821206331253e-05,-7.197169179562479e-05,2.068537950515747,0.0045910729095339775
early,0,300,mne_l2,0.0001,bn_gamma,layer3.1,256,1.0000606775283813,1.0001095533370972,16.001752853393555,0.006254859734326601,0.0,0.006254859734326601,nan,0.0,0.0,1.9463150238152593e-06,0.0,2.068537950515747,0.0045910729095339775
early,0,300,mne_l2,0.0001,lambda,layer3.2,1,8.08366584777832,8.08366584777832,8.08366584777832,5.663977935910225e-05,0.00014643039321526885,0.0002030701725743711,1.0000000061473266,8.293785214164018e-09,1.0,-5.663977935910225e-05,-0.00014643039321526885,2.068537950515747,0.0045910729095339775
early,0,300,mne_l2,0.0001,bn_gamma,layer3.5,256,1.0001015663146973,1.0001457929611206,16.00233268737793,0.006370166316628456,0.0,0.006370166316628456,nan,0.0,0.0,2.1137284420547076e-06,0.0,2.068537950515747,0.0045910729095339775
early,0,300,mne_l2,0.0001,lambda,layer3.6,1,8.03709888458252,8.03709888458252,8.03709888458252,4.266190808266401e-05,8.160726429196075e-05,0.00012426916509866714,0.9999999734091939,3.4815215155248325e-09,1.0,-4.266190808266401e-05,-8.160726429196075e-05,2.068537950515747,0.0045910729095339775
early,0,300,mne_l2,0.0001,bn_gamma,layer3.9,256,1.0001931190490723,1.0002235174179077,16.003576278686523,0.0049373391084373,0.0,0.0049373391084373,nan,0.0,0.0,-1.7516986190457828e-06,0.0,2.068537950515747,0.0045910729095339775
early,0,300,mne_l2,0.0001,lambda,layer3.10,1,8.033880233764648,8.033880233764648,8.033880233764648,7.074984023347497e-05,8.501873526256531e-05,1.4268895029090345e-05,-0.9999999742838376,-6.015061781994291e-09,0.0,7.074984023347497e-05,-8.501873526256531e-05,2.068537950515747,0.0045910729095339775
early,0,300,mne_l2,0.0001,bn_gamma,layer4.1,512,1.0000638961791992,1.0000792741775513,22.62921142578125,0.004340267740190029,0.0,0.004340267740190029,nan,0.0,0.0,-3.2148636819329113e-07,0.0,2.068537950515747,0.0045910729095339775
early,0,300,mne_l2,0.0001,lambda,layer4.2,1,8.07258129119873,8.07258129119873,8.07258129119873,2.6538269594311714e-05,0.0001290319487452507,0.00010249367915093899,-0.9999999975303522,-3.4242846336240973e-09,0.0,2.6538269594311714e-05,-0.0001290319487452507,2.068537950515747,0.0045910729095339775
early,0,300,mne_l2,0.0001,bn_gamma,layer4.5,512,1.0001444816589355,1.0001575946807861,22.630983352661133,0.004430504981428385,0.0,0.004430504981428385,nan,0.0,0.0,-2.6620773496688344e-07,0.0,2.068537950515747,0.0045910729095339775
early,0,300,mne_l2,0.0001,lambda,layer4.6,1,8.02710247039795,8.02710247039795,8.02710247039795,2.5667017325758934e-05,6.967511581024155e-05,4.4008098484482616e-05,-0.9999999722741365,-1.7883523550921154e-09,0.0,2.5667017325758934e-05,-6.967511581024155e-05,2.068537950515747,0.0045910729095339775
