dataset,variant,variant_label,regularizer,reg_coeff,hinge_tau,sigma,n,acc_mean,acc_std
cifar10,calibrated_mne_a0p1,l2_calibrated_mne_alpha_0p1,calibrated_mne_l2,0.0005,none,0,1,82.730000,0.000000
cifar10,calibrated_mne_a0p1,l2_calibrated_mne_alpha_0p1,calibrated_mne_l2,0.0005,none,0.25,1,74.200000,0.000000
cifar10,calibrated_mne_a0p1,l2_calibrated_mne_alpha_0p1,calibrated_mne_l2,0.0005,none,0.5,1,61.640000,0.000000
cifar10,calibrated_mne_a0p1,l2_calibrated_mne_alpha_0p1,calibrated_mne_l2,0.0005,none,0.75,1,48.730000,0.000000
cifar10,calibrated_mne_a0p1,l2_calibrated_mne_alpha_0p1,calibrated_mne_l2,0.0005,none,1,1,36.000000,0.000000
cifar10,calibrated_mne_a0p1,l2_calibrated_mne_alpha_0p1,calibrated_mne_l2,0.0005,none,1.25,1,27.260000,0.000000
cifar10,calibrated_mne_a0p1,l2_calibrated_mne_alpha_0p1,calibrated_mne_l2,0.0005,none,1.5,1,20.810000,0.000000
cifar10,calibrated_mne_a0p1,l2_calibrated_mne_alpha_0p1,calibrated_mne_l2,0.0005,none,1.75,1,16.850000,0.000000
cifar10,calibrated_mne_a0p1,l2_calibrated_mne_alpha_0p1,calibrated_mne_l2,0.0005,none,2,1,14.690000,0.000000
cifar10,calibrated_mne_a0p1,l2_calibrated_mne_alpha_0p1,calibrated_mne_l2,0.0005,none,2.25,1,13.070000,0.000000
cifar10,calibrated_mne_a0p1,l2_calibrated_mne_alpha_0p1,calibrated_mne_l2,0.0005,none,2.5,1,11.510000,0.000000
cifar10,calibrated_mne_a0p1,l2_calibrated_mne_alpha_0p1,calibrated_mne_l2,0.0005,none,2.75,1,10.500000,0.000000
cifar10,calibrated_mne_a0p1,l2_calibrated_mne_alpha_0p1,calibrated_mne_l2,0.0005,none,3,1,9.670000,0.000000
cifar10,old_detach,old_mne_detach_lambda,mne_l2,0.0001,none,0,1,79.040000,0.000000
cifar10,old_detach,old_mne_detach_lambda,mne_l2,0.0001,none,0.25,1,74.930000,0.000000
cifar10,old_detach,old_mne_detach_lambda,mne_l2,0.0001,none,0.5,1,69.150000,0.000000
cifar10,old_detach,old_mne_detach_lambda,mne_l2,0.0001,none,0.75,1,59.330000,0.000000
cifar10,old_detach,old_mne_detach_lambda,mne_l2,0.0001,none,1,1,47.290000,0.000000
cifar10,old_detach,old_mne_detach_lambda,mne_l2,0.0001,none,1.25,1,36.990000,0.000000
cifar10,old_detach,old_mne_detach_lambda,mne_l2,0.0001,none,1.5,1,30.120000,0.000000
cifar10,old_detach,old_mne_detach_lambda,mne_l2,0.0001,none,1.75,1,24.270000,0.000000
cifar10,old_detach,old_mne_detach_lambda,mne_l2,0.0001,none,2,1,21.010000,0.000000
cifar10,old_detach,old_mne_detach_lambda,mne_l2,0.0001,none,2.25,1,18.040000,0.000000
cifar10,old_detach,old_mne_detach_lambda,mne_l2,0.0001,none,2.5,1,16.480000,0.000000
cifar10,old_detach,old_mne_detach_lambda,mne_l2,0.0001,none,2.75,1,15.040000,0.000000
cifar10,old_detach,old_mne_detach_lambda,mne_l2,0.0001,none,3,1,14.120000,0.000000
cifar10,weight_decay,weight_decay,weight_decay,none,none,0,1,82.500000,0.000000
cifar10,weight_decay,weight_decay,weight_decay,none,none,0.25,1,74.490000,0.000000
cifar10,weight_decay,weight_decay,weight_decay,none,none,0.5,1,63.340000,0.000000
cifar10,weight_decay,weight_decay,weight_decay,none,none,0.75,1,51.870000,0.000000
cifar10,weight_decay,weight_decay,weight_decay,none,none,1,1,40.820000,0.000000
cifar10,weight_decay,weight_decay,weight_decay,none,none,1.25,1,32.880000,0.000000
cifar10,weight_decay,weight_decay,weight_decay,none,none,1.5,1,26.330000,0.000000
cifar10,weight_decay,weight_decay,weight_decay,none,none,1.75,1,21.820000,0.000000
cifar10,weight_decay,weight_decay,weight_decay,none,none,2,1,18.670000,0.000000
cifar10,weight_decay,weight_decay,weight_decay,none,none,2.25,1,15.460000,0.000000
cifar10,weight_decay,weight_decay,weight_decay,none,none,2.5,1,14.270000,0.000000
cifar10,weight_decay,weight_decay,weight_decay,none,none,2.75,1,12.180000,0.000000
cifar10,weight_decay,weight_decay,weight_decay,none,none,3,1,11.240000,0.000000
cifar10,weight_decay_weights_only,weight_decay_conv_linear_only,weight_decay_weights_only,none,none,0,1,82.700000,0.000000
cifar10,weight_decay_weights_only,weight_decay_conv_linear_only,weight_decay_weights_only,none,none,0.25,1,75.080000,0.000000
cifar10,weight_decay_weights_only,weight_decay_conv_linear_only,weight_decay_weights_only,none,none,0.5,1,62.850000,0.000000
cifar10,weight_decay_weights_only,weight_decay_conv_linear_only,weight_decay_weights_only,none,none,0.75,1,50.050000,0.000000
