method,label,sigma,acc_mean,acc_std,n_seeds
margin_mne,Margin-MNE,0.00,79.250000,0.000000,1
margin_mne,Margin-MNE,0.05,79.360000,0.000000,1
margin_mne,Margin-MNE,0.10,79.200000,0.000000,1
margin_mne,Margin-MNE,0.15,79.150000,0.000000,1
margin_mne,Margin-MNE,0.20,79.060000,0.000000,1
margin_mne,Margin-MNE,0.25,78.920000,0.000000,1
margin_mne,Margin-MNE,0.30,78.560000,0.000000,1
margin_mne,Margin-MNE,0.35,78.520000,0.000000,1
margin_mne,Margin-MNE,0.40,78.280000,0.000000,1
margin_mne,Margin-MNE,0.45,78.250000,0.000000,1
margin_mne,Margin-MNE,0.50,78.010000,0.000000,1
margin_mne,Margin-MNE,0.55,77.480000,0.000000,1
margin_mne,Margin-MNE,0.60,77.010000,0.000000,1
margin_mne,Margin-MNE,0.65,76.490000,0.000000,1
margin_mne,Margin-MNE,0.70,75.850000,0.000000,1
margin_mne,Margin-MNE,0.75,74.770000,0.000000,1
margin_mne,Margin-MNE,0.80,73.520000,0.000000,1
margin_mne,Margin-MNE,0.85,73.130000,0.000000,1
margin_mne,Margin-MNE,0.90,71.400000,0.000000,1
margin_mne,Margin-MNE,0.95,69.930000,0.000000,1
margin_mne,Margin-MNE,1.00,68.320000,0.000000,1
mne_l2,MNE-standard,0.00,90.500000,0.000000,1
mne_l2,MNE-standard,0.05,90.440000,0.000000,1
mne_l2,MNE-standard,0.10,90.470000,0.000000,1
mne_l2,MNE-standard,0.15,90.260000,0.000000,1
mne_l2,MNE-standard,0.20,90.110000,0.000000,1
mne_l2,MNE-standard,0.25,89.750000,0.000000,1
mne_l2,MNE-standard,0.30,89.650000,0.000000,1
mne_l2,MNE-standard,0.35,89.060000,0.000000,1
mne_l2,MNE-standard,0.40,88.210000,0.000000,1
mne_l2,MNE-standard,0.45,87.440000,0.000000,1
mne_l2,MNE-standard,0.50,86.460000,0.000000,1
mne_l2,MNE-standard,0.55,85.570000,0.000000,1
mne_l2,MNE-standard,0.60,83.740000,0.000000,1
mne_l2,MNE-standard,0.65,82.370000,0.000000,1
mne_l2,MNE-standard,0.70,80.570000,0.000000,1
mne_l2,MNE-standard,0.75,78.840000,0.000000,1
mne_l2,MNE-standard,0.80,76.790000,0.000000,1
mne_l2,MNE-standard,0.85,74.660000,0.000000,1
mne_l2,MNE-standard,0.90,72.290000,0.000000,1
mne_l2,MNE-standard,0.95,70.360000,0.000000,1
mne_l2,MNE-standard,1.00,67.680000,0.000000,1
pc_mne,PC-MNE,0.00,87.390000,0.000000,1
pc_mne,PC-MNE,0.05,87.230000,0.000000,1
pc_mne,PC-MNE,0.10,87.280000,0.000000,1
pc_mne,PC-MNE,0.15,87.240000,0.000000,1
pc_mne,PC-MNE,0.20,87.240000,0.000000,1
pc_mne,PC-MNE,0.25,87.060000,0.000000,1
pc_mne,PC-MNE,0.30,86.960000,0.000000,1
pc_mne,PC-MNE,0.35,87.000000,0.000000,1
pc_mne,PC-MNE,0.40,86.590000,0.000000,1
pc_mne,PC-MNE,0.45,86.200000,0.000000,1
pc_mne,PC-MNE,0.50,85.800000,0.000000,1
pc_mne,PC-MNE,0.55,85.520000,0.000000,1
pc_mne,PC-MNE,0.60,84.470000,0.000000,1
pc_mne,PC-MNE,0.65,83.820000,0.000000,1
pc_mne,PC-MNE,0.70,82.260000,0.000000,1
pc_mne,PC-MNE,0.75,81.350000,0.000000,1
pc_mne,PC-MNE,0.80,79.420000,0.000000,1
pc_mne,PC-MNE,0.85,77.640000,0.000000,1
pc_mne,PC-MNE,0.90,75.750000,0.000000,1
pc_mne,PC-MNE,0.95,73.740000,0.000000,1
pc_mne,PC-MNE,1.00,71.110000,0.000000,1
weight_decay,L2-all-WD,0.00,90.500000,0.000000,1
weight_decay,L2-all-WD,0.05,90.400000,0.000000,1
weight_decay,L2-all-WD,0.10,90.400000,0.000000,1
weight_decay,L2-all-WD,0.15,90.320000,0.000000,1
weight_decay,L2-all-WD,0.20,90.130000,0.000000,1
weight_decay,L2-all-WD,0.25,89.850000,0.000000,1
weight_decay,L2-all-WD,0.30,89.450000,0.000000,1
weight_decay,L2-all-WD,0.35,89.180000,0.000000,1
weight_decay,L2-all-WD,0.40,88.620000,0.000000,1
weight_decay,L2-all-WD,0.45,88.000000,0.000000,1
weight_decay,L2-all-WD,0.50,87.250000,0.000000,1
weight_decay,L2-all-WD,0.55,86.470000,0.000000,1
weight_decay,L2-all-WD,0.60,85.470000,0.000000,1
weight_decay,L2-all-WD,0.65,84.020000,0.000000,1
weight_decay,L2-all-WD,0.70,83.340000,0.000000,1
weight_decay,L2-all-WD,0.75,82.090000,0.000000,1
weight_decay,L2-all-WD,0.80,80.470000,0.000000,1
weight_decay,L2-all-WD,0.85,79.000000,0.000000,1
weight_decay,L2-all-WD,0.90,77.680000,0.000000,1
weight_decay,L2-all-WD,0.95,76.080000,0.000000,1
weight_decay,L2-all-WD,1.00,74.400000,0.000000,1
