dataset,method,label,seed,sigma,acc,checkpoint,matrix_csv
cifar10,pc_mne,PC-MNE,42,0.00,87.390000,/home/595/sl9144/codes/snn_simulation/QCFS_simulation/cifar10-checkpoints/vgg16_L[16]_pcmnecmp_seed42_pc_mne_l16_vgg16_rc1ep00.pth,../important_results/cifar10_vgg16_pc_margin_mne_pre_first_conv_seed42/PC-MNE/seed_42/noise_sweep_matrix_cifar10_vgg16_T16_mode_rate_uniform_schedule_normal_seed_42.csv
cifar10,pc_mne,PC-MNE,42,0.05,87.230000,/home/595/sl9144/codes/snn_simulation/QCFS_simulation/cifar10-checkpoints/vgg16_L[16]_pcmnecmp_seed42_pc_mne_l16_vgg16_rc1ep00.pth,../important_results/cifar10_vgg16_pc_margin_mne_pre_first_conv_seed42/PC-MNE/seed_42/noise_sweep_matrix_cifar10_vgg16_T16_mode_rate_uniform_schedule_normal_seed_42.csv
cifar10,pc_mne,PC-MNE,42,0.10,87.280000,/home/595/sl9144/codes/snn_simulation/QCFS_simulation/cifar10-checkpoints/vgg16_L[16]_pcmnecmp_seed42_pc_mne_l16_vgg16_rc1ep00.pth,../important_results/cifar10_vgg16_pc_margin_mne_pre_first_conv_seed42/PC-MNE/seed_42/noise_sweep_matrix_cifar10_vgg16_T16_mode_rate_uniform_schedule_normal_seed_42.csv
cifar10,pc_mne,PC-MNE,42,0.15,87.240000,/home/595/sl9144/codes/snn_simulation/QCFS_simulation/cifar10-checkpoints/vgg16_L[16]_pcmnecmp_seed42_pc_mne_l16_vgg16_rc1ep00.pth,../important_results/cifar10_vgg16_pc_margin_mne_pre_first_conv_seed42/PC-MNE/seed_42/noise_sweep_matrix_cifar10_vgg16_T16_mode_rate_uniform_schedule_normal_seed_42.csv
cifar10,pc_mne,PC-MNE,42,0.20,87.240000,/home/595/sl9144/codes/snn_simulation/QCFS_simulation/cifar10-checkpoints/vgg16_L[16]_pcmnecmp_seed42_pc_mne_l16_vgg16_rc1ep00.pth,../important_results/cifar10_vgg16_pc_margin_mne_pre_first_conv_seed42/PC-MNE/seed_42/noise_sweep_matrix_cifar10_vgg16_T16_mode_rate_uniform_schedule_normal_seed_42.csv
cifar10,pc_mne,PC-MNE,42,0.25,87.060000,/home/595/sl9144/codes/snn_simulation/QCFS_simulation/cifar10-checkpoints/vgg16_L[16]_pcmnecmp_seed42_pc_mne_l16_vgg16_rc1ep00.pth,../important_results/cifar10_vgg16_pc_margin_mne_pre_first_conv_seed42/PC-MNE/seed_42/noise_sweep_matrix_cifar10_vgg16_T16_mode_rate_uniform_schedule_normal_seed_42.csv
cifar10,pc_mne,PC-MNE,42,0.30,86.960000,/home/595/sl9144/codes/snn_simulation/QCFS_simulation/cifar10-checkpoints/vgg16_L[16]_pcmnecmp_seed42_pc_mne_l16_vgg16_rc1ep00.pth,../important_results/cifar10_vgg16_pc_margin_mne_pre_first_conv_seed42/PC-MNE/seed_42/noise_sweep_matrix_cifar10_vgg16_T16_mode_rate_uniform_schedule_normal_seed_42.csv
cifar10,pc_mne,PC-MNE,42,0.35,87.000000,/home/595/sl9144/codes/snn_simulation/QCFS_simulation/cifar10-checkpoints/vgg16_L[16]_pcmnecmp_seed42_pc_mne_l16_vgg16_rc1ep00.pth,../important_results/cifar10_vgg16_pc_margin_mne_pre_first_conv_seed42/PC-MNE/seed_42/noise_sweep_matrix_cifar10_vgg16_T16_mode_rate_uniform_schedule_normal_seed_42.csv
cifar10,pc_mne,PC-MNE,42,0.40,86.590000,/home/595/sl9144/codes/snn_simulation/QCFS_simulation/cifar10-checkpoints/vgg16_L[16]_pcmnecmp_seed42_pc_mne_l16_vgg16_rc1ep00.pth,../important_results/cifar10_vgg16_pc_margin_mne_pre_first_conv_seed42/PC-MNE/seed_42/noise_sweep_matrix_cifar10_vgg16_T16_mode_rate_uniform_schedule_normal_seed_42.csv
cifar10,pc_mne,PC-MNE,42,0.45,86.200000,/home/595/sl9144/codes/snn_simulation/QCFS_simulation/cifar10-checkpoints/vgg16_L[16]_pcmnecmp_seed42_pc_mne_l16_vgg16_rc1ep00.pth,../important_results/cifar10_vgg16_pc_margin_mne_pre_first_conv_seed42/PC-MNE/seed_42/noise_sweep_matrix_cifar10_vgg16_T16_mode_rate_uniform_schedule_normal_seed_42.csv
cifar10,pc_mne,PC-MNE,42,0.50,85.800000,/home/595/sl9144/codes/snn_simulation/QCFS_simulation/cifar10-checkpoints/vgg16_L[16]_pcmnecmp_seed42_pc_mne_l16_vgg16_rc1ep00.pth,../important_results/cifar10_vgg16_pc_margin_mne_pre_first_conv_seed42/PC-MNE/seed_42/noise_sweep_matrix_cifar10_vgg16_T16_mode_rate_uniform_schedule_normal_seed_42.csv
cifar10,pc_mne,PC-MNE,42,0.55,85.520000,/home/595/sl9144/codes/snn_simulation/QCFS_simulation/cifar10-checkpoints/vgg16_L[16]_pcmnecmp_seed42_pc_mne_l16_vgg16_rc1ep00.pth,../important_results/cifar10_vgg16_pc_margin_mne_pre_first_conv_seed42/PC-MNE/seed_42/noise_sweep_matrix_cifar10_vgg16_T16_mode_rate_uniform_schedule_normal_seed_42.csv
cifar10,pc_mne,PC-MNE,42,0.60,84.470000,/home/595/sl9144/codes/snn_simulation/QCFS_simulation/cifar10-checkpoints/vgg16_L[16]_pcmnecmp_seed42_pc_mne_l16_vgg16_rc1ep00.pth,../important_results/cifar10_vgg16_pc_margin_mne_pre_first_conv_seed42/PC-MNE/seed_42/noise_sweep_matrix_cifar10_vgg16_T16_mode_rate_uniform_schedule_normal_seed_42.csv
cifar10,pc_mne,PC-MNE,42,0.65,83.820000,/home/595/sl9144/codes/snn_simulation/QCFS_simulation/cifar10-checkpoints/vgg16_L[16]_pcmnecmp_seed42_pc_mne_l16_vgg16_rc1ep00.pth,../important_results/cifar10_vgg16_pc_margin_mne_pre_first_conv_seed42/PC-MNE/seed_42/noise_sweep_matrix_cifar10_vgg16_T16_mode_rate_uniform_schedule_normal_seed_42.csv
cifar10,pc_mne,PC-MNE,42,0.70,82.260000,/home/595/sl9144/codes/snn_simulation/QCFS_simulation/cifar10-checkpoints/vgg16_L[16]_pcmnecmp_seed42_pc_mne_l16_vgg16_rc1ep00.pth,../important_results/cifar10_vgg16_pc_margin_mne_pre_first_conv_seed42/PC-MNE/seed_42/noise_sweep_matrix_cifar10_vgg16_T16_mode_rate_uniform_schedule_normal_seed_42.csv
cifar10,pc_mne,PC-MNE,42,0.75,81.350000,/home/595/sl9144/codes/snn_simulation/QCFS_simulation/cifar10-checkpoints/vgg16_L[16]_pcmnecmp_seed42_pc_mne_l16_vgg16_rc1ep00.pth,../important_results/cifar10_vgg16_pc_margin_mne_pre_first_conv_seed42/PC-MNE/seed_42/noise_sweep_matrix_cifar10_vgg16_T16_mode_rate_uniform_schedule_normal_seed_42.csv
cifar10,pc_mne,PC-MNE,42,0.80,79.420000,/home/595/sl9144/codes/snn_simulation/QCFS_simulation/cifar10-checkpoints/vgg16_L[16]_pcmnecmp_seed42_pc_mne_l16_vgg16_rc1ep00.pth,../important_results/cifar10_vgg16_pc_margin_mne_pre_first_conv_seed42/PC-MNE/seed_42/noise_sweep_matrix_cifar10_vgg16_T16_mode_rate_uniform_schedule_normal_seed_42.csv
