name,role,is_head,matched,n_params,out_channels,bn_name,if_name,risk_mean,risk_max,p_gt_tau,q_mean,q_max,q_os_mean,q_mean_pre_norm,kappa_mean
conv1.0,stem,False,True,1728,64,conv1.1,conv1.2,3.419490098953247,10.976670265197754,1.0,4.225987434387207,14.302227973937988,12.677960395812988,2.999999761581421,1.0
conv2_x.0.residual_function.0,residual_preact,False,True,36864,64,conv2_x.0.residual_function.1,conv2_x.0.residual_function.2,1.3292062282562256,10.976670265197754,1.0,1.4389417171478271,14.302227973937988,4.316824913024902,2.999999761581421,1.0
conv2_x.0.residual_function.3,residual_terminal,False,True,36864,64,conv2_x.0.residual_function.4,conv2_x.0.act,0.7087980508804321,2.090543270111084,1.0,0.6117308139801025,2.4540579319000244,1.8351922035217285,2.999999761581421,1.8104021549224854
conv2_x.1.residual_function.0,residual_preact,False,True,36864,64,conv2_x.1.residual_function.1,conv2_x.1.residual_function.2,0.6860418915748596,0.6860418915748596,1.0,0.5813892483711243,0.5813892483711243,1.7441675662994385,2.999999761581421,1.0
conv2_x.1.residual_function.3,residual_terminal,False,True,36864,64,conv2_x.1.residual_function.4,conv2_x.1.act,0.8670996427536011,10.976670265197754,1.0,0.8227996230125427,14.302227973937988,2.4683985710144043,2.999999761581421,0.5784100294113159
conv3_x.0.residual_function.0,residual_preact,False,True,73728,128,conv3_x.0.residual_function.1,conv3_x.0.residual_function.2,0.6860418915748596,0.6860418915748596,1.0,0.5813892483711243,0.5813892483711243,1.7441675662994385,2.999999761581421,1.0
conv3_x.0.residual_function.3,residual_terminal,False,True,147456,128,conv3_x.0.residual_function.4,conv3_x.0.act,0.6860418915748596,0.6860418915748596,1.0,0.5813892483711243,0.5813892483711243,1.7441675662994385,2.999999761581421,1.4327820539474487
conv3_x.0.shortcut.0,shortcut,False,True,8192,128,conv3_x.0.shortcut.1,conv3_x.0.act,0.6860418915748596,0.6860418915748596,1.0,0.5813892483711243,0.5813892483711243,1.7441675662994385,2.999999761581421,0.4421582520008087
conv3_x.1.residual_function.0,residual_preact,False,True,147456,128,conv3_x.1.residual_function.1,conv3_x.1.residual_function.2,0.6860418915748596,0.6860418915748596,1.0,0.5813892483711243,0.5813892483711243,1.7441675662994385,2.999999761581421,1.0
conv3_x.1.residual_function.3,residual_terminal,False,True,147456,128,conv3_x.1.residual_function.4,conv3_x.1.act,0.6860418915748596,0.6860418915748596,1.0,0.5813892483711243,0.5813892483711243,1.7441675662994385,2.999999761581421,0.0835256576538086
conv4_x.0.residual_function.0,residual_preact,False,True,294912,256,conv4_x.0.residual_function.1,conv4_x.0.residual_function.2,0.6860418915748596,0.6860418915748596,1.0,0.5813892483711243,0.5813892483711243,1.7441675662994385,2.999999761581421,1.0
conv4_x.0.residual_function.3,residual_terminal,False,True,589824,256,conv4_x.0.residual_function.4,conv4_x.0.act,0.6860418915748596,0.6860418915748596,1.0,0.5813892483711243,0.5813892483711243,1.7441675662994385,2.999999761581421,1.530395746231079
conv4_x.0.shortcut.0,shortcut,False,True,32768,256,conv4_x.0.shortcut.1,conv4_x.0.act,0.6860418915748596,0.6860418915748596,1.0,0.5813892483711243,0.5813892483711243,1.7441675662994385,2.999999761581421,0.46929624676704407
conv4_x.1.residual_function.0,residual_preact,False,True,589824,256,conv4_x.1.residual_function.1,conv4_x.1.residual_function.2,0.6860418915748596,0.6860418915748596,1.0,0.5813892483711243,0.5813892483711243,1.7441675662994385,2.999999761581421,1.0
conv4_x.1.residual_function.3,residual_terminal,False,True,589824,256,conv4_x.1.residual_function.4,conv4_x.1.act,1.0401757955551147,10.976670265197754,1.0,1.0535677671432495,14.302227973937988,3.160703182220459,2.999999761581421,0.43884435296058655
conv5_x.0.residual_function.0,residual_preact,False,True,1179648,512,conv5_x.0.residual_function.1,conv5_x.0.residual_function.2,0.6860418915748596,0.6860418915748596,1.0,0.5813892483711243,0.5813892483711243,1.7441675662994385,2.999999761581421,1.0
conv5_x.0.residual_function.3,residual_terminal,False,True,2359296,512,conv5_x.0.residual_function.4,conv5_x.0.act,1.8846287727355957,10.976670265197754,1.0,2.1795053482055664,14.302227973937988,6.538515090942383,2.999999761581421,0.9384644627571106
conv5_x.0.shortcut.0,shortcut,False,True,131072,512,conv5_x.0.shortcut.1,conv5_x.0.act,3.6845321655273438,10.976670265197754,1.0,4.579376220703125,14.302227973937988,13.738128662109375,2.999999761581421,1.0267462730407715
conv5_x.1.residual_function.0,residual_preact,False,True,2359296,512,conv5_x.1.residual_function.1,conv5_x.1.residual_function.2,0.6860418915748596,0.6860418915748596,1.0,0.5813892483711243,0.5813892483711243,1.7441675662994385,2.999999761581421,1.0
conv5_x.1.residual_function.3,residual_terminal,False,True,2359296,512,conv5_x.1.residual_function.4,conv5_x.1.act,0.702092707157135,8.633938789367676,1.0,0.602790355682373,11.17858600616455,1.80837082862854,2.999999761581421,0.20060205459594727
fc,classifier_head,True,False,5120,10,,,nan,nan,nan,1.0,1.0,1.0,1.0,1.0
