epoch,alpha,q_assignment,q_mean,q_mean_pre_norm,q_tilde_mean,q_std,q_min,q_max,q_os_mean,q_os_std,p_gt_tau,p_at_qmax,q_cap,mean_normalize_q,ga_mode,ga_kappa_res_mean,ga_kappa_sc_mean,ga_frac_phi_neg_res,ga_cov_mean,mne_grad_match_scale,mne_ref_grad_norm,reg_grad_norm,reg_coeff_grad_norm,ce_grad_norm,reg_ce_ratio,ann_train_acc,ann_test_acc,train_loss
0.0,0.0,risk,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.39433344916614427,0.0,0.0,1.0,nocov,0.13823018968105316,1.8603829145431519,0.0,-2.8030590328853577e-06,,,39.009792418975174,0.019504896209487588,0.6444693839992708,0.03026504701968846,20.316,34.4,1032.2293560504913
1.0,0.0,risk,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.41021740017339703,0.0,0.0,1.0,nocov,0.16386863589286804,1.834803819656372,0.0,-1.1189753195139929e-06,,,34.086387111960626,0.017043193555980312,0.8663164983303163,0.019673172089909735,31.112,42.16,855.2913463115692
2.0,0.0,risk,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.41177963577877835,0.0,0.0,1.0,nocov,0.15352287888526917,1.8450982570648193,0.0,3.998448391939746e-06,,,31.201579552794367,0.015600789776397185,0.7423468333362083,0.021015499865857983,37.252,50.18,767.9349830150604
3.0,0.0,risk,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.43453485772128,0.0,0.0,1.0,nocov,0.1778644323348999,1.8205808401107788,0.0,7.766536327835638e-06,,,30.056024278224292,0.015028012139112146,1.2380267771611966,0.012138681017523283,44.238,50.48,692.241627573967
4.0,0.0,risk,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.4376433404052959,0.0,0.0,1.0,nocov,0.19141250848770142,1.8069593906402588,0.0,1.0839999049494509e-05,,,29.485751121440956,0.014742875560720478,0.9692717538503585,0.015210260179516759,49.298,60.59,637.3602468967438
5.0,0.0,risk,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.44678816054483206,0.0,0.0,1.0,nocov,0.20397557318210602,1.7945282459259033,0.0,1.4143884072836954e-05,,,29.58238396710732,0.014791191983553659,1.1804609389191205,0.012530013908886382,52.636,56.07,601.4172888994217
6.0,0.0,risk,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.4461482415723679,0.0,0.0,1.0,nocov,0.22517968714237213,1.7733478546142578,0.0,1.6717371181584895e-05,,,30.004786777078817,0.015002393388539408,1.037103803384194,0.014465662298783209,55.32,64.55,575.1871576309204
7.0,0.0,risk,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.46837330596221377,0.0,0.0,1.0,nocov,0.24806836247444153,1.7503626346588135,0.0,2.2138590793474577e-05,,,30.752204288778625,0.015376102144389312,1.2195538680980087,0.012607972920761235,58.33,65.28,549.3468589782715
8.0,0.0,risk,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.46881927820422764,0.0,0.0,1.0,nocov,0.2758597731590271,1.7228116989135742,0.0,2.645766107889358e-05,,,31.511742325737664,0.015755871162868834,1.2654125916808034,0.012451173053320783,60.906,72.08,526.5698411464691
9.0,0.0,risk,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.46321079470312504,0.0,0.0,1.0,nocov,0.31576481461524963,1.6831386089324951,0.0,3.2036543416325e-05,,,32.18705008479358,0.016093525042396792,1.0908015620508258,0.01475385221500711,63.098,69.85,510.9748167991638
