name,role,is_head,matched,n_params,out_channels,bn_name,if_name,risk_mean,risk_max,p_gt_tau,q_mean,q_max,q_os_mean,q_mean_pre_norm,kappa_mean
conv1.0,stem,False,True,1728,64,conv1.1,conv1.2,5.8241753578186035,14.619892120361328,1.0,7.432234287261963,19.15985679626465,22.296701431274414,2.999999761581421,1.0
conv2_x.0.residual_function.0,residual_preact,False,True,36864,64,conv2_x.0.residual_function.1,conv2_x.0.residual_function.2,1.8262430429458618,14.619892120361328,1.0,2.1016573905944824,19.15985679626465,6.304972171783447,2.999999761581421,1.0
conv2_x.0.residual_function.3,residual_terminal,False,True,36864,64,conv2_x.0.residual_function.4,conv2_x.0.act,1.208693265914917,9.167025566101074,1.0,1.2782578468322754,11.889368057250977,3.834773302078247,2.999999761581421,1.8458696603775024
conv2_x.1.residual_function.0,residual_preact,False,True,36864,64,conv2_x.1.residual_function.1,conv2_x.1.residual_function.2,0.913743257522583,0.913743257522583,1.0,0.8849911093711853,0.8849911093711853,2.654973030090332,2.999999761581421,1.0
conv2_x.1.residual_function.3,residual_terminal,False,True,36864,64,conv2_x.1.residual_function.4,conv2_x.1.act,1.3877183198928833,14.619892120361328,1.0,1.5169579982757568,19.15985679626465,4.550873279571533,2.999999761581421,0.3835086226463318
conv3_x.0.residual_function.0,residual_preact,False,True,73728,128,conv3_x.0.residual_function.1,conv3_x.0.residual_function.2,0.913743257522583,0.913743257522583,1.0,0.8849911093711853,0.8849911093711853,2.654973030090332,2.999999761581421,1.0
conv3_x.0.residual_function.3,residual_terminal,False,True,147456,128,conv3_x.0.residual_function.4,conv3_x.0.act,0.9179573655128479,1.2751514911651611,1.0,0.8906099796295166,1.3668687343597412,2.6718294620513916,2.999999761581421,1.5499267578125
conv3_x.0.shortcut.0,shortcut,False,True,8192,128,conv3_x.0.shortcut.1,conv3_x.0.act,1.3018453121185303,14.619892120361328,1.0,1.4024605751037598,19.15985679626465,4.207381248474121,2.999999761581421,0.4500211179256439
conv3_x.1.residual_function.0,residual_preact,False,True,147456,128,conv3_x.1.residual_function.1,conv3_x.1.residual_function.2,0.913743257522583,0.913743257522583,1.0,0.8849911093711853,0.8849911093711853,2.654973030090332,2.999999761581421,1.0
conv3_x.1.residual_function.3,residual_terminal,False,True,147456,128,conv3_x.1.residual_function.4,conv3_x.1.act,0.913743257522583,0.913743257522583,1.0,0.8849911093711853,0.8849911093711853,2.654973030090332,2.999999761581421,0.3279802203178406
conv4_x.0.residual_function.0,residual_preact,False,True,294912,256,conv4_x.0.residual_function.1,conv4_x.0.residual_function.2,0.913743257522583,0.913743257522583,1.0,0.8849911093711853,0.8849911093711853,2.654973030090332,2.999999761581421,1.0
conv4_x.0.residual_function.3,residual_terminal,False,True,589824,256,conv4_x.0.residual_function.4,conv4_x.0.act,0.913743257522583,0.913743257522583,1.0,0.8849911093711853,0.8849911093711853,2.654973030090332,2.999999761581421,1.5300642251968384
conv4_x.0.shortcut.0,shortcut,False,True,32768,256,conv4_x.0.shortcut.1,conv4_x.0.act,0.913743257522583,0.913743257522583,1.0,0.8849911093711853,0.8849911093711853,2.654973030090332,2.999999761581421,0.4540424048900604
conv4_x.1.residual_function.0,residual_preact,False,True,589824,256,conv4_x.1.residual_function.1,conv4_x.1.residual_function.2,0.913743257522583,0.913743257522583,1.0,0.8849911093711853,0.8849911093711853,2.654973030090332,2.999999761581421,1.0
conv4_x.1.residual_function.3,residual_terminal,False,True,589824,256,conv4_x.1.residual_function.4,conv4_x.1.act,1.0009863376617432,6.670112609863281,1.0,1.0013152360916138,8.560151100158691,3.0039451122283936,2.999999761581421,0.2556195557117462
conv5_x.0.residual_function.0,residual_preact,False,True,1179648,512,conv5_x.0.residual_function.1,conv5_x.0.residual_function.2,0.913743257522583,0.913743257522583,1.0,0.8849911093711853,0.8849911093711853,2.654973030090332,2.999999761581421,1.0
conv5_x.0.residual_function.3,residual_terminal,False,True,2359296,512,conv5_x.0.residual_function.4,conv5_x.0.act,0.913743257522583,0.913743257522583,1.0,0.8849911093711853,0.8849911093711853,2.654973030090332,2.999999761581421,0.5364816188812256
conv5_x.0.shortcut.0,shortcut,False,True,131072,512,conv5_x.0.shortcut.1,conv5_x.0.act,0.913743257522583,0.913743257522583,1.0,0.8849911093711853,0.8849911093711853,2.654973030090332,2.999999761581421,1.463442087173462
conv5_x.1.residual_function.0,residual_preact,False,True,2359296,512,conv5_x.1.residual_function.1,conv5_x.1.residual_function.2,0.913743257522583,0.913743257522583,1.0,0.8849911093711853,0.8849911093711853,2.654973030090332,2.999999761581421,1.0
conv5_x.1.residual_function.3,residual_terminal,False,True,2359296,512,conv5_x.1.residual_function.4,conv5_x.1.act,1.2684381008148193,14.619892120361328,1.0,1.3579176664352417,19.15985679626465,4.0737528800964355,2.999999761581421,0.40771371126174927
fc,classifier_head,True,False,51200,100,,,nan,nan,nan,1.0,1.0,1.0,1.0,1.0
