epoch,alpha,q_assignment,q_mean,q_mean_pre_norm,q_tilde_mean,q_std,q_min,q_max,q_os_mean,q_os_std,p_gt_tau,p_at_qmax,q_cap,mean_normalize_q,ga_mode,ga_kappa_res_mean,ga_kappa_sc_mean,ga_frac_phi_neg_res,ga_cov_mean,mne_grad_match_scale,mne_ref_grad_norm,reg_grad_norm,reg_coeff_grad_norm,ce_grad_norm,reg_ce_ratio,ann_train_acc,ann_test_acc,train_loss
0.0,0.0,risk,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.8974130958547373,0.0,0.0,1.0,off,1.0,1.0,0.0,0.0,,,86.43066146399741,0.04321533073199871,1.0933378300384606,0.039526054568585184,14.814,20.25,1735.0612564086914
1.0,0.0,risk,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.8282061330497722,0.0,0.0,1.0,off,1.0,1.0,0.0,0.0,,,72.66039460204979,0.036330197301024894,0.852533652276715,0.042614385020467035,18.776,21.07,1431.3800971508026
2.0,0.0,risk,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.781453903983621,0.0,0.0,1.0,off,1.0,1.0,0.0,0.0,,,61.68648454783066,0.03084324227391533,1.1150782339259113,0.027660159920191427,22.12,22.66,1225.9304208755493
3.0,0.0,risk,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.7284927895611815,0.0,0.0,1.0,off,1.0,1.0,0.0,0.0,,,53.22029954644634,0.026610149773223173,0.9566809647577381,0.02781507185100281,24.98,34.87,1083.030740737915
4.0,0.0,risk,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.6899961393202663,0.0,0.0,1.0,off,1.0,1.0,0.0,0.0,,,46.87450799302338,0.02343725399651169,0.9647182954185302,0.0242944019075991,27.322,36.06,986.3089089393616
5.0,0.0,risk,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.6675770459577556,0.0,0.0,1.0,off,1.0,1.0,0.0,0.0,,,42.00434875680901,0.021002174378404504,1.1375442520028407,0.018462731749931127,29.086,35.3,921.6483612060547
6.0,0.0,risk,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.566326618880567,0.0,0.0,1.0,off,1.0,1.0,0.0,0.0,,,38.60378996570397,0.019301894982851984,1.042743298390497,0.01851068715823443,30.546,41.36,876.2418971061707
7.0,0.0,risk,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.32994983888343166,0.0,0.0,1.0,off,1.0,1.0,0.0,0.0,,,36.19473634356386,0.01809736817178193,1.117779780363446,0.01619045941759438,32.684,46.14,835.2344387769699
8.0,0.0,risk,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.32989833925081335,0.0,0.0,1.0,off,1.0,1.0,0.0,0.0,,,34.86408530454104,0.01743204265227052,1.210848879959582,0.01439654686954197,35.476,41.08,803.1692017316818
9.0,0.0,risk,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.3298968970775604,0.0,0.0,1.0,off,1.0,1.0,0.0,0.0,,,34.50343725800645,0.017251718629003224,1.138194058376195,0.01515709777435967,36.956,48.68,789.1978590488434
10.0,0.0,risk,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.3298968970775604,0.0,0.0,1.0,off,1.0,1.0,0.0,0.0,,,34.51536953003931,0.017257684765019654,1.2291429234645523,0.014040421529154542,39.636,50.23,769.1341457366943
11.0,0.0,risk,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.3298968970775604,0.0,0.0,1.0,off,1.0,1.0,0.0,0.0,,,35.00911389626123,0.017504556948130617,1.0318708551860771,0.016963902856791144,41.314,52.24,755.4561548233032
12.0,0.0,risk,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.3298968970775604,0.0,0.0,1.0,off,1.0,1.0,0.0,0.0,,,35.67139805104386,0.01783569902552193,1.214809598185372,0.014681888463973362,43.066,49.49,743.9154584407806
13.0,0.0,risk,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.3298968970775604,0.0,0.0,1.0,off,1.0,1.0,0.0,0.0,,,36.52298759958532,0.01826149379979266,1.4669012274998043,0.0124490275537622,45.04,57.51,733.5474189519882
14.0,0.0,risk,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.3298968970775604,0.0,0.0,1.0,off,1.0,1.0,0.0,0.0,,,37.39210236337123,0.018696051181685616,1.2228706363461175,0.01528865819981464,46.016,57.91,732.0586149692535
15.0,0.0,risk,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.3298968970775604,0.0,0.0,1.0,off,1.0,1.0,0.0,0.0,,,38.20173881527832,0.019100869407639158,1.41195443224042,0.013527964480646047,47.028,61.19,730.0545601844788
16.0,0.0,risk,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.3298985452755638,0.0,0.0,1.0,off,1.0,1.0,0.0,0.0,,,38.925056538819476,0.019462528269409737,1.3868407478949125,0.014033715333899683,47.57,61.72,727.1055594682693
17.0,0.0,risk,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.3298968970775604,0.0,0.0,1.0,off,1.0,1.0,0.0,0.0,,,39.532449793042225,0.019766224896521113,1.5478076720578173,0.012770465771268485,48.942,62.97,726.1086980104446
18.0,0.0,risk,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.3298968970775604,0.0,0.0,1.0,off,1.0,1.0,0.0,0.0,,,40.17421245265931,0.020087106226329657,1.6526605549577034,0.01215440531092227,49.536,64.38,725.1971943378448
19.0,0.0,risk,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.3298968970775604,0.0,0.0,1.0,off,1.0,1.0,0.0,0.0,,,40.62744659099199,0.020313723295495995,1.1792938924144916,0.0172253273133685,50.118,65.85,721.4278981685638
20.0,0.0,risk,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.32989710310231085,0.0,0.0,1.0,off,1.0,1.0,0.0,0.0,,,41.318804145931,0.0206594020729655,1.563437044714614,0.013214092721422382,50.07,61.21,724.825841665268
21.0,0.0,risk,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.3299560177966457,0.0,0.0,1.0,off,1.0,1.0,0.0,0.0,,,41.91623131366038,0.02095811565683019,1.4486307863784085,0.014467534346157098,50.228,65.08,730.3841428756714
22.0,0.0,risk,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.3299541636501127,0.0,0.0,1.0,off,1.0,1.0,0.0,0.0,,,42.124031123669894,0.021062015561834947,1.4575370022936032,0.014450415686662794,50.564,62.75,727.4034688472748
23.0,0.0,risk,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.3631439495574483,0.0,0.0,1.0,off,1.0,1.0,0.0,0.0,,,42.37583539921366,0.02118791769960683,1.2592441097954745,0.01682590177296772,51.428,59.31,723.2894922494888
24.0,0.0,risk,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.32990905124208203,0.0,0.0,1.0,off,1.0,1.0,0.0,0.0,,,42.52770532864452,0.02126385266432226,1.4382424919452546,0.014784608842673278,51.556,67.24,720.9788111448288
25.0,0.0,risk,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.32990719762909443,0.0,0.0,1.0,off,1.0,1.0,0.0,0.0,,,42.749223802446636,0.02137461190122332,1.4592412838380269,0.014647757117318414,51.926,67.26,723.0632172822952
26.0,0.0,risk,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.3299078153984626,0.0,0.0,1.0,off,1.0,1.0,0.0,0.0,,,42.940637776471675,0.021470318888235838,1.404218881140283,0.01528986625703328,52.22,60.45,721.183466553688
27.0,0.0,risk,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.329914406513619,0.0,0.0,1.0,off,1.0,1.0,0.0,0.0,,,43.218196002005044,0.02160909800100252,1.2439849441233242,0.017370867793123607,52.748,68.98,719.4252822399139
28.0,0.0,risk,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.33759548749460283,0.0,0.0,1.0,off,1.0,1.0,0.0,0.0,,,43.34629351160083,0.021673146755800413,1.4606843574709814,0.01483766608778172,52.842,67.36,719.6188627481461
29.0,0.0,risk,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.3723373921478496,0.0,0.0,1.0,off,1.0,1.0,0.0,0.0,,,43.737454037834326,0.021868727018917164,1.101841904258647,0.01984742723470035,52.832,63.16,721.9823985099792
30.0,0.08,risk,0.9999999890242086,1.0437591075897217,1.0,0.0394596644412831,0.95791095495224,1.0421655178070068,1.043759992360459,0.04118643325689199,0.3316329649037412,0.0,0.0,1.0,off,1.0,1.0,0.0,0.0,,,42.551254288041804,0.0212756271440209,1.3741171789194633,0.01548312434369752,53.386,66.15,713.1123051643372
31.0,0.16,risk,0.9999999871949101,1.0876703262329102,1.0,0.07564111433141982,0.9192378520965576,1.0809086561203003,1.087440183400498,0.08225532699271541,0.34093352077562183,0.0,0.0,1.0,off,1.0,1.0,0.0,0.0,,,41.57977876524535,0.020789889382622675,1.8541406704168675,0.011212681817689956,53.624,67.65,708.3172308206558
32.0,0.24,risk,0.9999999917681565,1.130936861038208,1.0,0.1084323236170937,0.8835375905036926,1.1638110876083374,1.1310064426773345,0.12263894938599423,0.3603779467018059,0.0,0.0,1.0,off,1.0,1.0,0.0,0.0,,,40.654472998357384,0.020327236499178693,1.689268741893296,0.012033157303553943,54.084,68.27,700.915403842926
33.0,0.32,risk,0.9999999920730396,1.1749669313430786,1.0,0.14022390799754111,0.8504714369773865,1.1497993469238281,1.1750670250724344,0.1647726077100505,0.32995066336353723,0.0,0.0,1.0,off,1.0,1.0,0.0,0.0,,,39.8922222100096,0.0199461111050048,1.2068400192944329,0.016527551942357777,54.188,67.19,697.4661554098129
34.0,0.4,risk,0.9999999890242086,1.2185107469558716,1.0000001192092896,0.16843047475113587,0.8198874592781067,1.180438756942749,1.2187393574458558,0.20527486053421673,0.3418170030007277,0.0,0.0,1.0,off,1.0,1.0,0.0,0.0,,,39.13742150999695,0.019568710754998473,1.6828292304718975,0.011628459026416503,54.43,68.72,693.3722574710846
35.0,0.48,risk,0.9999999914632733,1.2627849578857422,1.0,0.1956987974360166,0.7914745211601257,1.2089033126831055,1.262506192907348,0.24707118873401065,0.32991234702832256,0.0,0.0,1.0,off,1.0,1.0,0.0,0.0,,,38.497856774063266,0.019248928387031634,1.4308759834222156,0.013452548375991408,54.856,71.54,687.334610581398
36.0,0.56,risk,0.9999999923779227,1.3065626621246338,1.0,0.2202043336294496,0.7648292779922485,1.2355968952178955,1.3061432606728791,0.28762082187720883,0.3434387434016713,0.0,0.0,1.0,off,1.0,1.0,0.0,0.0,,,37.885168542364944,0.018942584271182474,1.762996544022678,0.010744538516201885,55.174,65.94,683.1041597127914
37.0,0.64,risk,0.9999999917681565,1.3505353927612305,1.0,0.2437656794286445,0.7399225234985352,1.260548710823059,1.350003279078647,0.3290863256625202,0.3375231866793864,0.0,0.0,1.0,off,1.0,1.0,0.0,0.0,,,37.481138648586054,0.01874056932429303,1.3577664695400267,0.013802498253357082,55.752,70.23,678.5566296577454
38.0,0.72,risk,0.9999999914632733,1.3880932331085205,1.0,0.2623311466420703,0.7166253328323364,1.2838881015777588,1.392862515986118,0.3654090567013187,0.37814583497888904,0.0,0.0,1.0,off,1.0,1.0,0.0,0.0,,,37.23720335853437,0.018618601679267186,1.3633270856268678,0.013656738632685652,56.214,71.07,677.4760242700577
39.0,0.8,risk,0.9999999987804676,1.4365742206573486,1.0,0.2810796414266157,0.6949352025985718,1.3056175708770752,1.4353341037964882,0.4034642893487535,0.40332825729609145,0.0,0.0,1.0,off,1.0,1.0,0.0,0.0,,,36.573123790415586,0.018286561895207793,1.446736338069511,0.012639871837054239,56.472,72.57,673.5884523391724
40.0,0.88,risk,0.9999999945121043,1.4804922342300415,1.0,0.3034235617083967,0.6742921471595764,1.3262979984283447,1.480115493240259,0.4491153175721083,0.36202996801537324,0.0,0.0,1.0,off,1.0,1.0,0.0,0.0,,,36.1467477087334,0.0180733738543667,1.457415018946719,0.012400979555863514,56.834,73.83,668.3286625146866
