name,role,is_head,matched,n_params,out_channels,bn_name,if_name,risk_mean,risk_max,p_gt_tau,q_mean,q_max,q_os_mean,q_mean_pre_norm,kappa_mean
layer1.0,layer1,False,True,1728,64,layer1.1,layer1.2,6.877674102783203,7.284356117248535,1.0,8.650110244750977,9.180890083312988,26.510696411132812,3.064781665802002,1.0
layer1.4,layer1,False,True,36864,64,layer1.5,layer1.6,0.45527225732803345,0.45527225732803345,0.0,0.32628750801086426,0.32628750801086426,1.0,3.064781665802002,1.0
layer2.0,layer2,False,True,73728,128,layer2.1,layer2.2,0.46233615279197693,0.9579867720603943,0.0234375,0.33413875102996826,0.9240289926528931,1.0240623950958252,3.064781665802002,1.0
layer2.4,layer2,False,True,147456,128,layer2.5,layer2.6,0.45527225732803345,0.45527225732803345,0.0,0.32628750801086426,0.32628750801086426,1.0,3.064781665802002,1.0
layer3.0,layer3,False,True,294912,256,layer3.1,layer3.2,0.45527225732803345,0.45527225732803345,0.0,0.32628750801086426,0.32628750801086426,1.0,3.064781665802002,1.0
layer3.4,layer3,False,True,589824,256,layer3.5,layer3.6,0.45527225732803345,0.45527225732803345,0.0,0.32628750801086426,0.32628750801086426,1.0,3.064781665802002,1.0
layer3.8,layer3,False,True,589824,256,layer3.9,layer3.10,0.45527225732803345,0.45527225732803345,0.0,0.32628750801086426,0.32628750801086426,1.0,3.064781665802002,1.0
layer4.0,layer4,False,True,1179648,512,layer4.1,layer4.2,0.6944324970245361,1.7985507249832153,0.841796875,0.5873562693595886,2.0210909843444824,1.8001186847686768,3.064781665802002,1.0
layer4.4,layer4,False,True,2359296,512,layer4.5,layer4.6,0.5033886432647705,0.8376846313476562,0.38671875,0.3619847297668457,0.7670166492462158,1.1094040870666504,3.064781665802002,1.0
layer4.8,layer4,False,True,2359296,512,layer4.9,layer4.10,0.45527225732803345,0.45527225732803345,0.0,0.32628750801086426,0.32628750801086426,1.0,3.064781665802002,1.0
layer5.0,layer5,False,True,2359296,512,layer5.1,layer5.2,0.4666391611099243,0.6664384603500366,0.099609375,0.3307568430900574,0.5435146689414978,1.0136975049972534,3.064781665802002,1.0
layer5.4,layer5,False,True,2359296,512,layer5.5,layer5.6,0.45527225732803345,0.45527225732803345,0.0,0.32628750801086426,0.32628750801086426,1.0,3.064781665802002,1.0
layer5.8,layer5,False,True,2359296,512,layer5.9,layer5.10,0.45527225732803345,0.45527225732803345,0.0,0.32628750801086426,0.32628750801086426,1.0,3.064781665802002,1.0
classifier.1,classifier_head,True,True,2097152,4096,,classifier.2,1.0003458261489868,1.0003458261489868,1.0,0.9793139100074768,0.9793139100074768,3.0013833045959473,3.064781665802002,1.0
classifier.4,classifier_head,True,True,16777216,4096,,classifier.5,1.4517072439193726,1.4517072439193726,1.0,1.5684082508087158,1.5684082508087158,4.80682897567749,3.064781665802002,1.0
classifier.7,classifier_head,True,False,409600,100,,,nan,nan,nan,1.0,1.0,1.0,1.0,1.0
