epoch,alpha,q_assignment,q_mean,q_mean_pre_norm,q_tilde_mean,q_std,q_min,q_max,q_os_mean,q_os_std,p_gt_tau,p_at_qmax,q_cap,mean_normalize_q,ga_mode,ga_kappa_res_mean,ga_kappa_sc_mean,ga_frac_phi_neg_res,ga_cov_mean,risk_source,gm_p_mean,gm_d_mean,gm_m_mean,gm_r_mean,mne_grad_match_scale,mne_ref_grad_norm,reg_grad_norm,reg_coeff_grad_norm,ce_grad_norm,reg_ce_ratio,ann_train_acc,ann_test_acc,train_loss
0.0,0.25,risk,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,off,1.0,1.0,0.0,0.0,bn,1.0,1.0,1.0,1.0,,,1.387479664175883,0.0001387479664175883,0.5912031330145044,0.00023468746809598572,21.122,35.85,841.7745901346207
1.0,0.25,risk,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,off,1.0,1.0,0.0,0.0,bn,1.0,1.0,1.0,1.0,,,1.6989177213179314,0.00016989177213179316,0.8405284636077058,0.0002021249481577171,32.932,46.17,709.6839903593063
2.0,0.25,risk,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,off,1.0,1.0,0.0,0.0,bn,1.0,1.0,1.0,1.0,,,1.5117400994013113,0.00015117400994013114,0.7565033421991855,0.00019983257377378168,40.862,51.03,633.0857068300247
3.0,0.25,risk,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,off,1.0,1.0,0.0,0.0,bn,1.0,1.0,1.0,1.0,,,2.0058334562141633,0.00020058334562141633,0.9068533356534513,0.0002211860923209617,48.004,61.39,563.3636200428009
4.0,0.25,risk,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,off,1.0,1.0,0.0,0.0,bn,1.0,1.0,1.0,1.0,,,2.5963846306141942,0.0002596384630614194,0.9686989610090775,0.0002680280185197663,53.224,67.98,510.3752932548523
5.0,0.25,risk,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,off,1.0,1.0,0.0,0.0,bn,1.0,1.0,1.0,1.0,,,3.1532920579627945,0.0003153292057962795,0.8606665574430167,0.0003663778998606634,57.556,68.78,464.8648336529732
6.0,0.25,risk,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,off,1.0,1.0,0.0,0.0,bn,1.0,1.0,1.0,1.0,,,4.074541330025353,0.0004074541330025353,1.1229847259965784,0.00036283141130075955,60.862,72.95,431.935294508934
7.0,0.25,risk,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,off,1.0,1.0,0.0,0.0,bn,1.0,1.0,1.0,1.0,,,4.9838454670963355,0.0004983845467096336,0.8672028857564131,0.0005747035150545195,63.97,77.26,400.3758502006531
8.0,0.25,risk,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,off,1.0,1.0,0.0,0.0,bn,1.0,1.0,1.0,1.0,,,5.777676596727254,0.0005777676596727254,0.9220827722822227,0.000626589799788481,65.85,76.95,377.6820253133774
9.0,0.25,risk,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,off,1.0,1.0,0.0,0.0,bn,1.0,1.0,1.0,1.0,,,7.6586523471221755,0.0007658652347122176,0.7686241025054813,0.0009964106410607335,67.928,78.0,356.59830778837204
10.0,0.25,risk,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,off,1.0,1.0,0.0,0.0,bn,1.0,1.0,1.0,1.0,,,7.610650406550524,0.0007610650406550524,0.8187866913530057,0.0009295034331804158,69.594,78.25,337.90865433216095
11.0,0.25,risk,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,off,1.0,1.0,0.0,0.0,bn,1.0,1.0,1.0,1.0,,,8.873325248406363,0.0008873325248406363,0.8892250374165314,0.0009978717281944813,70.712,81.97,326.7213226556778
12.0,0.25,risk,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,off,1.0,1.0,0.0,0.0,bn,1.0,1.0,1.0,1.0,,,9.572793400142313,0.0009572793400142313,1.1259778823253526,0.000850175971518439,72.4,77.13,310.77463430166245
13.0,0.25,risk,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,off,1.0,1.0,0.0,0.0,bn,1.0,1.0,1.0,1.0,,,10.127322362415818,0.0010127322362415818,0.998658879005368,0.0010140922566574788,73.234,81.6,301.1370764374733
14.0,0.25,risk,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,off,1.0,1.0,0.0,0.0,bn,1.0,1.0,1.0,1.0,,,10.966086566129997,0.0010966086566129997,0.8447078278991793,0.001298210600628986,74.21,83.26,289.1005061864853
15.0,0.25,risk,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,off,1.0,1.0,0.0,0.0,bn,1.0,1.0,1.0,1.0,,,11.926314274392588,0.0011926314274392589,0.8642586953424078,0.0013799472702635109,74.978,85.25,281.21090763807297
16.0,0.25,risk,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,off,1.0,1.0,0.0,0.0,bn,1.0,1.0,1.0,1.0,,,10.961865938878573,0.0010961865938878574,0.71695738508275,0.0015289424681235934,75.728,85.01,271.6961475610733
17.0,0.25,risk,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,off,1.0,1.0,0.0,0.0,bn,1.0,1.0,1.0,1.0,,,11.695066191514188,0.0011695066191514188,1.2154027089550723,0.000962237956633228,76.048,85.5,267.84313744306564
18.0,0.25,risk,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,off,1.0,1.0,0.0,0.0,bn,1.0,1.0,1.0,1.0,,,11.316655550038291,0.0011316655550038292,1.1077939320860721,0.0010215487937118455,76.704,84.01,259.5926325619221
19.0,0.25,risk,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,off,1.0,1.0,0.0,0.0,bn,1.0,1.0,1.0,1.0,,,11.120662875377997,0.0011120662875377997,0.8530646891052523,0.0013036130808604966,77.802,86.36,247.75281137228012
20.0,0.25,risk,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,off,1.0,1.0,0.0,0.0,bn,1.0,1.0,1.0,1.0,,,11.948420829571601,0.0011948420829571602,0.84078688130669,0.0014210998167576347,78.176,86.78,244.18209272623062
21.0,0.25,risk,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,off,1.0,1.0,0.0,0.0,bn,1.0,1.0,1.0,1.0,,,12.088369586012776,0.0012088369586012776,0.86650220713155,0.0013950766064439524,78.694,87.88,238.55959206819534
22.0,0.25,risk,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,off,1.0,1.0,0.0,0.0,bn,1.0,1.0,1.0,1.0,,,12.462082439528226,0.0012462082439528227,0.8071883225100444,0.001543887850207738,79.424,87.21,232.66614398360252
23.0,0.25,risk,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,off,1.0,1.0,0.0,0.0,bn,1.0,1.0,1.0,1.0,,,12.306609045622187,0.0012306609045622187,0.9418051646671644,0.0013067043489797983,79.788,88.76,228.72633385658264
24.0,0.25,risk,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,off,1.0,1.0,0.0,0.0,bn,1.0,1.0,1.0,1.0,,,12.321833284690205,0.0012321833284690206,0.7755670433831802,0.0015887515321615369,80.092,87.56,223.00893512368202
25.0,0.25,risk,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,off,1.0,1.0,0.0,0.0,bn,1.0,1.0,1.0,1.0,,,12.942187761992383,0.0012942187761992383,0.9017596255356835,0.001435214817286167,80.376,89.28,220.15373945236206
