epoch,alpha,q_assignment,q_mean,q_std,q_min,q_max,q_os_mean,q_os_std,p_gt_tau,p_at_qmax,q_cap,reg_grad_norm,reg_coeff_grad_norm,ann_train_acc,ann_test_acc,train_loss
0.0,0.0,risk,1.0,0.0,1.0,1.0,1.0,0.0,0.4259717007122381,0.0,0.0,38.13966145249666,0.01906983072624833,4.836,8.05,1852.952603340149
1.0,0.0,risk,1.0,0.0,1.0,1.0,1.0,0.0,0.46374704595417016,0.0,0.0,35.44817687970495,0.017724088439852476,8.7,12.13,1694.6005129814148
2.0,0.0,risk,1.0,0.0,1.0,1.0,1.0,0.0,0.5390992248454667,0.0,0.0,35.20869238555633,0.01760434619277817,12.388,17.26,1592.8612897396088
3.0,0.0,risk,1.0,0.0,1.0,1.0,1.0,0.0,0.5721204243505092,0.0,0.0,36.76173340725487,0.018380866703627437,16.548,25.07,1493.6356220245361
4.0,0.0,risk,1.0,0.0,1.0,1.0,1.0,0.0,0.5870402956862584,0.0,0.0,38.992925882656984,0.019496462941328493,20.886,29.36,1408.0840849876404
5.0,0.0,risk,1.0,0.0,1.0,1.0,1.0,0.0,0.6135168128916065,0.0,0.0,41.33003719066956,0.02066501859533478,25.09,33.59,1342.02028298378
6.0,0.0,risk,1.0,0.0,1.0,1.0,1.0,0.0,0.6137514254626106,0.0,0.0,43.47693978666036,0.02173846989333018,28.46,38.49,1291.394045829773
7.0,0.0,risk,1.0,0.0,1.0,1.0,1.0,0.0,0.6284134770598253,0.0,0.0,45.49248509651179,0.022746242548255895,30.894,41.3,1254.6824073791504
8.0,0.0,risk,1.0,0.0,1.0,1.0,1.0,0.0,0.6662197635911614,0.0,0.0,47.21738620204869,0.023608693101024345,33.934,41.05,1224.0937609672546
9.0,0.0,risk,1.0,0.0,1.0,1.0,1.0,0.0,0.6400397377245871,0.0,0.0,48.77099673659197,0.024385498368295986,35.808,43.8,1197.7872500419617
10.0,0.0,risk,1.0,0.0,1.0,1.0,1.0,0.0,0.6727025734494104,0.0,0.0,50.10592086586824,0.02505296043293412,37.856,42.3,1177.9226961135864
11.0,0.0,risk,1.0,0.0,1.0,1.0,1.0,0.0,0.7116651685951311,0.0,0.0,51.344695534709345,0.025672347767354674,39.36,46.45,1161.416781425476
12.0,0.0,risk,1.0,0.0,1.0,1.0,1.0,0.0,0.7428017281510336,0.0,0.0,52.38010390729819,0.026190051953649096,40.93,50.29,1149.5922603607178
13.0,0.0,risk,1.0,0.0,1.0,1.0,1.0,0.0,0.7731777251224079,0.0,0.0,53.46071508646468,0.02673035754323234,41.94,44.39,1139.831456899643
14.0,0.0,risk,1.0,0.0,1.0,1.0,1.0,0.0,0.8003181206905629,0.0,0.0,54.40550793224413,0.027202753966122064,42.57,52.82,1137.2595274448395
15.0,0.0,risk,1.0,0.0,1.0,1.0,1.0,0.0,0.8184619930089282,0.0,0.0,55.28268818901013,0.027641344094505065,43.412,51.07,1130.742404460907
16.0,0.0,risk,1.0,0.0,1.0,1.0,1.0,0.0,0.828635452653441,0.0,0.0,56.0185089858613,0.028009254492930652,44.912,52.63,1121.2139599323273
17.0,0.0,risk,1.0,0.0,1.0,1.0,1.0,0.0,0.8471196437125925,0.0,0.0,56.76444702438214,0.028382223512191072,44.992,53.9,1124.4971985816956
18.0,0.0,risk,1.0,0.0,1.0,1.0,1.0,0.0,0.8665732270311517,0.0,0.0,57.387888672047794,0.0286939443360239,45.854,53.58,1119.21772646904
19.0,0.0,risk,1.0,0.0,1.0,1.0,1.0,0.0,0.8775356050647433,0.0,0.0,58.231901083009944,0.029115950541504974,45.958,52.58,1122.6926510334015
20.0,0.0,risk,1.0,0.0,1.0,1.0,1.0,0.0,0.8838443841470782,0.0,0.0,58.734517788643686,0.029367258894321843,46.74,55.32,1120.2185821533203
21.0,0.0,risk,1.0,0.0,1.0,1.0,1.0,0.0,0.8928099741106448,0.0,0.0,59.42277455156814,0.02971138727578407,46.952,52.94,1119.0551857948303
22.0,0.0,risk,1.0,0.0,1.0,1.0,1.0,0.0,0.9098014031224848,0.0,0.0,59.827845662686066,0.029913922831343035,47.386,50.9,1120.471347808838
23.0,0.0,risk,1.0,0.0,1.0,1.0,1.0,0.0,0.9457385251894022,0.0,0.0,60.322117804527885,0.03016105890226394,47.992,55.21,1121.564383983612
24.0,0.0,risk,1.0,0.0,1.0,1.0,1.0,0.0,0.9579964411228209,0.0,0.0,60.8402021771645,0.03042010108858225,48.404,57.12,1116.0271668434143
25.0,0.0,risk,1.0,0.0,1.0,1.0,1.0,0.0,0.9929873751252508,0.0,0.0,61.2518787952241,0.030625939397612052,48.372,54.44,1122.146279335022
26.0,0.0,risk,1.0,0.0,1.0,1.0,1.0,0.0,0.9819656950433541,0.0,0.0,61.59374411634691,0.030796872058173455,48.856,55.99,1118.5917356014252
27.0,0.0,risk,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,61.980491153017944,0.030990245576508972,49.054,58.17,1115.7071633338928
28.0,0.0,risk,1.0,0.0,1.0,1.0,1.0,0.0,0.9961971983580333,0.0,0.0,62.513537474323996,0.031256768737162,49.678,57.34,1122.628731250763
29.0,0.0,risk,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,62.96649586923812,0.03148324793461906,49.49,55.55,1127.2861211299896
30.0,0.08,risk,1.0400000505740075,0.10862272366157273,1.000030279159546,1.603272795677185,1.0400000505740075,0.10862272366157273,1.0,0.0,0.0,65.36002640806527,0.03268001320403263,49.792,57.31,1138.2896490097046
31.0,0.16,risk,1.0800000670011087,0.22146070933402956,1.000241994857788,2.209296941757202,1.0800000670011087,0.22146070933402956,1.0,0.0,0.0,67.75697634205335,0.03387848817102668,49.606,55.66,1147.541012763977
32.0,0.24,risk,1.1200000163539292,0.34030754982358047,1.0005985498428345,2.815605640411377,1.1200000163539292,0.34030754982358047,1.0,0.0,0.0,70.11070404935428,0.03505535202467714,49.646,55.67,1156.449692249298
33.0,0.32,risk,1.159999983389969,0.46088435963901414,1.0008416175842285,3.425579071044922,1.159999983389969,0.46088435963901414,1.0,0.0,0.0,72.62432966070662,0.036312164830353315,49.098,54.65,1174.5229604244232
34.0,0.4,risk,1.2000000440251186,0.5821310789383891,1.0008693933486938,4.042696952819824,1.2000000440251186,0.5821310789383891,1.0,0.0,0.0,75.15856310800169,0.037579281554000844,48.856,55.55,1186.6856088638306
35.0,0.48,risk,1.240000080574504,0.703840202840088,1.0011167526245117,4.645835876464844,1.240000080574504,0.703840202840088,1.0,0.0,0.0,77.5566739238829,0.03877833696194145,48.894,55.89,1193.5160021781921
36.0,0.56,risk,1.2799999799264972,0.8554306286375236,1.0022560358047485,5.2713704109191895,1.2799999799264972,0.8554306286375236,1.0,0.0,0.0,79.6346627305549,0.039817331365277445,49.448,58.62,1195.855812549591
37.0,0.64,risk,1.3199999798899111,0.9811654714367274,1.0023022890090942,5.905362606048584,1.3199999798899111,0.9811654714367274,1.0,0.0,0.0,82.16677676406923,0.04108338838203461,48.936,54.44,1207.7133893966675
38.0,0.72,risk,1.360000040829944,1.125868780838559,1.0040303468704224,6.639697074890137,1.360000040829944,1.125868780838559,1.0,0.0,0.0,84.50353244869336,0.04225176622434668,48.972,53.53,1214.0195355415344
39.0,0.8,risk,1.400000067013304,1.3076486718624145,1.0164066553115845,7.689673900604248,1.400000067013304,1.3076486718624145,1.0,0.0,0.0,87.42377905796221,0.043711889528981106,48.528,57.26,1221.5607583522797
40.0,0.88,risk,1.4399999782557378,1.4495880381225625,1.0344517230987549,8.34395694732666,1.4399999782557378,1.4495880381225625,1.0,0.0,0.0,90.51580626148399,0.045257903130741996,48.546,55.98,1227.426457643509
41.0,0.96,risk,1.479999998341436,1.5823617371756706,1.0304465293884277,8.969000816345215,1.479999998341436,1.5823617371756706,1.0,0.0,0.0,91.14800291316642,0.04557400145658321,48.296,58.08,1236.2388348579407
42.0,1.04,risk,1.5200000159880693,1.717441973783781,1.0306329727172852,9.400039672851562,1.5200000159880693,1.717441973783781,1.0,0.0,0.0,92.40155423991605,0.04620077711995803,48.484,54.16,1236.6576931476593
43.0,1.12,risk,1.560000047049559,1.8474687868371948,1.0388847589492798,10.322168350219727,1.560000047049559,1.8474687868371948,1.0,0.0,0.0,94.58816906054798,0.04729408453027399,48.334,55.64,1241.8339745998383
44.0,1.2,risk,1.6000000061586386,2.021721673743499,1.0574263334274292,12.198003768920898,1.6000000061586386,2.021721673743499,1.0,0.0,0.0,94.06125968039315,0.047030629840196576,48.636,56.42,1237.7505722045898
45.0,1.28,risk,1.6399999981950921,2.1689295732151823,1.1110079288482666,12.78342342376709,1.6399999981950921,2.1689295732151823,1.0,0.0,0.0,97.86440376615808,0.04893220188307904,48.288,58.87,1243.4275600910187
46.0,1.36,risk,1.6800000435860871,2.278651549688081,1.101940631866455,13.519652366638184,1.6800000435860871,2.278651549688081,1.0,0.0,0.0,95.3889024033781,0.047694451201689046,48.532,57.05,1244.8699214458466
47.0,1.44,risk,1.7199999950730893,2.3861194827672465,1.1063002347946167,13.943085670471191,1.7199999950730893,2.3861194827672465,1.0,0.0,0.0,98.83628918847002,0.04941814459423501,48.426,57.03,1241.3012747764587
48.0,1.52,risk,1.7599999788776992,2.646775171884795,1.1223055124282837,16.200103759765625,1.7599999788776992,2.646775171884795,1.0,0.0,0.0,94.89807411225395,0.04744903705612698,48.262,53.59,1240.7627348899841
49.0,1.6,risk,1.8000000550618867,2.883619772503748,1.1925280094146729,16.808887481689453,1.8000000550618867,2.883619772503748,1.0,0.0,0.0,97.56693599373992,0.04878346799686996,48.628,53.85,1236.6151721477509
