dataset,method,label,n_seeds,test_clean_mean,test_clean_std,test_sigma5_mean,test_sigma5_std,test_auc_full_mean,test_auc_full_std,test_auc_high_mean,test_auc_high_std
cifar10,l2all,L2-all,5,96.532,0.1611521020651017,10.48,0.6090976933136426,139.054,2.079471725282648,21.01425,1.0651967981316899
cifar10,l2wo,L2-wo,5,96.678,0.06760177512462313,53.616,6.6247173524611584,429.56425,10.210828412768459,146.96800000000002,9.026103836581434
cifar10,mne,MNE-L2 detach,5,95.574,0.4187242529398079,81.848,5.371365748112857,458.71425,6.00296948653333,175.51000000000002,5.743105173270814
cifar10,nodetach,MNE-L2 no-detach,5,95.548,0.3322950496170535,84.582,3.0565454356184523,463.51925,2.9856797017178347,179.12475,3.0033359577310135
cifar10,onesided,One-sided MNE,5,96.47999999999999,0.14142135623731125,28.958,2.7125578334848455,378.70675,2.4560662463072913,105.7775,2.2193740319626136
cifar100,l2all,L2-all,5,79.992,0.21879213879844753,0.992,0.017888543819998336,77.5745,2.8608497699547244,2.00525,0.011739356881873945
cifar100,l2wo,L2-wo,5,79.962,0.32065557846387144,31.01,4.3587727630607205,319.0255,8.436906395785705,94.9215,6.831217886475289
cifar100,mne,MNE-L2 detach,5,76.12,0.21213203435596525,38.216,4.900967251471895,313.17050000000006,9.651329312586943,99.68925,7.566992240150642
cifar100,nodetach,MNE-L2 no-detach,5,76.258,0.13046072205840312,44.978,3.212276451365916,329.7265,5.394854420533536,111.49925,4.545776937856726
cifar100,onesided,One-sided MNE,5,79.576,0.26566896694947667,18.97,1.8196565610026523,279.12225,7.250279919165207,68.07000000000001,4.5436384958808045
