epoch,alpha,q_assignment,q_mean,q_mean_pre_norm,q_tilde_mean,q_std,q_min,q_max,q_os_mean,q_os_std,p_gt_tau,p_at_qmax,q_cap,mean_normalize_q,ga_mode,ga_kappa_res_mean,ga_kappa_sc_mean,ga_frac_phi_neg_res,ga_cov_mean,risk_source,gm_p_mean,gm_d_mean,gm_m_mean,gm_r_mean,mne_grad_match_scale,mne_ref_grad_norm,reg_grad_norm,reg_coeff_grad_norm,ce_grad_norm,reg_ce_ratio,ann_train_acc,ann_test_acc,train_loss
0.0,0.0,risk,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.9999413938473558,0.0,0.0,0.0,off,1.0,1.0,0.0,0.0,gm,0.7020044326782227,1.0,1.0,0.7043845653533936,,,39.009792418975174,0.019504896209487588,0.6444693839992708,0.03026504701968846,20.316,34.4,1032.2293560504913
1.0,0.0,risk,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,off,1.0,1.0,0.0,0.0,gm,0.6827852129936218,1.0,1.0,0.6839024424552917,,,34.086387111960626,0.017043193555980312,0.8663164983303163,0.019673172089909735,31.112,42.16,855.2913463115692
2.0,0.0,risk,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,off,1.0,1.0,0.0,0.0,gm,0.6745887398719788,1.0,1.0,0.6737337112426758,,,31.201579552794367,0.015600789776397185,0.7423468333362083,0.021015499865857983,37.252,50.18,767.9349830150604
3.0,0.0,risk,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,off,1.0,1.0,0.0,0.0,gm,0.6639651656150818,1.0,1.0,0.6630964875221252,,,30.056024278224292,0.015028012139112146,1.2380267771611966,0.012138681017523283,44.238,50.48,692.241627573967
4.0,0.0,risk,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,off,1.0,1.0,0.0,0.0,gm,0.6550213694572449,1.0,1.0,0.6554656624794006,,,29.485751121440956,0.014742875560720478,0.9692717538503585,0.015210260179516759,49.298,60.59,637.3602468967438
5.0,0.0,risk,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,off,1.0,1.0,0.0,0.0,gm,0.651392936706543,1.0,1.0,0.6496039032936096,,,29.58238396710732,0.014791191983553659,1.1804609389191205,0.012530013908886382,52.636,56.07,601.4172888994217
6.0,0.0,risk,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.9999808198045892,0.0,0.0,0.0,off,1.0,1.0,0.0,0.0,gm,0.6434822678565979,1.0,1.0,0.6441586017608643,,,30.004786777078817,0.015002393388539408,1.037103803384194,0.014465662298783209,55.32,64.55,575.1871576309204
7.0,0.0,risk,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.9999318037496503,0.0,0.0,0.0,off,1.0,1.0,0.0,0.0,gm,0.6370696425437927,1.0,1.0,0.6383776664733887,,,30.752204288778625,0.015376102144389312,1.2195538680980087,0.012607972920761235,58.33,65.28,549.3468589782715
8.0,0.0,risk,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.9997783621863636,0.0,0.0,0.0,off,1.0,1.0,0.0,0.0,gm,0.6339564919471741,1.0,1.0,0.6348410844802856,,,31.511742325737664,0.015755871162868834,1.2654125916808034,0.012451173053320783,60.906,72.08,526.5698411464691
9.0,0.0,risk,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.9996430326605696,0.0,0.0,0.0,off,1.0,1.0,0.0,0.0,gm,0.6310954689979553,1.0,1.0,0.6287886500358582,,,32.18705008479358,0.016093525042396792,1.0908015620508258,0.01475385221500711,63.098,69.85,510.9748167991638
10.0,0.0,risk,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.9995354130444929,0.0,0.0,0.0,off,1.0,1.0,0.0,0.0,gm,0.6239460110664368,1.0,1.0,0.6231263279914856,,,32.79285742517584,0.01639642871258792,1.100176855740552,0.014903448138391479,64.854,73.58,491.9281607866287
