name,role,is_head,matched,n_params,out_channels,bn_name,if_name,risk_mean,risk_max,p_gt_tau,q_mean,q_max,q_os_mean,q_mean_pre_norm,kappa_mean
conv1.0,stem,False,True,1728,64,conv1.1,conv1.2,3.435929536819458,7.71511697769165,0.9375,12.7481689453125,29.8604679107666,12.7481689453125,3.0425069332122803,1.0
conv2_x.0.residual_function.0,residual_preact,False,True,36864,64,conv2_x.0.residual_function.1,conv2_x.0.residual_function.2,0.7970118522644043,1.8803845643997192,0.6875,2.209867000579834,6.521538257598877,2.209867000579834,3.0425069332122803,1.0
conv2_x.0.residual_function.3,residual_terminal,False,True,36864,64,conv2_x.0.residual_function.4,conv2_x.0.act,0.6232532858848572,1.8662147521972656,0.234375,1.5475414991378784,6.4648590087890625,1.5475414991378784,3.0425069332122803,1.0
conv2_x.1.residual_function.0,residual_preact,False,True,36864,64,conv2_x.1.residual_function.1,conv2_x.1.residual_function.2,0.49399590492248535,0.828686535358429,0.0625,1.042752981185913,2.314746141433716,1.042752981185913,3.0425069332122803,1.0
conv2_x.1.residual_function.3,residual_terminal,False,True,36864,64,conv2_x.1.residual_function.4,conv2_x.1.act,1.8289953470230103,7.71511697769165,0.671875,6.339350700378418,29.8604679107666,6.339350700378418,3.0425069332122803,1.0
conv3_x.0.residual_function.0,residual_preact,False,True,73728,128,conv3_x.0.residual_function.1,conv3_x.0.residual_function.2,1.007746934890747,2.2346019744873047,0.8515625,3.0415596961975098,7.938407897949219,3.0415596961975098,3.0425069332122803,1.0
conv3_x.0.residual_function.3,residual_terminal,False,True,147456,128,conv3_x.0.residual_function.4,conv3_x.0.act,1.0540884733200073,2.672680616378784,0.703125,3.2373557090759277,9.690722465515137,3.2373557090759277,3.0425069332122803,1.0
conv3_x.0.shortcut.0,shortcut,False,True,8192,128,conv3_x.0.shortcut.1,conv3_x.0.act,2.8616843223571777,7.71511697769165,0.828125,10.458977699279785,29.8604679107666,10.458977699279785,3.0425069332122803,1.0
conv3_x.1.residual_function.0,residual_preact,False,True,147456,128,conv3_x.1.residual_function.1,conv3_x.1.residual_function.2,0.48219481110572815,0.48219481110572815,0.0,1.0,1.0,1.0,3.0425069332122803,1.0
conv3_x.1.residual_function.3,residual_terminal,False,True,147456,128,conv3_x.1.residual_function.4,conv3_x.1.act,4.588681697845459,7.71511697769165,0.8671875,17.364185333251953,29.8604679107666,17.364185333251953,3.0425069332122803,1.0
conv4_x.0.residual_function.0,residual_preact,False,True,294912,256,conv4_x.0.residual_function.1,conv4_x.0.residual_function.2,0.48219481110572815,0.48219481110572815,0.0,1.0,1.0,1.0,3.0425069332122803,1.0
conv4_x.0.residual_function.3,residual_terminal,False,True,589824,256,conv4_x.0.residual_function.4,conv4_x.0.act,0.4992580711841583,1.0590369701385498,0.109375,1.0593104362487793,3.236147880554199,1.0593104362487793,3.0425069332122803,1.0
conv4_x.0.shortcut.0,shortcut,False,True,32768,256,conv4_x.0.shortcut.1,conv4_x.0.act,0.4900810718536377,1.2095974683761597,0.03125,1.0292513370513916,3.8383898735046387,1.0292513370513916,3.0425069332122803,1.0
conv4_x.1.residual_function.0,residual_preact,False,True,589824,256,conv4_x.1.residual_function.1,conv4_x.1.residual_function.2,0.48219481110572815,0.48219481110572815,0.0,1.0,1.0,1.0,3.0425069332122803,1.0
conv4_x.1.residual_function.3,residual_terminal,False,True,589824,256,conv4_x.1.residual_function.4,conv4_x.1.act,5.896609306335449,7.71511697769165,0.8984375,22.593669891357422,29.8604679107666,22.593669891357422,3.0425069332122803,1.0
conv5_x.0.residual_function.0,residual_preact,False,True,1179648,512,conv5_x.0.residual_function.1,conv5_x.0.residual_function.2,1.1121759414672852,1.9804574251174927,0.994140625,3.4491214752197266,6.921829700469971,3.4491214752197266,3.0425069332122803,1.0
conv5_x.0.residual_function.3,residual_terminal,False,True,2359296,512,conv5_x.0.residual_function.4,conv5_x.0.act,0.5827707648277283,2.2923057079315186,0.396484375,1.3725948333740234,8.169222831726074,1.3725948333740234,3.0425069332122803,1.0
conv5_x.0.shortcut.0,shortcut,False,True,131072,512,conv5_x.0.shortcut.1,conv5_x.0.act,2.2479100227355957,6.5429182052612305,1.0,7.991640567779541,25.171672821044922,7.991640567779541,3.0425069332122803,1.0
conv5_x.1.residual_function.0,residual_preact,False,True,2359296,512,conv5_x.1.residual_function.1,conv5_x.1.residual_function.2,0.5289928913116455,0.9627127051353455,0.419921875,1.154994249343872,2.850850820541382,1.154994249343872,3.0425069332122803,1.0
conv5_x.1.residual_function.3,residual_terminal,False,True,2359296,512,conv5_x.1.residual_function.4,conv5_x.1.act,0.66532301902771,7.222958564758301,0.07421875,1.727226972579956,27.891834259033203,1.727226972579956,3.0425069332122803,1.0
fc,classifier_head,True,False,5120,10,,,nan,nan,nan,1.0,1.0,1.0,1.0,1.0
