name,role,is_head,matched,n_params,out_channels,bn_name,if_name,risk_mean,risk_max,p_gt_tau,q_mean,q_max,q_os_mean,q_mean_pre_norm,kappa_mean
conv1.0,stem,False,True,1728,64,conv1.1,conv1.2,3.691408157348633,7.318944454193115,0.984375,13.768293380737305,28.27577781677246,13.768293380737305,3.102282762527466,1.0
conv2_x.0.residual_function.0,residual_preact,False,True,36864,64,conv2_x.0.residual_function.1,conv2_x.0.residual_function.2,0.6188042163848877,1.6542540788650513,0.515625,1.547524094581604,5.617016315460205,1.547524094581604,3.102282762527466,1.0
conv2_x.0.residual_function.3,residual_terminal,False,True,36864,64,conv2_x.0.residual_function.4,conv2_x.0.act,0.6016329526901245,1.7984527349472046,0.203125,1.5415340662002563,6.193810939788818,1.5415340662002563,3.102282762527466,1.0
conv2_x.1.residual_function.0,residual_preact,False,True,36864,64,conv2_x.1.residual_function.1,conv2_x.1.residual_function.2,0.46123337745666504,0.6219658255577087,0.03125,1.0083147287368774,1.487863302230835,1.0083147287368774,3.102282762527466,1.0
conv2_x.1.residual_function.3,residual_terminal,False,True,36864,64,conv2_x.1.residual_function.4,conv2_x.1.act,2.2934694290161133,7.318944454193115,0.671875,8.22616958618164,28.27577781677246,8.22616958618164,3.102282762527466,1.0
conv3_x.0.residual_function.0,residual_preact,False,True,73728,128,conv3_x.0.residual_function.1,conv3_x.0.residual_function.2,1.094055414199829,3.704963207244873,0.875,3.396392822265625,13.819852828979492,3.396392822265625,3.102282762527466,1.0
conv3_x.0.residual_function.3,residual_terminal,False,True,147456,128,conv3_x.0.residual_function.4,conv3_x.0.act,0.5993147492408752,1.6230978965759277,0.5,1.475541114807129,5.492391586303711,1.475541114807129,3.102282762527466,1.0
conv3_x.0.shortcut.0,shortcut,False,True,8192,128,conv3_x.0.shortcut.1,conv3_x.0.act,1.505103349685669,7.318944454193115,0.921875,5.032573699951172,28.27577781677246,5.032573699951172,3.102282762527466,1.0
conv3_x.1.residual_function.0,residual_preact,False,True,147456,128,conv3_x.1.residual_function.1,conv3_x.1.residual_function.2,0.4574340283870697,0.4574340283870697,0.0,1.0,1.0,1.0,3.102282762527466,1.0
conv3_x.1.residual_function.3,residual_terminal,False,True,147456,128,conv3_x.1.residual_function.4,conv3_x.1.act,4.022703647613525,7.318944454193115,0.8359375,15.118438720703125,28.27577781677246,15.118438720703125,3.102282762527466,1.0
conv4_x.0.residual_function.0,residual_preact,False,True,294912,256,conv4_x.0.residual_function.1,conv4_x.0.residual_function.2,0.4574340283870697,0.4574340283870697,0.0,1.0,1.0,1.0,3.102282762527466,1.0
conv4_x.0.residual_function.3,residual_terminal,False,True,589824,256,conv4_x.0.residual_function.4,conv4_x.0.act,0.4586668610572815,0.6884765625,0.0078125,1.00360107421875,1.75390625,1.00360107421875,3.102282762527466,1.0
conv4_x.0.shortcut.0,shortcut,False,True,32768,256,conv4_x.0.shortcut.1,conv4_x.0.act,0.4574340283870697,0.4574340283870697,0.0,1.0,1.0,1.0,3.102282762527466,1.0
conv4_x.1.residual_function.0,residual_preact,False,True,589824,256,conv4_x.1.residual_function.1,conv4_x.1.residual_function.2,0.4574340283870697,0.4574340283870697,0.0,1.0,1.0,1.0,3.102282762527466,1.0
conv4_x.1.residual_function.3,residual_terminal,False,True,589824,256,conv4_x.1.residual_function.4,conv4_x.1.act,4.818626403808594,7.318944454193115,0.78515625,18.311084747314453,28.27577781677246,18.311084747314453,3.102282762527466,1.0
conv5_x.0.residual_function.0,residual_preact,False,True,1179648,512,conv5_x.0.residual_function.1,conv5_x.0.residual_function.2,2.102928400039673,3.8904497623443604,1.0,7.411713600158691,14.561799049377441,7.411713600158691,3.102282762527466,1.0
conv5_x.0.residual_function.3,residual_terminal,False,True,2359296,512,conv5_x.0.residual_function.4,conv5_x.0.act,0.473524272441864,1.6318482160568237,0.0390625,1.056107759475708,5.527392864227295,1.056107759475708,3.102282762527466,1.0
conv5_x.0.shortcut.0,shortcut,False,True,131072,512,conv5_x.0.shortcut.1,conv5_x.0.act,1.311011791229248,3.5910961627960205,1.0,4.244046688079834,13.364384651184082,4.244046688079834,3.102282762527466,1.0
conv5_x.1.residual_function.0,residual_preact,False,True,2359296,512,conv5_x.1.residual_function.1,conv5_x.1.residual_function.2,0.7200899124145508,1.1915158033370972,0.892578125,1.8951027393341064,3.7660632133483887,1.8951027393341064,3.102282762527466,1.0
conv5_x.1.residual_function.3,residual_terminal,False,True,2359296,512,conv5_x.1.residual_function.4,conv5_x.1.act,0.4930761456489563,3.449772834777832,0.03125,1.1372015476226807,12.799091339111328,1.1372015476226807,3.102282762527466,1.0
fc,classifier_head,True,False,5120,10,,,nan,nan,nan,1.0,1.0,1.0,1.0,1.0
