name,role,is_head,matched,n_params,out_channels,bn_name,if_name,risk_mean,risk_max,p_gt_tau,q_mean,q_max,q_os_mean,q_mean_pre_norm,kappa_mean
conv1.0,stem,False,True,1728,64,conv1.1,conv1.2,4.931486129760742,11.82674789428711,1.0,18.72594451904297,46.30699157714844,18.72594451904297,3.000000476837158,1.0
conv2_x.0.residual_function.0,residual_preact,False,True,36864,64,conv2_x.0.residual_function.1,conv2_x.0.residual_function.2,1.0856585502624512,11.82674789428711,1.0,3.3426342010498047,46.30699157714844,3.3426342010498047,3.000000476837158,1.0
conv2_x.0.residual_function.3,residual_terminal,False,True,36864,64,conv2_x.0.residual_function.4,conv2_x.0.act,0.9124151468276978,11.82674789428711,1.0,2.649660587310791,46.30699157714844,2.649660587310791,3.000000476837158,1.0
conv2_x.1.residual_function.0,residual_preact,False,True,36864,64,conv2_x.1.residual_function.1,conv2_x.1.residual_function.2,0.7391717433929443,0.7391717433929443,1.0,1.9566869735717773,1.9566869735717773,1.9566869735717773,3.000000476837158,1.0
conv2_x.1.residual_function.3,residual_terminal,False,True,36864,64,conv2_x.1.residual_function.4,conv2_x.1.act,1.4866676330566406,11.82674789428711,1.0,4.946670055389404,46.30699157714844,4.946670055389404,3.000000476837158,1.0
conv3_x.0.residual_function.0,residual_preact,False,True,73728,128,conv3_x.0.residual_function.1,conv3_x.0.residual_function.2,0.7391717433929443,0.7391717433929443,1.0,1.9566869735717773,1.9566869735717773,1.9566869735717773,3.000000476837158,1.0
conv3_x.0.residual_function.3,residual_terminal,False,True,147456,128,conv3_x.0.residual_function.4,conv3_x.0.act,2.4716057777404785,11.82674789428711,1.0,8.886422157287598,46.30699157714844,8.886422157287598,3.000000476837158,1.0
conv3_x.0.shortcut.0,shortcut,False,True,8192,128,conv3_x.0.shortcut.1,conv3_x.0.act,2.4780752658843994,11.82674789428711,1.0,8.912301063537598,46.30699157714844,8.912301063537598,3.000000476837158,1.0
conv3_x.1.residual_function.0,residual_preact,False,True,147456,128,conv3_x.1.residual_function.1,conv3_x.1.residual_function.2,0.7391717433929443,0.7391717433929443,1.0,1.9566869735717773,1.9566869735717773,1.9566869735717773,3.000000476837158,1.0
conv3_x.1.residual_function.3,residual_terminal,False,True,147456,128,conv3_x.1.residual_function.4,conv3_x.1.act,2.540151596069336,11.82674789428711,1.0,9.160606384277344,46.30699157714844,9.160606384277344,3.000000476837158,1.0
conv4_x.0.residual_function.0,residual_preact,False,True,294912,256,conv4_x.0.residual_function.1,conv4_x.0.residual_function.2,0.7391717433929443,0.7391717433929443,1.0,1.9566869735717773,1.9566869735717773,1.9566869735717773,3.000000476837158,1.0
conv4_x.0.residual_function.3,residual_terminal,False,True,589824,256,conv4_x.0.residual_function.4,conv4_x.0.act,0.7391717433929443,0.7391717433929443,1.0,1.9566869735717773,1.9566869735717773,1.9566869735717773,3.000000476837158,1.0
conv4_x.0.shortcut.0,shortcut,False,True,32768,256,conv4_x.0.shortcut.1,conv4_x.0.act,0.7391717433929443,0.7391717433929443,1.0,1.9566869735717773,1.9566869735717773,1.9566869735717773,3.000000476837158,1.0
conv4_x.1.residual_function.0,residual_preact,False,True,589824,256,conv4_x.1.residual_function.1,conv4_x.1.residual_function.2,0.7391717433929443,0.7391717433929443,1.0,1.9566869735717773,1.9566869735717773,1.9566869735717773,3.000000476837158,1.0
conv4_x.1.residual_function.3,residual_terminal,False,True,589824,256,conv4_x.1.residual_function.4,conv4_x.1.act,2.5461113452911377,11.82674789428711,1.0,9.18444538116455,46.30699157714844,9.18444538116455,3.000000476837158,1.0
conv5_x.0.residual_function.0,residual_preact,False,True,1179648,512,conv5_x.0.residual_function.1,conv5_x.0.residual_function.2,0.7391717433929443,0.7391717433929443,1.0,1.9566869735717773,1.9566869735717773,1.9566869735717773,3.000000476837158,1.0
conv5_x.0.residual_function.3,residual_terminal,False,True,2359296,512,conv5_x.0.residual_function.4,conv5_x.0.act,0.8547954559326172,11.82674789428711,1.0,2.419182062149048,46.30699157714844,2.419182062149048,3.000000476837158,1.0
conv5_x.0.shortcut.0,shortcut,False,True,131072,512,conv5_x.0.shortcut.1,conv5_x.0.act,1.996315360069275,11.82674789428711,1.0,6.985261917114258,46.30699157714844,6.985261917114258,3.000000476837158,1.0
conv5_x.1.residual_function.0,residual_preact,False,True,2359296,512,conv5_x.1.residual_function.1,conv5_x.1.residual_function.2,0.7391717433929443,0.7391717433929443,1.0,1.9566869735717773,1.9566869735717773,1.9566869735717773,3.000000476837158,1.0
conv5_x.1.residual_function.3,residual_terminal,False,True,2359296,512,conv5_x.1.residual_function.4,conv5_x.1.act,1.0859161615371704,11.82674789428711,1.0,3.34366512298584,46.30699157714844,3.34366512298584,3.000000476837158,1.0
fc,classifier_head,True,False,5120,10,,,nan,nan,nan,1.0,1.0,1.0,1.0,1.0
