epoch,alpha,q_assignment,q_mean,q_mean_pre_norm,q_tilde_mean,q_std,q_min,q_max,q_os_mean,q_os_std,p_gt_tau,p_at_qmax,q_cap,mean_normalize_q,ga_mode,ga_kappa_res_mean,ga_kappa_sc_mean,ga_frac_phi_neg_res,ga_cov_mean,risk_source,gm_p_mean,gm_d_mean,gm_m_mean,gm_r_mean,mne_grad_match_scale,mne_ref_grad_norm,reg_grad_norm,reg_coeff_grad_norm,ce_grad_norm,reg_ce_ratio,ann_train_acc,ann_test_acc,train_loss
0.0,0.0,risk,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.817349763782433,0.0,0.0,0.0,off,0.2162178009748459,1.783154845237732,0.0,3.371092134329956e-07,gm,0.7013756036758423,1.0,0.8132279515266418,0.5803223848342896,,,38.551662882206216,0.01927583144110311,0.798503951120367,0.024139932449999183,4.904,7.69,1858.8262763023376
1.0,0.0,risk,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.8136008438246939,0.0,0.0,0.0,off,0.20527516305446625,1.7940376996994019,0.0,9.086105819733348e-06,gm,0.6819915771484375,1.0,0.8132162690162659,0.5646175146102905,,,35.526376301079985,0.017763188150539993,0.9585234947581799,0.01853182342183627,8.41,13.64,1702.96333360672
2.0,0.0,risk,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.8135385001102067,0.0,0.0,0.0,off,0.19741058349609375,1.8016973733901978,0.0,1.592834814800881e-05,gm,0.6654142737388611,1.0,0.81317538022995,0.5526773929595947,,,35.33926058182965,0.017669630290914826,1.1378749887343536,0.015528621743033977,12.232,15.53,1594.0506711006165
3.0,0.0,risk,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.8140079086393956,0.0,0.0,0.0,off,0.23085197806358337,1.7682965993881226,0.0,2.590200529084541e-05,gm,0.6567548513412476,1.0,0.8131833076477051,0.5457218289375305,,,36.89635648236265,0.018448178241181324,1.3728716605709665,0.013437656826209721,16.86,23.57,1487.7347419261932
4.0,0.0,risk,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.8157347794383993,0.0,0.0,0.0,off,0.29540151357650757,1.703953504562378,0.0,4.031524804304354e-05,gm,0.6530100703239441,1.0,0.8132243752479553,0.5389153957366943,,,39.052488780602786,0.019526244390301394,1.6075509991969663,0.012146578491167934,21.764,30.52,1397.5668621063232
5.0,0.0,risk,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.8179545141851811,0.0,0.0,0.0,off,0.3082788586616516,1.6910713911056519,0.0,4.7783480113139376e-05,gm,0.6432435512542725,1.0,0.8132233023643494,0.5326991081237793,,,41.19457900669182,0.020597289503345908,1.4953536054894718,0.013774193226092385,25.936,33.92,1326.907488822937
6.0,0.0,risk,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.8253809884381111,0.0,0.0,0.0,off,0.35962262749671936,1.6397731304168701,0.0,5.8189776609651744e-05,gm,0.6343838572502136,1.0,0.8132320642471313,0.5246646404266357,,,43.297749879795376,0.02164887493989769,1.681684803730393,0.01287332494881034,28.58,38.87,1283.0917000770569
7.0,0.0,risk,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.8322788958659257,0.0,0.0,0.0,off,0.38997915387153625,1.6095083951950073,0.0,6.532603583764285e-05,gm,0.6285225749015808,1.0,0.8132503032684326,0.5189916491508484,,,45.25111425724472,0.02262555712862236,1.7125043743249273,0.013211970414698298,31.856,41.92,1242.45827460289
8.0,0.0,risk,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.8421851228874968,0.0,0.0,0.0,off,0.41791123151779175,1.58162522315979,0.0,7.215354708023369e-05,gm,0.620356559753418,1.0,0.8132598996162415,0.5130413770675659,,,47.03531046730334,0.02351765523365167,1.603824928309553,0.014663480295470595,34.452,45.6,1208.6042370796204
9.0,0.0,risk,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.8507369101199957,0.0,0.0,0.0,off,0.43654870986938477,1.563034176826477,0.0,8.44404348754324e-05,gm,0.612410306930542,1.0,0.8132691383361816,0.5066683292388916,,,48.517615236011935,0.024258807618005966,1.7574544101398692,0.013803378043857933,36.422,43.43,1187.4322006702423
10.0,0.0,risk,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.8543158789424945,0.0,0.0,0.0,off,0.461841344833374,1.537764549255371,0.0,9.093826520256698e-05,gm,0.6029954552650452,1.0,0.813273549079895,0.49921178817749023,,,49.78826329984358,0.02489413164992179,1.745579758558302,0.014261239870518545,38.01,46.38,1167.4096014499664
11.0,0.0,risk,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.855622361688053,0.0,0.0,0.0,off,0.4806042015552521,1.519020438194275,0.0,9.359649993712083e-05,gm,0.596257209777832,1.0,0.8132772445678711,0.4933943748474121,,,50.97590180067529,0.025487950900337644,1.662102314681404,0.015334766503362483,39.734,46.45,1151.322536945343
12.0,0.0,risk,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.855118842990807,0.0,0.0,0.0,off,0.5059994459152222,1.4936522245407104,0.0,0.00010670974006643519,gm,0.5908129215240479,1.0,0.8132824897766113,0.48823681473731995,,,52.03401087862106,0.02601700543931053,1.7354719253524795,0.01499131450024834,40.712,49.35,1142.575755596161
13.0,0.0,risk,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.8546014731497411,0.0,0.0,0.0,off,0.5305101275444031,1.4691632986068726,0.0,0.00010805953206727281,gm,0.5831518769264221,1.0,0.8132867217063904,0.48291292786598206,,,53.035832869638895,0.026517916434819447,1.7772003098251339,0.01492117477597596,41.962,50.07,1136.2672321796417
14.0,0.0,risk,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.8521675374501806,0.0,0.0,0.0,off,0.5409800410270691,1.4587159156799316,0.0,0.00011008274304913357,gm,0.5773372650146484,1.0,0.8132912516593933,0.47747284173965454,,,53.93092505913815,0.026965462529569075,1.6707395800569214,0.016139835825670912,42.854,52.38,1128.2151160240173
15.0,0.0,risk,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.8490707752344858,0.0,0.0,0.0,off,0.5579016804695129,1.4418076276779175,0.0,0.00012171005073469132,gm,0.5733547210693359,1.0,0.8132936954498291,0.47369715571403503,,,54.70943379899344,0.027354716899496718,1.7491266917714532,0.01563907121661544,43.88,46.61,1120.6095712184906
16.0,0.0,risk,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.8448268530313926,0.0,0.0,0.0,off,0.575046181678772,1.4246776103973389,0.0,0.00012155075091868639,gm,0.5663808584213257,1.0,0.8132965564727783,0.4682779014110565,,,55.596212245714696,0.02779810612285735,1.8397771435213335,0.01510949639783641,44.378,52.55,1119.7714426517487
17.0,0.0,risk,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.8439109339128674,0.0,0.0,0.0,off,0.5825394988059998,1.4171957969665527,0.0,0.00012512461398728192,gm,0.5618505477905273,1.0,0.8132988214492798,0.46401846408843994,,,56.32900748864444,0.028164503744322222,1.9267638196358867,0.014617517444169496,44.656,52.92,1119.5926911830902
18.0,0.0,risk,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.8383690536479511,0.0,0.0,0.0,off,0.6017317771911621,1.3980164527893066,0.0,0.0001298210845561698,gm,0.5564337968826294,1.0,0.8133012652397156,0.4596474766731262,,,56.98943565580543,0.028494717827902714,2.0790922477253906,0.01370536485770512,45.892,52.4,1112.5703332424164
19.0,0.0,risk,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.8389556915558818,0.0,0.0,0.0,off,0.6268158555030823,1.372944951057434,0.0,0.00013730680802837014,gm,0.5518634915351868,1.0,0.8133036494255066,0.4554491341114044,,,57.60601192597756,0.028803005962988782,1.8472175805490965,0.015592643912812326,46.554,55.41,1111.7185015678406
20.0,0.0,risk,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.8349866963103604,0.0,0.0,0.0,off,0.6205807328224182,1.379183292388916,0.0,0.00013691898493561894,gm,0.5466224551200867,1.0,0.8133042454719543,0.4515654742717743,,,58.24728662286151,0.029123643311430754,1.8003000350715308,0.016177105340262683,46.76,56.31,1111.2267549037933
21.0,0.0,risk,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.8331697744786587,0.0,0.0,0.0,off,0.6343804597854614,1.3653953075408936,0.0,0.00014138872211333364,gm,0.541667103767395,1.0,0.8133063912391663,0.4474628269672394,,,58.81976325398948,0.02940988162699474,1.9213066069871556,0.01530722973628506,47.208,53.23,1108.4618968963623
