epoch,alpha,q_assignment,q_mean,q_mean_pre_norm,q_tilde_mean,q_std,q_min,q_max,q_os_mean,q_os_std,p_gt_tau,p_at_qmax,q_cap,mean_normalize_q,mne_grad_match_scale,mne_ref_grad_norm,reg_grad_norm,reg_coeff_grad_norm,ce_grad_norm,reg_ce_ratio,ann_train_acc,ann_test_acc,train_loss
0.0,0.25,risk,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.6240680813789368,0.6976317763328552,0.699560747124757,6.99560747124757e-05,0.632224576870406,0.00011065067267515506,18.828,30.06,884.2000354528427
1.0,0.25,risk,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.6660845279693604,0.7722334265708923,0.7724834800000062,7.724834800000063e-05,0.6622379388460444,0.00011664742152134408,27.538,39.96,767.4368076324463
2.0,0.25,risk,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.6876732110977173,0.7800369262695312,0.7761668196882964,7.761668196882964e-05,0.6922432336622427,0.00011212342453418642,33.08,46.72,709.6623920202255
3.0,0.25,risk,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.7619859576225281,0.8963075876235962,0.8920561949966084,8.920561949966084e-05,0.7864540314836095,0.0001134276333117379,39.774,51.05,647.528370141983
4.0,0.25,risk,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.827545702457428,1.0550885200500488,1.0526228281691399,0.000105262282816914,0.8857244259430327,0.00011884315226470245,45.71,57.72,588.9101815223694
5.0,0.25,risk,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.8604182600975037,1.1838802099227905,1.1863315258316518,0.00011863315258316519,0.9390502894436659,0.00012633311966012877,50.988,60.93,536.5617487430573
6.0,0.25,risk,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.916085422039032,1.605687141418457,1.6042549801111214,0.00016042549801111215,0.9832196658823801,0.0001631634349656137,54.966,66.78,496.48456597328186
7.0,0.25,risk,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.9417884945869446,1.9812304973602295,1.980632722944766,0.0001980632722944766,0.7842320031962631,0.00025255698758433476,58.1,67.64,463.2386511564255
8.0,0.25,risk,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.9589856863021851,2.4534049034118652,2.455694838076784,0.0002455694838076784,0.8911194922306742,0.0002755741356223308,60.708,70.29,434.6219339966774
9.0,0.25,risk,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.974199652671814,3.217719316482544,3.2315376156389277,0.0003231537615638928,0.7892500543878089,0.0004094440789295236,63.508,74.58,403.6117953658104
10.0,0.25,risk,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.978205144405365,3.496886968612671,3.49266999623654,0.000349266999623654,0.9865507012845096,0.00035402843378338393,66.148,73.14,375.61035972833633
11.0,0.25,risk,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.9820313453674316,3.9523022174835205,3.9179152962359796,0.00039179152962359797,0.8156746541770323,0.00048032818920785584,67.936,78.68,358.321631193161
12.0,0.25,risk,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.9883484840393066,4.912942409515381,4.907328483041478,0.0004907328483041478,1.0776863929331413,0.0004553577474134374,69.42,79.09,341.7737411260605
13.0,0.25,risk,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.9899691343307495,5.403815746307373,5.353237667636721,0.0005353237667636722,0.9455656225104133,0.0005661413169214247,71.124,79.99,325.56855660676956
14.0,0.25,risk,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.9910897612571716,5.885817050933838,5.858021685489784,0.0005858021685489784,0.868284578970143,0.000674666097656356,72.222,79.1,313.69921094179153
15.0,0.25,risk,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.9900507926940918,5.689672946929932,5.719072523943758,0.0005719072523943759,1.0150788313285797,0.0005634116629600468,72.97,82.63,304.12446320056915
16.0,0.25,risk,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.9909519553184509,5.992428302764893,5.950494968147476,0.0005950494968147476,0.8295555648281671,0.0007173111989647195,74.104,83.54,291.4831719994545
17.0,0.25,risk,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.9915735125541687,6.384981632232666,6.455464764048877,0.0006455464764048878,0.8240249697000276,0.0007834064502194491,74.8,82.74,285.7186998426914
18.0,0.25,risk,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.9913586974143982,6.409520149230957,6.439705908615832,0.0006439705908615833,1.083039000858849,0.0005945959382357562,75.616,81.91,275.30155462026596
19.0,0.25,risk,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.9905983209609985,6.3731207847595215,6.430461081928844,0.0006430461081928844,0.8162299246152387,0.0007878247155616218,76.538,85.51,264.54158276319504
20.0,0.25,risk,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.9914625883102417,6.739898681640625,6.758011652837662,0.0006758011652837662,0.9090144250212123,0.0007434438295827881,76.966,85.08,260.88379296660423
21.0,0.25,risk,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.9921151995658875,7.19327974319458,7.1820591329991865,0.0007182059132999187,0.901273039921573,0.0007968793933549988,77.856,86.91,252.40527820587158
22.0,0.25,risk,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.9935513734817505,7.892350196838379,7.916665118320269,0.000791666511832027,0.8202138016796855,0.0009651953066515125,78.25,86.88,246.50068020820618
23.0,0.25,risk,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.9934241771697998,7.993938446044922,7.976647998299963,0.0007976647998299964,0.8589878178312829,0.0009286101423928096,78.64,87.53,243.76384723186493
24.0,0.25,risk,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.9913410544395447,7.228090763092041,7.221306711608977,0.0007221306711608978,0.9366076276299388,0.0007710066092331862,79.076,87.03,235.43404695391655
25.0,0.25,risk,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.9910972118377686,7.282846927642822,7.314008286402062,0.0007314008286402063,0.975333368842779,0.000749898293245113,79.744,87.59,230.6612313091755
26.0,0.25,risk,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.9921174049377441,7.66511869430542,7.653011674681001,0.0007653011674681002,0.8414899176897876,0.0009094596992547994,80.138,86.68,224.93147379159927
27.0,0.25,risk,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.991581380367279,7.594040870666504,7.644882625765107,0.0007644882625765108,0.890733028520048,0.0008582686821961764,80.412,88.79,222.5552500784397
28.0,0.25,risk,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.9914935827255249,7.70783805847168,7.67825440751229,0.000767825440751229,0.8392329252957037,0.0009149133900825992,80.62,89.08,217.47363510727882
29.0,0.25,risk,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.9877563714981079,6.458095550537109,6.443919560991721,0.0006443919560991721,0.8813671686277815,0.000731127705950789,81.126,88.94,213.86906525492668
30.0,0.25,risk,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.9891963601112366,6.990303993225098,7.033197860663167,0.0007033197860663167,0.8762935437999217,0.0008026075178147164,81.326,88.54,211.3540852367878
31.0,0.25,risk,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.9908905625343323,7.899623394012451,7.848248755240545,0.0007848248755240545,0.816062959102161,0.0009617209882770872,81.686,88.92,208.47451853752136
32.0,0.25,risk,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.9899111390113831,7.393913269042969,7.4289237669589205,0.0007428923766958921,1.0576325730886513,0.0007024106439218211,82.174,88.85,201.56018233299255
33.0,0.25,risk,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.9894194602966309,7.419992446899414,7.410482340967732,0.0007410482340967732,0.9157990283091714,0.000809182158082174,82.24,89.77,200.10252824425697
34.0,0.25,risk,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.9906089901924133,7.897190093994141,7.804880498027778,0.0007804880498027779,0.9336172891971024,0.0008359828581087937,82.82,89.36,196.71097503602505
35.0,0.25,risk,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.9888334274291992,7.262117385864258,7.218494885024052,0.0007218494885024052,0.8585678669602743,0.0008407599635170192,83.124,89.54,191.19942528009415
36.0,0.25,risk,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.9852203130722046,6.500441074371338,6.515967417926721,0.000651596741792672,0.9366703178964684,0.0006956521727473957,83.028,89.81,191.42289942502975
37.0,0.25,risk,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.9814168214797974,5.868288516998291,5.857126213991344,0.0005857126213991344,0.7837586675127358,0.0007473124645088748,83.574,89.61,188.38883525133133
38.0,0.25,risk,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.9877360463142395,7.29888916015625,7.2879720765963025,0.0007287972076596303,1.0715620129162504,0.0006801260205895247,83.566,90.24,185.94521564245224
39.0,0.25,risk,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.986958384513855,7.154574394226074,7.158469399724085,0.0007158469399724085,0.7081424609138689,0.0010108798433702123,84.212,90.87,182.06933391094208
40.0,0.25,risk,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.9854663014411926,6.951343536376953,6.93625185912292,0.000693625185912292,0.712577857662651,0.0009734026653416845,84.32,89.95,179.82598803937435
