name,role,is_head,matched,n_params,out_channels,bn_name,if_name,risk_mean,risk_max,p_gt_tau,q_mean,q_max,q_os_mean,q_mean_pre_norm
conv1.0,stem,False,True,1728,64,conv1.1,conv1.2,3.033925771713257,7.730454444885254,0.734375,11.153205871582031,29.921817779541016,11.153205871582031,3.0156033039093018
conv2_x.0.residual_function.0,residual_preact,False,True,36864,64,conv2_x.0.residual_function.1,conv2_x.0.residual_function.2,0.49522149562835693,0.789279580116272,0.0625,1.0430439710617065,2.157118320465088,1.0430439710617065,3.0156033039093018
conv2_x.0.residual_function.3,residual_terminal,False,True,36864,64,conv2_x.0.residual_function.4,conv2_x.0.act,0.552131175994873,1.3566306829452515,0.234375,1.260117530822754,4.426522731781006,1.260117530822754,3.0156033039093018
conv2_x.1.residual_function.0,residual_preact,False,True,36864,64,conv2_x.1.residual_function.1,conv2_x.1.residual_function.2,0.48315340280532837,0.48315340280532837,0.0,1.0,1.0,1.0,3.0156033039093018
conv2_x.1.residual_function.3,residual_terminal,False,True,36864,64,conv2_x.1.residual_function.4,conv2_x.1.act,0.9315681457519531,3.585115432739258,0.5,2.7599658966064453,13.340461730957031,2.7599658966064453,3.0156033039093018
conv3_x.0.residual_function.0,residual_preact,False,True,73728,128,conv3_x.0.residual_function.1,conv3_x.0.residual_function.2,0.48315340280532837,0.48315340280532837,0.0,1.0,1.0,1.0,3.0156033039093018
conv3_x.0.residual_function.3,residual_terminal,False,True,147456,128,conv3_x.0.residual_function.4,conv3_x.0.act,0.49600160121917725,0.8408428430557251,0.09375,1.0438311100006104,2.3633713722229004,1.0438311100006104,3.0156033039093018
conv3_x.0.shortcut.0,shortcut,False,True,8192,128,conv3_x.0.shortcut.1,conv3_x.0.act,0.4940823018550873,0.9004287123680115,0.0859375,1.0379246473312378,2.601714849472046,1.0379246473312378,3.0156033039093018
conv3_x.1.residual_function.0,residual_preact,False,True,147456,128,conv3_x.1.residual_function.1,conv3_x.1.residual_function.2,0.48315340280532837,0.48315340280532837,0.0,1.0,1.0,1.0,3.0156033039093018
conv3_x.1.residual_function.3,residual_terminal,False,True,147456,128,conv3_x.1.residual_function.4,conv3_x.1.act,0.5444395542144775,0.9446860551834106,0.3828125,1.2179949283599854,2.7787442207336426,1.2179949283599854,3.0156033039093018
conv4_x.0.residual_function.0,residual_preact,False,True,294912,256,conv4_x.0.residual_function.1,conv4_x.0.residual_function.2,0.48315340280532837,0.48315340280532837,0.0,1.0,1.0,1.0,3.0156033039093018
conv4_x.0.residual_function.3,residual_terminal,False,True,589824,256,conv4_x.0.residual_function.4,conv4_x.0.act,0.575188398361206,1.1938738822937012,0.5390625,1.3308730125427246,3.7754955291748047,1.3308730125427246,3.0156033039093018
conv4_x.0.shortcut.0,shortcut,False,True,32768,256,conv4_x.0.shortcut.1,conv4_x.0.act,0.48315340280532837,0.48315340280532837,0.0,1.0,1.0,1.0,3.0156033039093018
conv4_x.1.residual_function.0,residual_preact,False,True,589824,256,conv4_x.1.residual_function.1,conv4_x.1.residual_function.2,0.5340067744255066,0.8152828216552734,0.50390625,1.167349100112915,2.2611312866210938,1.167349100112915,3.0156033039093018
conv4_x.1.residual_function.3,residual_terminal,False,True,589824,256,conv4_x.1.residual_function.4,conv4_x.1.act,1.2615573406219482,2.6861958503723145,0.984375,4.0472822189331055,9.744783401489258,4.0472822189331055,3.0156033039093018
conv5_x.0.residual_function.0,residual_preact,False,True,1179648,512,conv5_x.0.residual_function.1,conv5_x.0.residual_function.2,0.5541556477546692,1.0903574228286743,0.4765625,1.250690221786499,3.3614296913146973,1.250690221786499,3.0156033039093018
conv5_x.0.residual_function.3,residual_terminal,False,True,2359296,512,conv5_x.0.residual_function.4,conv5_x.0.act,1.4914196729660034,4.216958045959473,0.982421875,4.96686315536499,15.86783218383789,4.96686315536499,3.0156033039093018
conv5_x.0.shortcut.0,shortcut,False,True,131072,512,conv5_x.0.shortcut.1,conv5_x.0.act,0.8066893815994263,3.1496737003326416,0.69921875,2.2465405464172363,11.598694801330566,2.2465405464172363,3.0156033039093018
conv5_x.1.residual_function.0,residual_preact,False,True,2359296,512,conv5_x.1.residual_function.1,conv5_x.1.residual_function.2,0.7740645408630371,1.6535847187042236,0.8125,2.1082515716552734,5.6143388748168945,2.1082515716552734,3.0156033039093018
conv5_x.1.residual_function.3,residual_terminal,False,True,2359296,512,conv5_x.1.residual_function.4,conv5_x.1.act,1.3299973011016846,4.042031764984131,0.978515625,4.321343421936035,15.168127059936523,4.321343421936035,3.0156033039093018
fc,classifier_head,True,False,5120,10,,,nan,nan,nan,1.0,1.0,1.0,1.0
