epoch,alpha,q_assignment,q_mean,q_mean_pre_norm,q_tilde_mean,q_std,q_min,q_max,q_os_mean,q_os_std,p_gt_tau,p_at_qmax,q_cap,mean_normalize_q,mne_grad_match_scale,mne_ref_grad_norm,reg_grad_norm,reg_coeff_grad_norm,ce_grad_norm,reg_ce_ratio,ann_train_acc,ann_test_acc,train_loss
0.0,0.0,risk,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.4004870085307704,0.0,0.0,1.0,,,39.009792418975174,0.019504896209487588,0.6444693839992708,0.03026504701968846,20.316,34.4,1032.2293560504913
1.0,0.0,risk,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.41402441339419627,0.0,0.0,1.0,,,34.086387111960626,0.017043193555980312,0.8663164983303163,0.019673172089909735,31.112,42.16,855.2913463115692
2.0,0.0,risk,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.4197378614369561,0.0,0.0,1.0,,,31.201579552794367,0.015600789776397185,0.7423468333362083,0.021015499865857983,37.252,50.18,767.9349830150604
3.0,0.0,risk,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.4544139069212062,0.0,0.0,1.0,,,30.056024278224292,0.015028012139112146,1.2380267771611966,0.012138681017523283,44.238,50.48,692.241627573967
4.0,0.0,risk,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.4658551903636864,0.0,0.0,1.0,,,29.485751121440956,0.014742875560720478,0.9692717538503585,0.015210260179516759,49.298,60.59,637.3602468967438
5.0,0.0,risk,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.4846142486233236,0.0,0.0,1.0,,,29.58238396710732,0.014791191983553659,1.1804609389191205,0.012530013908886382,52.636,56.07,601.4172888994217
6.0,0.0,risk,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.4988235418906297,0.0,0.0,1.0,,,30.004786777078817,0.015002393388539408,1.037103803384194,0.014465662298783209,55.32,64.55,575.1871576309204
7.0,0.0,risk,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.5332502254744624,0.0,0.0,1.0,,,30.752204288778625,0.015376102144389312,1.2195538680980087,0.012607972920761235,58.33,65.28,549.3468589782715
8.0,0.0,risk,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.5418025489963229,0.0,0.0,1.0,,,31.511742325737664,0.015755871162868834,1.2654125916808034,0.012451173053320783,60.906,72.08,526.5698411464691
9.0,0.0,risk,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.5417295524378871,0.0,0.0,1.0,,,32.18705008479358,0.016093525042396792,1.0908015620508258,0.01475385221500711,63.098,69.85,510.9748167991638
