name,role,is_head,matched,n_params,out_channels,bn_name,if_name,risk_mean,risk_max,p_gt_tau,q_mean,q_max,q_os_mean,q_mean_pre_norm
conv1.0,stem,False,True,1728,64,conv1.1,conv1.2,3.1840434074401855,6.92092752456665,0.953125,1.0,1.0,11.748819351196289,1.0
conv2_x.0.residual_function.0,residual_preact,False,True,36864,64,conv2_x.0.residual_function.1,conv2_x.0.residual_function.2,0.879655659198761,3.9057912826538086,0.609375,1.0,1.0,2.614224910736084,1.0
conv2_x.0.residual_function.3,residual_terminal,False,True,36864,64,conv2_x.0.residual_function.4,conv2_x.0.act,0.5151212215423584,1.273497223854065,0.21875,1.0,1.0,1.2674341201782227,1.0
conv2_x.1.residual_function.0,residual_preact,False,True,36864,64,conv2_x.1.residual_function.1,conv2_x.1.residual_function.2,0.4438095986843109,0.7258347868919373,0.0625,1.0,1.0,1.0238018035888672,1.0
conv2_x.1.residual_function.3,residual_terminal,False,True,36864,64,conv2_x.1.residual_function.4,conv2_x.1.act,1.036787748336792,6.901830196380615,0.5625,1.0,1.0,3.255492687225342,1.0
conv3_x.0.residual_function.0,residual_preact,False,True,73728,128,conv3_x.0.residual_function.1,conv3_x.0.residual_function.2,0.44026899337768555,0.9513919353485107,0.046875,1.0,1.0,1.0164499282836914,1.0
conv3_x.0.residual_function.3,residual_terminal,False,True,147456,128,conv3_x.0.residual_function.4,conv3_x.0.act,0.488541841506958,1.2388707399368286,0.2109375,1.0,1.0,1.1535685062408447,1.0
conv3_x.0.shortcut.0,shortcut,False,True,8192,128,conv3_x.0.shortcut.1,conv3_x.0.act,0.578018069267273,2.075197458267212,0.2890625,1.0,1.0,1.4956352710723877,1.0
conv3_x.1.residual_function.0,residual_preact,False,True,147456,128,conv3_x.1.residual_function.1,conv3_x.1.residual_function.2,0.43255797028541565,0.43255797028541565,0.0,1.0,1.0,1.0,1.0
conv3_x.1.residual_function.3,residual_terminal,False,True,147456,128,conv3_x.1.residual_function.4,conv3_x.1.act,0.5737004280090332,1.4111839532852173,0.4375,1.0,1.0,1.4371311664581299,1.0
conv4_x.0.residual_function.0,residual_preact,False,True,294912,256,conv4_x.0.residual_function.1,conv4_x.0.residual_function.2,0.43255797028541565,0.43255797028541565,0.0,1.0,1.0,1.0,1.0
conv4_x.0.residual_function.3,residual_terminal,False,True,589824,256,conv4_x.0.residual_function.4,conv4_x.0.act,0.43569716811180115,0.9063011407852173,0.0078125,1.0,1.0,1.007392168045044,1.0
conv4_x.0.shortcut.0,shortcut,False,True,32768,256,conv4_x.0.shortcut.1,conv4_x.0.act,0.43255797028541565,0.43255797028541565,0.0,1.0,1.0,1.0,1.0
conv4_x.1.residual_function.0,residual_preact,False,True,589824,256,conv4_x.1.residual_function.1,conv4_x.1.residual_function.2,0.43255797028541565,0.43255797028541565,0.0,1.0,1.0,1.0,1.0
conv4_x.1.residual_function.3,residual_terminal,False,True,589824,256,conv4_x.1.residual_function.4,conv4_x.1.act,1.117161512374878,4.846570014953613,0.7109375,1.0,1.0,3.542320728302002,1.0
conv5_x.0.residual_function.0,residual_preact,False,True,1179648,512,conv5_x.0.residual_function.1,conv5_x.0.residual_function.2,0.43255797028541565,0.43255797028541565,0.0,1.0,1.0,1.0,1.0
conv5_x.0.residual_function.3,residual_terminal,False,True,2359296,512,conv5_x.0.residual_function.4,conv5_x.0.act,0.9156619310379028,1.435200810432434,0.99609375,1.0,1.0,2.6632914543151855,1.0
conv5_x.0.shortcut.0,shortcut,False,True,131072,512,conv5_x.0.shortcut.1,conv5_x.0.act,0.4328418970108032,0.5342535376548767,0.001953125,1.0,1.0,1.0002676248550415,1.0
conv5_x.1.residual_function.0,residual_preact,False,True,2359296,512,conv5_x.1.residual_function.1,conv5_x.1.residual_function.2,0.43255797028541565,0.43255797028541565,0.0,1.0,1.0,1.0,1.0
conv5_x.1.residual_function.3,residual_terminal,False,True,2359296,512,conv5_x.1.residual_function.4,conv5_x.1.act,2.428471326828003,5.221394062042236,1.0,1.0,1.0,8.713885307312012,1.0
fc,classifier_head,True,False,51200,100,,,nan,nan,nan,1.0,1.0,1.0,1.0
