name,role,is_head,matched,n_params,out_channels,bn_name,if_name,risk_mean,risk_max,p_gt_tau,q_mean,q_max,q_os_mean,q_mean_pre_norm
conv1.0,stem,False,True,1728,64,conv1.1,conv1.2,3.2337465286254883,6.874907970428467,0.96875,1.0,1.0,11.94377613067627,3.1473703384399414
conv2_x.0.residual_function.0,residual_preact,False,True,36864,64,conv2_x.0.residual_function.1,conv2_x.0.residual_function.2,0.961591899394989,3.7750916481018066,0.734375,1.0,1.0,2.9088852405548096,3.1473703384399414
conv2_x.0.residual_function.3,residual_terminal,False,True,36864,64,conv2_x.0.residual_function.4,conv2_x.0.act,0.5350520610809326,2.1663966178894043,0.234375,1.0,1.0,1.3379101753234863,3.1473703384399414
conv2_x.1.residual_function.0,residual_preact,False,True,36864,64,conv2_x.1.residual_function.1,conv2_x.1.residual_function.2,0.43975234031677246,0.6810255646705627,0.0625,1.0,1.0,1.0192723274230957,3.1473703384399414
conv2_x.1.residual_function.3,residual_terminal,False,True,36864,64,conv2_x.1.residual_function.4,conv2_x.1.act,1.0313090085983276,6.874907970428467,0.53125,1.0,1.0,3.2459254264831543,3.1473703384399414
conv3_x.0.residual_function.0,residual_preact,False,True,73728,128,conv3_x.0.residual_function.1,conv3_x.0.residual_function.2,0.43836596608161926,1.2613952159881592,0.0234375,1.0,1.0,1.026620626449585,3.1473703384399414
conv3_x.0.residual_function.3,residual_terminal,False,True,147456,128,conv3_x.0.residual_function.4,conv3_x.0.act,0.492684543132782,1.3888083696365356,0.1953125,1.0,1.0,1.180788278579712,3.1473703384399414
conv3_x.0.shortcut.0,shortcut,False,True,8192,128,conv3_x.0.shortcut.1,conv3_x.0.act,0.5659644603729248,1.7563971281051636,0.28125,1.0,1.0,1.4618804454803467,3.1473703384399414
conv3_x.1.residual_function.0,residual_preact,False,True,147456,128,conv3_x.1.residual_function.1,conv3_x.1.residual_function.2,0.4296817481517792,0.4296817481517792,0.0,1.0,1.0,1.0,3.1473703384399414
conv3_x.1.residual_function.3,residual_terminal,False,True,147456,128,conv3_x.1.residual_function.4,conv3_x.1.act,0.5862751007080078,1.4695051908493042,0.4375,1.0,1.0,1.4936697483062744,3.1473703384399414
conv4_x.0.residual_function.0,residual_preact,False,True,294912,256,conv4_x.0.residual_function.1,conv4_x.0.residual_function.2,0.4296817481517792,0.4296817481517792,0.0,1.0,1.0,1.0,3.1473703384399414
conv4_x.0.residual_function.3,residual_terminal,False,True,589824,256,conv4_x.0.residual_function.4,conv4_x.0.act,0.42991310358047485,0.48755693435668945,0.0,1.0,1.0,1.0,3.1473703384399414
conv4_x.0.shortcut.0,shortcut,False,True,32768,256,conv4_x.0.shortcut.1,conv4_x.0.act,0.4296817481517792,0.4296817481517792,0.0,1.0,1.0,1.0,3.1473703384399414
conv4_x.1.residual_function.0,residual_preact,False,True,589824,256,conv4_x.1.residual_function.1,conv4_x.1.residual_function.2,0.4303029775619507,0.5887148976325989,0.00390625,1.0,1.0,1.0013861656188965,3.1473703384399414
conv4_x.1.residual_function.3,residual_terminal,False,True,589824,256,conv4_x.1.residual_function.4,conv4_x.1.act,1.0902678966522217,5.3895158767700195,0.6875,1.0,1.0,3.443864583969116,3.1473703384399414
conv5_x.0.residual_function.0,residual_preact,False,True,1179648,512,conv5_x.0.residual_function.1,conv5_x.0.residual_function.2,0.4296817481517792,0.4296817481517792,0.0,1.0,1.0,1.0,3.1473703384399414
conv5_x.0.residual_function.3,residual_terminal,False,True,2359296,512,conv5_x.0.residual_function.4,conv5_x.0.act,0.8934176564216614,1.3083856105804443,0.99609375,1.0,1.0,2.57411527633667,3.1473703384399414
conv5_x.0.shortcut.0,shortcut,False,True,131072,512,conv5_x.0.shortcut.1,conv5_x.0.act,0.43009188771247864,0.5495567321777344,0.001953125,1.0,1.0,1.000387191772461,3.1473703384399414
conv5_x.1.residual_function.0,residual_preact,False,True,2359296,512,conv5_x.1.residual_function.1,conv5_x.1.residual_function.2,0.4296817481517792,0.4296817481517792,0.0,1.0,1.0,1.0,3.1473703384399414
conv5_x.1.residual_function.3,residual_terminal,False,True,2359296,512,conv5_x.1.residual_function.4,conv5_x.1.act,2.4620728492736816,5.538459777832031,1.0,1.0,1.0,8.848291397094727,3.1473703384399414
fc,classifier_head,True,False,51200,100,,,nan,nan,nan,1.0,1.0,1.0,1.0
