name,role,is_head,matched,n_params,out_channels,bn_name,if_name,risk_mean,risk_max,p_gt_tau,q_mean,q_max,q_os_mean
conv1.0,stem,False,True,1728,64,conv1.1,conv1.2,5.891617298126221,7.845595836639404,0.90625,22.57008934020996,30.382383346557617,22.57008934020996
conv2_x.0.residual_function.0,residual_preact,False,True,36864,64,conv2_x.0.residual_function.1,conv2_x.0.residual_function.2,0.9387465715408325,2.8314261436462402,0.8125,2.7622241973876953,10.325704574584961,2.7622241973876953
conv2_x.0.residual_function.3,residual_terminal,False,False,36864,64,conv2_x.0.residual_function.4,,nan,nan,nan,1.0,1.0,1.0
conv2_x.1.residual_function.0,residual_preact,False,True,36864,64,conv2_x.1.residual_function.1,conv2_x.1.residual_function.2,0.5034782886505127,1.1223317384719849,0.078125,1.0494983196258545,3.4893269538879395,1.0494983196258545
conv2_x.1.residual_function.3,residual_terminal,False,False,36864,64,conv2_x.1.residual_function.4,,nan,nan,nan,1.0,1.0,1.0
conv3_x.0.residual_function.0,residual_preact,False,True,73728,128,conv3_x.0.residual_function.1,conv3_x.0.residual_function.2,0.5049947500228882,0.7410671710968018,0.1328125,1.0534534454345703,1.964268684387207,1.0534534454345703
conv3_x.0.residual_function.3,residual_terminal,False,False,147456,128,conv3_x.0.residual_function.4,,nan,nan,nan,1.0,1.0,1.0
conv3_x.0.shortcut.0,shortcut,False,False,8192,128,conv3_x.0.shortcut.1,,nan,nan,nan,1.0,1.0,1.0
conv3_x.1.residual_function.0,residual_preact,False,True,147456,128,conv3_x.1.residual_function.1,conv3_x.1.residual_function.2,0.491935670375824,0.595620334148407,0.015625,1.0057405233383179,1.382481336593628,1.0057405233383179
conv3_x.1.residual_function.3,residual_terminal,False,False,147456,128,conv3_x.1.residual_function.4,,nan,nan,nan,1.0,1.0,1.0
conv4_x.0.residual_function.0,residual_preact,False,True,294912,256,conv4_x.0.residual_function.1,conv4_x.0.residual_function.2,0.4973032474517822,0.7205199003219604,0.0859375,1.0243792533874512,1.8820796012878418,1.0243792533874512
conv4_x.0.residual_function.3,residual_terminal,False,False,589824,256,conv4_x.0.residual_function.4,,nan,nan,nan,1.0,1.0,1.0
conv4_x.0.shortcut.0,shortcut,False,False,32768,256,conv4_x.0.shortcut.1,,nan,nan,nan,1.0,1.0,1.0
conv4_x.1.residual_function.0,residual_preact,False,True,589824,256,conv4_x.1.residual_function.1,conv4_x.1.residual_function.2,0.72688227891922,1.6395149230957031,0.8671875,1.9123717546463013,5.5580596923828125,1.9123717546463013
conv4_x.1.residual_function.3,residual_terminal,False,False,589824,256,conv4_x.1.residual_function.4,,nan,nan,nan,1.0,1.0,1.0
conv5_x.0.residual_function.0,residual_preact,False,True,1179648,512,conv5_x.0.residual_function.1,conv5_x.0.residual_function.2,0.9745454788208008,2.022141695022583,0.92578125,2.900883197784424,7.088566780090332,2.900883197784424
conv5_x.0.residual_function.3,residual_terminal,False,False,2359296,512,conv5_x.0.residual_function.4,,nan,nan,nan,1.0,1.0,1.0
conv5_x.0.shortcut.0,shortcut,False,False,131072,512,conv5_x.0.shortcut.1,,nan,nan,nan,1.0,1.0,1.0
conv5_x.1.residual_function.0,residual_preact,False,True,2359296,512,conv5_x.1.residual_function.1,conv5_x.1.residual_function.2,1.1961991786956787,2.4569852352142334,0.951171875,3.786593437194824,8.827940940856934,3.786593437194824
conv5_x.1.residual_function.3,residual_terminal,False,False,2359296,512,conv5_x.1.residual_function.4,,nan,nan,nan,1.0,1.0,1.0
fc,classifier_head,True,False,5120,10,,,nan,nan,nan,1.0,1.0,1.0
