name,role,is_head,matched,n_params,out_channels,bn_name,if_name,risk_mean,risk_max,p_gt_tau,q_mean,q_max,q_os_mean
conv1.0,stem,False,True,1728,64,conv1.1,conv1.2,5.677123069763184,7.751562118530273,0.953125,21.711402893066406,30.006248474121094,21.711402893066406
conv2_x.0.residual_function.0,residual_preact,False,True,36864,64,conv2_x.0.residual_function.1,conv2_x.0.residual_function.2,0.8425683975219727,2.9889886379241943,0.71875,2.3868584632873535,10.955954551696777,2.3868584632873535
conv2_x.0.residual_function.3,residual_terminal,False,True,36864,64,conv2_x.0.residual_function.4,conv2_x.0.act,0.5294346213340759,1.4319154024124146,0.25,1.164320707321167,4.727661609649658,1.164320707321167
conv2_x.1.residual_function.0,residual_preact,False,True,36864,64,conv2_x.1.residual_function.1,conv2_x.1.residual_function.2,0.4861418604850769,0.5621199011802673,0.03125,1.0047359466552734,1.2484796047210693,1.0047359466552734
conv2_x.1.residual_function.3,residual_terminal,False,True,36864,64,conv2_x.1.residual_function.4,conv2_x.1.act,0.9248630404472351,4.215538024902344,0.640625,2.7214651107788086,15.862152099609375,2.7214651107788086
conv3_x.0.residual_function.0,residual_preact,False,True,73728,128,conv3_x.0.residual_function.1,conv3_x.0.residual_function.2,0.4844726324081421,0.4844726324081421,0.0,1.0,1.0,1.0
conv3_x.0.residual_function.3,residual_terminal,False,True,147456,128,conv3_x.0.residual_function.4,conv3_x.0.act,0.4929482638835907,0.6903693079948425,0.09375,1.0279704332351685,1.7614772319793701,1.0279704332351685
conv3_x.0.shortcut.0,shortcut,False,True,8192,128,conv3_x.0.shortcut.1,conv3_x.0.act,0.48865941166877747,0.6324130296707153,0.0546875,1.013350486755371,1.5296521186828613,1.013350486755371
conv3_x.1.residual_function.0,residual_preact,False,True,147456,128,conv3_x.1.residual_function.1,conv3_x.1.residual_function.2,0.4844726324081421,0.4844726324081421,0.0,1.0,1.0,1.0
conv3_x.1.residual_function.3,residual_terminal,False,True,147456,128,conv3_x.1.residual_function.4,conv3_x.1.act,0.6643555164337158,2.0267364978790283,0.6171875,1.6804358959197998,7.106945991516113,1.6804358959197998
conv4_x.0.residual_function.0,residual_preact,False,True,294912,256,conv4_x.0.residual_function.1,conv4_x.0.residual_function.2,0.4844726324081421,0.4844726324081421,0.0,1.0,1.0,1.0
conv4_x.0.residual_function.3,residual_terminal,False,True,589824,256,conv4_x.0.residual_function.4,conv4_x.0.act,0.6190652847290039,1.2214844226837158,0.58203125,1.5013149976730347,3.8859376907348633,1.5013149976730347
conv4_x.0.shortcut.0,shortcut,False,True,32768,256,conv4_x.0.shortcut.1,conv4_x.0.act,0.49215012788772583,0.9453127384185791,0.05859375,1.0269179344177246,2.7812509536743164,1.0269179344177246
conv4_x.1.residual_function.0,residual_preact,False,True,589824,256,conv4_x.1.residual_function.1,conv4_x.1.residual_function.2,0.5105955600738525,0.7782541513442993,0.25,1.0872355699539185,2.1130166053771973,1.0872355699539185
conv4_x.1.residual_function.3,residual_terminal,False,True,589824,256,conv4_x.1.residual_function.4,conv4_x.1.act,1.368666410446167,3.6740753650665283,0.9765625,4.47612190246582,13.696301460266113,4.47612190246582
conv5_x.0.residual_function.0,residual_preact,False,True,1179648,512,conv5_x.0.residual_function.1,conv5_x.0.residual_function.2,0.6787025928497314,1.4605165719985962,0.677734375,1.7340764999389648,4.842066287994385,1.7340764999389648
conv5_x.0.residual_function.3,residual_terminal,False,True,2359296,512,conv5_x.0.residual_function.4,conv5_x.0.act,1.4463579654693604,3.4459452629089355,0.966796875,4.787402629852295,12.783781051635742,4.787402629852295
conv5_x.0.shortcut.0,shortcut,False,True,131072,512,conv5_x.0.shortcut.1,conv5_x.0.act,0.7820777297019958,2.317643642425537,0.732421875,2.144354820251465,8.270574569702148,2.144354820251465
conv5_x.1.residual_function.0,residual_preact,False,True,2359296,512,conv5_x.1.residual_function.1,conv5_x.1.residual_function.2,0.6735159158706665,1.4046869277954102,0.740234375,1.709529161453247,4.618747711181641,1.709529161453247
conv5_x.1.residual_function.3,residual_terminal,False,True,2359296,512,conv5_x.1.residual_function.4,conv5_x.1.act,1.368159294128418,4.519528388977051,0.98046875,4.473647594451904,17.078113555908203,4.473647594451904
fc,classifier_head,True,False,5120,10,,,nan,nan,nan,1.0,1.0,1.0
