name,role,is_head,matched,n_params,out_channels,bn_name,if_name,risk_mean,risk_max,p_gt_tau,q_mean,q_max,q_os_mean
conv1.0,stem,False,True,1728,64,conv1.1,conv1.2,7.104432106018066,12.207508087158203,1.0,27.417728424072266,47.83003234863281,27.417728424072266
conv2_x.0.residual_function.0,residual_preact,False,True,36864,64,conv2_x.0.residual_function.1,conv2_x.0.residual_function.2,2.813227415084839,12.207508087158203,1.0,10.252909660339355,47.83003234863281,10.252909660339355
conv2_x.0.residual_function.3,residual_terminal,False,False,36864,64,conv2_x.0.residual_function.4,,nan,nan,nan,1.0,1.0,1.0
conv2_x.1.residual_function.0,residual_preact,False,True,36864,64,conv2_x.1.residual_function.1,conv2_x.1.residual_function.2,0.7684476375579834,0.9670907258987427,1.0,2.0737905502319336,2.8683629035949707,2.0737905502319336
conv2_x.1.residual_function.3,residual_terminal,False,False,36864,64,conv2_x.1.residual_function.4,,nan,nan,nan,1.0,1.0,1.0
conv3_x.0.residual_function.0,residual_preact,False,True,73728,128,conv3_x.0.residual_function.1,conv3_x.0.residual_function.2,0.7752922177314758,2.25520396232605,1.0,2.1011688709259033,8.0208158493042,2.1011688709259033
conv3_x.0.residual_function.3,residual_terminal,False,False,147456,128,conv3_x.0.residual_function.4,,nan,nan,nan,1.0,1.0,1.0
conv3_x.0.shortcut.0,shortcut,False,False,8192,128,conv3_x.0.shortcut.1,,nan,nan,nan,1.0,1.0,1.0
conv3_x.1.residual_function.0,residual_preact,False,True,147456,128,conv3_x.1.residual_function.1,conv3_x.1.residual_function.2,0.7629692554473877,0.7629692554473877,1.0,2.051877021789551,2.051877021789551,2.051877021789551
conv3_x.1.residual_function.3,residual_terminal,False,False,147456,128,conv3_x.1.residual_function.4,,nan,nan,nan,1.0,1.0,1.0
conv4_x.0.residual_function.0,residual_preact,False,True,294912,256,conv4_x.0.residual_function.1,conv4_x.0.residual_function.2,0.7629692554473877,0.7629692554473877,1.0,2.051877021789551,2.051877021789551,2.051877021789551
conv4_x.0.residual_function.3,residual_terminal,False,False,589824,256,conv4_x.0.residual_function.4,,nan,nan,nan,1.0,1.0,1.0
conv4_x.0.shortcut.0,shortcut,False,False,32768,256,conv4_x.0.shortcut.1,,nan,nan,nan,1.0,1.0,1.0
conv4_x.1.residual_function.0,residual_preact,False,True,589824,256,conv4_x.1.residual_function.1,conv4_x.1.residual_function.2,0.7629692554473877,0.7629692554473877,1.0,2.051877021789551,2.051877021789551,2.051877021789551
conv4_x.1.residual_function.3,residual_terminal,False,False,589824,256,conv4_x.1.residual_function.4,,nan,nan,nan,1.0,1.0,1.0
conv5_x.0.residual_function.0,residual_preact,False,True,1179648,512,conv5_x.0.residual_function.1,conv5_x.0.residual_function.2,1.6371378898620605,12.207508087158203,1.0,5.548551559448242,47.83003234863281,5.548551559448242
conv5_x.0.residual_function.3,residual_terminal,False,False,2359296,512,conv5_x.0.residual_function.4,,nan,nan,nan,1.0,1.0,1.0
conv5_x.0.shortcut.0,shortcut,False,False,131072,512,conv5_x.0.shortcut.1,,nan,nan,nan,1.0,1.0,1.0
conv5_x.1.residual_function.0,residual_preact,False,True,2359296,512,conv5_x.1.residual_function.1,conv5_x.1.residual_function.2,0.7629692554473877,0.7629692554473877,1.0,2.051877021789551,2.051877021789551,2.051877021789551
conv5_x.1.residual_function.3,residual_terminal,False,False,2359296,512,conv5_x.1.residual_function.4,,nan,nan,nan,1.0,1.0,1.0
fc,classifier_head,True,False,5120,10,,,nan,nan,nan,1.0,1.0,1.0
