name,role,is_head,matched,n_params,out_channels,bn_name,if_name,risk_mean,risk_max,p_gt_tau,q_mean,q_max,q_os_mean
conv1.0,stem,False,True,1728,64,conv1.1,conv1.2,4.9301252365112305,11.8256196975708,1.0,18.720500946044922,46.3024787902832,18.720500946044922
conv2_x.0.residual_function.0,residual_preact,False,True,36864,64,conv2_x.0.residual_function.1,conv2_x.0.residual_function.2,1.0855549573898315,11.8256196975708,1.0,3.342219829559326,46.3024787902832,3.342219829559326
conv2_x.0.residual_function.3,residual_terminal,False,True,36864,64,conv2_x.0.residual_function.4,conv2_x.0.act,0.9123281240463257,11.8256196975708,1.0,2.6493124961853027,46.3024787902832,2.6493124961853027
conv2_x.1.residual_function.0,residual_preact,False,True,36864,64,conv2_x.1.residual_function.1,conv2_x.1.residual_function.2,0.739101231098175,0.739101231098175,1.0,1.9564049243927002,1.9564049243927002,1.9564049243927002
conv2_x.1.residual_function.3,residual_terminal,False,True,36864,64,conv2_x.1.residual_function.4,conv2_x.1.act,1.4823615550994873,11.8256196975708,1.0,4.929446220397949,46.3024787902832,4.929446220397949
conv3_x.0.residual_function.0,residual_preact,False,True,73728,128,conv3_x.0.residual_function.1,conv3_x.0.residual_function.2,0.739101231098175,0.739101231098175,1.0,1.9564049243927002,1.9564049243927002,1.9564049243927002
conv3_x.0.residual_function.3,residual_terminal,False,True,147456,128,conv3_x.0.residual_function.4,conv3_x.0.act,2.471369743347168,11.8256196975708,1.0,8.885478973388672,46.3024787902832,8.885478973388672
conv3_x.0.shortcut.0,shortcut,False,True,8192,128,conv3_x.0.shortcut.1,conv3_x.0.act,2.477465867996216,11.8256196975708,1.0,8.909863471984863,46.3024787902832,8.909863471984863
conv3_x.1.residual_function.0,residual_preact,False,True,147456,128,conv3_x.1.residual_function.1,conv3_x.1.residual_function.2,0.739101231098175,0.739101231098175,1.0,1.9564049243927002,1.9564049243927002,1.9564049243927002
conv3_x.1.residual_function.3,residual_terminal,False,True,147456,128,conv3_x.1.residual_function.4,conv3_x.1.act,2.5361461639404297,11.8256196975708,1.0,9.144584655761719,46.3024787902832,9.144584655761719
conv4_x.0.residual_function.0,residual_preact,False,True,294912,256,conv4_x.0.residual_function.1,conv4_x.0.residual_function.2,0.739101231098175,0.739101231098175,1.0,1.9564049243927002,1.9564049243927002,1.9564049243927002
conv4_x.0.residual_function.3,residual_terminal,False,True,589824,256,conv4_x.0.residual_function.4,conv4_x.0.act,0.739101231098175,0.739101231098175,1.0,1.9564049243927002,1.9564049243927002,1.9564049243927002
conv4_x.0.shortcut.0,shortcut,False,True,32768,256,conv4_x.0.shortcut.1,conv4_x.0.act,0.739101231098175,0.739101231098175,1.0,1.9564049243927002,1.9564049243927002,1.9564049243927002
conv4_x.1.residual_function.0,residual_preact,False,True,589824,256,conv4_x.1.residual_function.1,conv4_x.1.residual_function.2,0.739101231098175,0.739101231098175,1.0,1.9564049243927002,1.9564049243927002,1.9564049243927002
conv4_x.1.residual_function.3,residual_terminal,False,True,589824,256,conv4_x.1.residual_function.4,conv4_x.1.act,2.5449321269989014,11.8256196975708,1.0,9.179727554321289,46.3024787902832,9.179727554321289
conv5_x.0.residual_function.0,residual_preact,False,True,1179648,512,conv5_x.0.residual_function.1,conv5_x.0.residual_function.2,0.739101231098175,0.739101231098175,1.0,1.9564049243927002,1.9564049243927002,1.9564049243927002
conv5_x.0.residual_function.3,residual_terminal,False,True,2359296,512,conv5_x.0.residual_function.4,conv5_x.0.act,0.8548926115036011,11.8256196975708,1.0,2.4195704460144043,46.3024787902832,2.4195704460144043
conv5_x.0.shortcut.0,shortcut,False,True,131072,512,conv5_x.0.shortcut.1,conv5_x.0.act,1.9979004859924316,11.8256196975708,1.0,6.991601943969727,46.3024787902832,6.991601943969727
conv5_x.1.residual_function.0,residual_preact,False,True,2359296,512,conv5_x.1.residual_function.1,conv5_x.1.residual_function.2,0.739101231098175,0.739101231098175,1.0,1.9564049243927002,1.9564049243927002,1.9564049243927002
conv5_x.1.residual_function.3,residual_terminal,False,True,2359296,512,conv5_x.1.residual_function.4,conv5_x.1.act,1.0865230560302734,11.8256196975708,1.0,3.3460922241210938,46.3024787902832,3.3460922241210938
fc,classifier_head,True,False,5120,10,,,nan,nan,nan,1.0,1.0,1.0
