name,role,is_head,matched,n_params,out_channels,bn_name,if_name,risk_mean,risk_max,p_gt_tau,q_mean,q_max,q_os_mean
conv1.0,stem,False,True,1728,64,conv1.1,conv1.2,3.2957847118377686,7.196834087371826,0.984375,1.0,1.0,12.186275482177734
conv2_x.0.residual_function.0,residual_preact,False,True,36864,64,conv2_x.0.residual_function.1,conv2_x.0.residual_function.2,0.878217339515686,7.1915998458862305,0.609375,1.0,1.0,2.591303586959839
conv2_x.0.residual_function.3,residual_terminal,False,True,36864,64,conv2_x.0.residual_function.4,conv2_x.0.act,0.5843252539634705,3.1204566955566406,0.296875,1.0,1.0,1.473811149597168
conv2_x.1.residual_function.0,residual_preact,False,True,36864,64,conv2_x.1.residual_function.1,conv2_x.1.residual_function.2,0.4620441794395447,0.7434479594230652,0.046875,1.0,1.0,1.038832426071167
conv2_x.1.residual_function.3,residual_terminal,False,True,36864,64,conv2_x.1.residual_function.4,conv2_x.1.act,1.078751802444458,6.418089866638184,0.625,1.0,1.0,3.3878977298736572
conv3_x.0.residual_function.0,residual_preact,False,True,73728,128,conv3_x.0.residual_function.1,conv3_x.0.residual_function.2,0.451504647731781,0.5185832977294922,0.015625,1.0,1.0,1.0008714199066162
conv3_x.0.residual_function.3,residual_terminal,False,True,147456,128,conv3_x.0.residual_function.4,conv3_x.0.act,0.45866721868515015,0.922793447971344,0.0390625,1.0,1.0,1.027197003364563
conv3_x.0.shortcut.0,shortcut,False,True,8192,128,conv3_x.0.shortcut.1,conv3_x.0.act,0.5392319560050964,1.4509631395339966,0.21875,1.0,1.0,1.3110382556915283
conv3_x.1.residual_function.0,residual_preact,False,True,147456,128,conv3_x.1.residual_function.1,conv3_x.1.residual_function.2,0.44980213046073914,0.44980213046073914,0.0,1.0,1.0,1.0
conv3_x.1.residual_function.3,residual_terminal,False,True,147456,128,conv3_x.1.residual_function.4,conv3_x.1.act,0.61721271276474,1.7228015661239624,0.453125,1.0,1.0,1.5726710557937622
conv4_x.0.residual_function.0,residual_preact,False,True,294912,256,conv4_x.0.residual_function.1,conv4_x.0.residual_function.2,0.44980213046073914,0.44980213046073914,0.0,1.0,1.0,1.0
conv4_x.0.residual_function.3,residual_terminal,False,True,589824,256,conv4_x.0.residual_function.4,conv4_x.0.act,0.45139336585998535,0.6136534810066223,0.01171875,1.0,1.0,1.0036437511444092
conv4_x.0.shortcut.0,shortcut,False,True,32768,256,conv4_x.0.shortcut.1,conv4_x.0.act,0.44989699125289917,0.47408923506736755,0.0,1.0,1.0,1.0
conv4_x.1.residual_function.0,residual_preact,False,True,589824,256,conv4_x.1.residual_function.1,conv4_x.1.residual_function.2,0.44980213046073914,0.44980213046073914,0.0,1.0,1.0,1.0
conv4_x.1.residual_function.3,residual_terminal,False,True,589824,256,conv4_x.1.residual_function.4,conv4_x.1.act,1.03969407081604,3.1931793689727783,0.66796875,1.0,1.0,3.2224035263061523
conv5_x.0.residual_function.0,residual_preact,False,True,1179648,512,conv5_x.0.residual_function.1,conv5_x.0.residual_function.2,0.44980213046073914,0.44980213046073914,0.0,1.0,1.0,1.0
conv5_x.0.residual_function.3,residual_terminal,False,True,2359296,512,conv5_x.0.residual_function.4,conv5_x.0.act,0.8578511476516724,1.3034173250198364,0.998046875,1.0,1.0,2.4314286708831787
conv5_x.0.shortcut.0,shortcut,False,True,131072,512,conv5_x.0.shortcut.1,conv5_x.0.act,0.4499017298221588,0.48011013865470886,0.0,1.0,1.0,1.0
conv5_x.1.residual_function.0,residual_preact,False,True,2359296,512,conv5_x.1.residual_function.1,conv5_x.1.residual_function.2,0.44980213046073914,0.44980213046073914,0.0,1.0,1.0,1.0
conv5_x.1.residual_function.3,residual_terminal,False,True,2359296,512,conv5_x.1.residual_function.4,conv5_x.1.act,2.4639761447906494,6.511872291564941,1.0,1.0,1.0,8.855904579162598
fc,classifier_head,True,False,51200,100,,,nan,nan,nan,1.0,1.0,1.0
