epoch,alpha,q_assignment,q_mean,q_std,q_min,q_max,q_os_mean,q_os_std,p_gt_tau,p_at_qmax,q_cap,reg_grad_norm,reg_coeff_grad_norm,ce_grad_norm,reg_ce_ratio,ann_train_acc,ann_test_acc,train_loss
0.0,0.25,risk,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.7613783440288182,0.00017613783440288184,0.6717091676361104,0.000262223359289183,4.692,9.24,1701.3282055854797
1.0,0.25,risk,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.6642731639170882,0.00016642731639170884,0.9264140472822926,0.00017964679710971165,8.672,14.04,1570.964066028595
2.0,0.25,risk,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.7193525460065708,0.00017193525460065708,1.1759494705127214,0.00014620973001985556,12.354,20.08,1472.4893991947174
3.0,0.25,risk,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.9135440248276447,0.00019135440248276448,1.3400221478160945,0.00014279943267700833,17.368,27.72,1352.451637506485
4.0,0.25,risk,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,2.1249972988615067,0.00021249972988615068,1.2958238828640019,0.00016398812577561727,22.642,33.6,1236.550330877304
5.0,0.25,risk,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,2.3733086226037514,0.00023733086226037514,1.3447041024742576,0.00017649300081979817,27.48,38.13,1139.0953710079193
6.0,0.25,risk,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,2.9223334633589513,0.00029223334633589516,1.6535460806629467,0.00017673129872421318,30.698,43.32,1068.3375203609467
7.0,0.25,risk,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,3.3601288171935995,0.00033601288171935997,1.579900824091733,0.0002126797306486184,34.458,45.22,1001.1406800746918
8.0,0.25,risk,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,4.407429757987469,0.0004407429757987469,1.4337528103361037,0.00030740513470758386,37.586,48.16,940.6268389225006
9.0,0.25,risk,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,5.587777614575744,0.0005587777614575744,1.3256733011354571,0.000421504876789005,40.422,49.61,895.5269556045532
10.0,0.25,risk,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,6.2721030463774925,0.0006272103046377493,1.332615439486965,0.00047066114203150384,42.406,51.6,855.3178189992905
11.0,0.25,risk,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,7.879190937030461,0.0007879190937030461,1.2940217784801562,0.0006088916792640587,44.552,52.49,818.689877986908
12.0,0.25,risk,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,8.204494605318704,0.0008204494605318705,1.3062569066419643,0.0006280919598281977,46.624,56.13,786.2979172468185
13.0,0.25,risk,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,9.13091676249039,0.0009130916762490391,1.4230769987948728,0.0006416319545760962,48.044,56.77,762.3738050460815
14.0,0.25,risk,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,10.385218938764341,0.0010385218938764342,1.279877927998119,0.0008114226139525711,49.492,58.22,735.8050659894943
15.0,0.25,risk,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,9.705616211315983,0.0009705616211315983,1.4322217607338705,0.0006776615519612566,51.134,60.74,710.5173908472061
