name,role,is_head,matched,n_params,out_channels,bn_name,if_name,risk_mean,risk_max,p_gt_tau,q_mean,q_max,q_os_mean
conv1.0,stem,False,True,1728,64,conv1.1,conv1.2,3.824154853820801,8.29333209991455,1.0,2.9999992847442627,2.9999992847442627,14.296618461608887
conv2_x.0.residual_function.0,residual_preact,False,True,36864,64,conv2_x.0.residual_function.1,conv2_x.0.residual_function.2,1.0075353384017944,3.551323652267456,1.0,2.9999992847442627,2.9999992847442627,3.0301413536071777
conv2_x.0.residual_function.3,residual_terminal,False,True,36864,64,conv2_x.0.residual_function.4,conv2_x.0.act,0.7191355228424072,8.29333209991455,1.0,2.9999992847442627,2.9999992847442627,1.876542091369629
conv2_x.1.residual_function.0,residual_preact,False,True,36864,64,conv2_x.1.residual_function.1,conv2_x.1.residual_function.2,0.555415153503418,1.259541630744934,1.0,2.9999992847442627,2.9999992847442627,1.2216606140136719
conv2_x.1.residual_function.3,residual_terminal,False,True,36864,64,conv2_x.1.residual_function.4,conv2_x.1.act,1.3152329921722412,8.29333209991455,1.0,2.9999992847442627,2.9999992847442627,4.260931968688965
conv3_x.0.residual_function.0,residual_preact,False,True,73728,128,conv3_x.0.residual_function.1,conv3_x.0.residual_function.2,0.5486600399017334,1.1272052526474,1.0,2.9999992847442627,2.9999992847442627,1.1946401596069336
conv3_x.0.residual_function.3,residual_terminal,False,True,147456,128,conv3_x.0.residual_function.4,conv3_x.0.act,0.8109598159790039,8.29333209991455,1.0,2.9999992847442627,2.9999992847442627,2.2438392639160156
conv3_x.0.shortcut.0,shortcut,False,True,8192,128,conv3_x.0.shortcut.1,conv3_x.0.act,0.8952105641365051,8.29333209991455,1.0,2.9999992847442627,2.9999992847442627,2.5808422565460205
conv3_x.1.residual_function.0,residual_preact,False,True,147456,128,conv3_x.1.residual_function.1,conv3_x.1.residual_function.2,0.5183332562446594,0.5183332562446594,1.0,2.9999992847442627,2.9999992847442627,1.0733330249786377
conv3_x.1.residual_function.3,residual_terminal,False,True,147456,128,conv3_x.1.residual_function.4,conv3_x.1.act,1.0150572061538696,3.120208263397217,1.0,2.9999992847442627,2.9999992847442627,3.0602288246154785
conv4_x.0.residual_function.0,residual_preact,False,True,294912,256,conv4_x.0.residual_function.1,conv4_x.0.residual_function.2,0.5183332562446594,0.5183332562446594,1.0,2.9999992847442627,2.9999992847442627,1.0733330249786377
conv4_x.0.residual_function.3,residual_terminal,False,True,589824,256,conv4_x.0.residual_function.4,conv4_x.0.act,0.5550729036331177,0.8885103464126587,1.0,2.9999992847442627,2.9999992847442627,1.2202916145324707
conv4_x.0.shortcut.0,shortcut,False,True,32768,256,conv4_x.0.shortcut.1,conv4_x.0.act,0.5189976096153259,0.6263582110404968,1.0,2.9999992847442627,2.9999992847442627,1.0759904384613037
conv4_x.1.residual_function.0,residual_preact,False,True,589824,256,conv4_x.1.residual_function.1,conv4_x.1.residual_function.2,0.5190497636795044,0.7017733454704285,1.0,2.9999992847442627,2.9999992847442627,1.0761992931365967
conv4_x.1.residual_function.3,residual_terminal,False,True,589824,256,conv4_x.1.residual_function.4,conv4_x.1.act,2.3102097511291504,8.29333209991455,1.0,2.9999992847442627,2.9999992847442627,8.240839004516602
conv5_x.0.residual_function.0,residual_preact,False,True,1179648,512,conv5_x.0.residual_function.1,conv5_x.0.residual_function.2,0.5183332562446594,0.5183332562446594,1.0,2.9999992847442627,2.9999992847442627,1.0733330249786377
conv5_x.0.residual_function.3,residual_terminal,False,True,2359296,512,conv5_x.0.residual_function.4,conv5_x.0.act,1.3755860328674316,2.105426549911499,1.0,2.9999992847442627,2.9999992847442627,4.502344131469727
conv5_x.0.shortcut.0,shortcut,False,True,131072,512,conv5_x.0.shortcut.1,conv5_x.0.act,0.5202990770339966,0.7031711339950562,1.0,2.9999992847442627,2.9999992847442627,1.0811963081359863
conv5_x.1.residual_function.0,residual_preact,False,True,2359296,512,conv5_x.1.residual_function.1,conv5_x.1.residual_function.2,0.5335187911987305,8.29333209991455,1.0,2.9999992847442627,2.9999992847442627,1.1340751647949219
conv5_x.1.residual_function.3,residual_terminal,False,True,2359296,512,conv5_x.1.residual_function.4,conv5_x.1.act,1.3888537883758545,4.011384010314941,1.0,2.9999992847442627,2.9999992847442627,4.555415153503418
fc,classifier_head,True,False,51200,100,,,nan,nan,nan,1.0,1.0,1.0
