epoch,alpha,q_assignment,q_mean,q_mean_pre_norm,q_tilde_mean,q_std,q_min,q_max,q_os_mean,q_os_std,p_gt_tau,p_at_qmax,q_cap,mean_normalize_q,ga_mode,ga_kappa_res_mean,ga_kappa_sc_mean,ga_frac_phi_neg_res,ga_cov_mean,risk_source,gm_p_mean,gm_d_mean,gm_m_mean,gm_r_mean,mne_grad_match_scale,mne_ref_grad_norm,reg_grad_norm,reg_coeff_grad_norm,ce_grad_norm,reg_ce_ratio,ann_train_acc,ann_test_acc,train_loss
0.0,4.0,uniform,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.46773658285055625,0.0,0.0,0.0,off,1.0,1.0,0.0,0.0,bn,1.0,1.0,1.0,1.0,,,2.712269964000678,0.0002712269964000678,0.48212219029796116,0.000562568995698879,18.86,32.21,901.0141613483429
1.0,4.0,uniform,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.4665057647716054,0.0,0.0,0.0,off,1.0,1.0,0.0,0.0,bn,1.0,1.0,1.0,1.0,,,2.780546230577503,0.0002780546230577503,0.6211414830260134,0.000447651027432836,28.074,42.29,759.6865022182465
2.0,4.0,uniform,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.5117156996446497,0.0,0.0,0.0,off,1.0,1.0,0.0,0.0,bn,1.0,1.0,1.0,1.0,,,2.9008805641435407,0.00029008805641435407,0.6128066271449888,0.00047337617376275507,34.762,49.37,696.6292666196823
3.0,4.0,uniform,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.5484436410467338,0.0,0.0,0.0,off,1.0,1.0,0.0,0.0,bn,1.0,1.0,1.0,1.0,,,3.0623094976302117,0.00030623094976302116,0.842987147384415,0.0003632688241015081,41.322,51.54,632.3640087842941
4.0,4.0,uniform,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.5798854576352307,0.0,0.0,0.0,off,1.0,1.0,0.0,0.0,bn,1.0,1.0,1.0,1.0,,,3.24344930224353,0.000324344930224353,0.9665350590760095,0.00033557492527422757,47.224,47.61,569.3787350654602
5.0,4.0,uniform,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.6073550874619837,0.0,0.0,0.0,off,1.0,1.0,0.0,0.0,bn,1.0,1.0,1.0,1.0,,,3.4226295856324462,0.00034226295856324465,0.8741162560968783,0.00039155313286532865,52.774,61.28,517.1683748960495
6.0,4.0,uniform,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.6251481401036157,0.0,0.0,0.0,off,1.0,1.0,0.0,0.0,bn,1.0,1.0,1.0,1.0,,,3.5873296773665984,0.00035873296773665986,0.8569851903845833,0.0004185987946602365,56.36,68.32,481.65496748685837
7.0,4.0,uniform,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.6355530854381258,0.0,0.0,0.0,off,1.0,1.0,0.0,0.0,bn,1.0,1.0,1.0,1.0,,,3.7383248895631134,0.00037383248895631136,0.8337231144621112,0.0004483892583420755,59.646,72.68,447.4480928182602
8.0,4.0,uniform,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.6435145080242011,0.0,0.0,0.0,off,1.0,1.0,0.0,0.0,bn,1.0,1.0,1.0,1.0,,,3.8848553172977516,0.00038848553172977517,0.8459240435648986,0.00045924398849406966,62.302,71.81,419.91376370191574
9.0,4.0,uniform,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.6482001419567391,0.0,0.0,0.0,off,1.0,1.0,0.0,0.0,bn,1.0,1.0,1.0,1.0,,,4.019976275232277,0.0004019976275232277,0.9325685239214428,0.0004310649750785401,65.188,73.97,391.4889944791794
