name,n_out,r_mean,q_mean,reg_contrib
conv1.0,64,7.068300247192383,1.0,8.947437286376953
conv2_x.0.residual_function.0,64,1.8320082426071167,1.0,6.148478031158447
conv2_x.0.residual_function.3,64,1.7307140827178955,1.0,6.629525184631348
conv2_x.1.residual_function.0,64,0.7404236197471619,1.0,4.464387893676758
conv2_x.1.residual_function.3,64,4.884937286376953,1.0,4.072998046875
conv3_x.0.residual_function.0,128,0.8129540681838989,1.0,6.177966117858887
conv3_x.0.residual_function.3,128,1.087277889251709,1.0,9.0357666015625
conv3_x.0.shortcut.0,128,1.0188066959381104,1.0,2.178433418273926
conv3_x.1.residual_function.0,128,0.7033190727233887,1.0,9.221182823181152
conv3_x.1.residual_function.3,128,1.660656213760376,1.0,7.358419418334961
conv4_x.0.residual_function.0,256,0.5878340005874634,1.0,6.388737678527832
conv4_x.0.residual_function.3,256,1.754194736480713,1.0,9.783317565917969
conv4_x.0.shortcut.0,256,0.5960882902145386,1.0,1.945400357246399
conv4_x.1.residual_function.0,256,1.6043137311935425,1.0,9.303350448608398
conv4_x.1.residual_function.3,256,4.074865341186523,1.0,6.439652442932129
conv5_x.0.residual_function.0,512,1.4478259086608887,1.0,4.077761650085449
conv5_x.0.residual_function.3,512,4.082964897155762,1.0,5.34487247467041
conv5_x.0.shortcut.0,512,2.1982531547546387,1.0,1.8058232069015503
conv5_x.1.residual_function.0,512,1.46836256980896,1.0,2.674333095550537
conv5_x.1.residual_function.3,512,3.112060546875,1.0,2.158876419067383
