name,role,is_head,matched,n_params,out_channels,bn_name,if_name,risk_mean,risk_max,p_gt_tau,q_mean,q_max,q_os_mean,q_mean_pre_norm
conv1.0,stem,False,True,1728,64,conv1.1,conv1.2,1.4075093269348145,5.945826053619385,0.65625,4.652464866638184,22.78330421447754,4.652464866638184,3.014719009399414
conv2_x.0.residual_function.0,residual_preact,False,True,36864,64,conv2_x.0.residual_function.1,conv2_x.0.residual_function.2,0.617816686630249,1.178144931793213,0.421875,1.5086665153503418,3.7125797271728516,1.5086665153503418,3.014719009399414
conv2_x.0.residual_function.3,residual_terminal,False,True,36864,64,conv2_x.0.residual_function.4,conv2_x.0.act,0.49826329946517944,0.7400598526000977,0.15625,1.0487926006317139,1.9602394104003906,1.0487926006317139,3.014719009399414
conv2_x.1.residual_function.0,residual_preact,False,True,36864,64,conv2_x.1.residual_function.1,conv2_x.1.residual_function.2,0.4834846258163452,0.4834846258163452,0.0,1.0,1.0,1.0,3.014719009399414
conv2_x.1.residual_function.3,residual_terminal,False,True,36864,64,conv2_x.1.residual_function.4,conv2_x.1.act,0.6776135563850403,1.806429386138916,0.546875,1.7403883934020996,6.225717544555664,1.7403883934020996,3.014719009399414
conv3_x.0.residual_function.0,residual_preact,False,True,73728,128,conv3_x.0.residual_function.1,conv3_x.0.residual_function.2,0.4834846258163452,0.4834846258163452,0.0,1.0,1.0,1.0,3.014719009399414
conv3_x.0.residual_function.3,residual_terminal,False,True,147456,128,conv3_x.0.residual_function.4,conv3_x.0.act,0.5015757083892822,0.9971355199813843,0.1015625,1.064385175704956,2.988542079925537,1.064385175704956,3.014719009399414
conv3_x.0.shortcut.0,shortcut,False,True,8192,128,conv3_x.0.shortcut.1,conv3_x.0.act,0.49029842019081116,0.6876596212387085,0.0625,1.022909164428711,1.750638484954834,1.022909164428711,3.014719009399414
conv3_x.1.residual_function.0,residual_preact,False,True,147456,128,conv3_x.1.residual_function.1,conv3_x.1.residual_function.2,0.4834846258163452,0.4834846258163452,0.0,1.0,1.0,1.0,3.014719009399414
conv3_x.1.residual_function.3,residual_terminal,False,True,147456,128,conv3_x.1.residual_function.4,conv3_x.1.act,0.5476999282836914,1.0655936002731323,0.3828125,1.2300275564193726,3.2623744010925293,1.2300275564193726,3.014719009399414
conv4_x.0.residual_function.0,residual_preact,False,True,294912,256,conv4_x.0.residual_function.1,conv4_x.0.residual_function.2,0.48353469371795654,0.49629804491996765,0.0,1.0,1.0,1.0,3.014719009399414
conv4_x.0.residual_function.3,residual_terminal,False,True,589824,256,conv4_x.0.residual_function.4,conv4_x.0.act,0.6743919849395752,1.232525110244751,0.76953125,1.7120697498321533,3.930100440979004,1.7120697498321533,3.014719009399414
conv4_x.0.shortcut.0,shortcut,False,True,32768,256,conv4_x.0.shortcut.1,conv4_x.0.act,0.48749399185180664,0.7939486503601074,0.04296875,1.0131850242614746,2.1757946014404297,1.0131850242614746,3.014719009399414
conv4_x.1.residual_function.0,residual_preact,False,True,589824,256,conv4_x.1.residual_function.1,conv4_x.1.residual_function.2,0.5330866575241089,0.8997747302055359,0.45703125,1.166001558303833,2.5990989208221436,1.166001558303833,3.014719009399414
conv4_x.1.residual_function.3,residual_terminal,False,True,589824,256,conv4_x.1.residual_function.4,conv4_x.1.act,1.3184185028076172,2.7527387142181396,0.98046875,4.274964809417725,10.010954856872559,4.274964809417725,3.014719009399414
conv5_x.0.residual_function.0,residual_preact,False,True,1179648,512,conv5_x.0.residual_function.1,conv5_x.0.residual_function.2,0.5663787722587585,1.0235964059829712,0.5390625,1.2946711778640747,3.0943856239318848,1.2946711778640747,3.014719009399414
conv5_x.0.residual_function.3,residual_terminal,False,True,2359296,512,conv5_x.0.residual_function.4,conv5_x.0.act,1.6072077751159668,4.010332107543945,0.9921875,5.429347038269043,15.041328430175781,5.429347038269043,3.014719009399414
conv5_x.0.shortcut.0,shortcut,False,True,131072,512,conv5_x.0.shortcut.1,conv5_x.0.act,0.8282016515731812,2.846309185028076,0.748046875,2.328960418701172,10.385236740112305,2.328960418701172,3.014719009399414
conv5_x.1.residual_function.0,residual_preact,False,True,2359296,512,conv5_x.1.residual_function.1,conv5_x.1.residual_function.2,0.6633391380310059,1.2923297882080078,0.771484375,1.6679236888885498,4.169319152832031,1.6679236888885498,3.014719009399414
conv5_x.1.residual_function.3,residual_terminal,False,True,2359296,512,conv5_x.1.residual_function.4,conv5_x.1.act,1.2822442054748535,3.8026883602142334,0.966796875,4.131103515625,14.210753440856934,4.131103515625,3.014719009399414
fc,classifier_head,True,False,5120,10,,,nan,nan,nan,1.0,1.0,1.0,1.0
