name,role,is_head,matched,n_params,out_channels,bn_name,if_name,risk_mean,risk_max,p_gt_tau,q_mean,q_max,q_os_mean,q_mean_pre_norm
conv1.0,stem,False,True,1728,64,conv1.1,conv1.2,1.9623923301696777,6.863969802856445,0.9375,6.853777885437012,26.45587921142578,6.853777885437012,3.0152931213378906
conv2_x.0.residual_function.0,residual_preact,False,True,36864,64,conv2_x.0.residual_function.1,conv2_x.0.residual_function.2,0.6238265037536621,2.0068588256835938,0.5,1.527453064918518,7.027435302734375,1.527453064918518,3.0152931213378906
conv2_x.0.residual_function.3,residual_terminal,False,True,36864,64,conv2_x.0.residual_function.4,conv2_x.0.act,0.6153716444969177,1.9203643798828125,0.484375,1.495373249053955,6.68145751953125,1.495373249053955,3.0152931213378906
conv2_x.1.residual_function.0,residual_preact,False,True,36864,64,conv2_x.1.residual_function.1,conv2_x.1.residual_function.2,0.48366379737854004,0.5149825811386108,0.015625,1.0009363889694214,1.0599303245544434,1.0009363889694214,3.0152931213378906
conv2_x.1.residual_function.3,residual_terminal,False,True,36864,64,conv2_x.1.residual_function.4,conv2_x.1.act,0.8864156603813171,4.066305637359619,0.703125,2.5656518936157227,15.265222549438477,2.5656518936157227,3.0152931213378906
conv3_x.0.residual_function.0,residual_preact,False,True,73728,128,conv3_x.0.residual_function.1,conv3_x.0.residual_function.2,0.4831666648387909,0.4831666648387909,0.0,1.0,1.0,1.0,3.0152931213378906
conv3_x.0.residual_function.3,residual_terminal,False,True,147456,128,conv3_x.0.residual_function.4,conv3_x.0.act,0.4912441372871399,0.7190091013908386,0.09375,1.0257635116577148,1.8760364055633545,1.0257635116577148,3.0152931213378906
conv3_x.0.shortcut.0,shortcut,False,True,8192,128,conv3_x.0.shortcut.1,conv3_x.0.act,0.4838675260543823,0.5728778839111328,0.0078125,1.0022773742675781,1.2915115356445312,1.0022773742675781,3.0152931213378906
conv3_x.1.residual_function.0,residual_preact,False,True,147456,128,conv3_x.1.residual_function.1,conv3_x.1.residual_function.2,0.4831666648387909,0.4831666648387909,0.0,1.0,1.0,1.0,3.0152931213378906
conv3_x.1.residual_function.3,residual_terminal,False,True,147456,128,conv3_x.1.residual_function.4,conv3_x.1.act,0.6679390668869019,1.7418544292449951,0.6328125,1.696076512336731,5.9674177169799805,1.696076512336731,3.0152931213378906
conv4_x.0.residual_function.0,residual_preact,False,True,294912,256,conv4_x.0.residual_function.1,conv4_x.0.residual_function.2,0.4831666648387909,0.4831666648387909,0.0,1.0,1.0,1.0,3.0152931213378906
conv4_x.0.residual_function.3,residual_terminal,False,True,589824,256,conv4_x.0.residual_function.4,conv4_x.0.act,0.7272464036941528,1.5062311887741089,0.8359375,1.9189558029174805,5.0249247550964355,1.9189558029174805,3.0152931213378906
conv4_x.0.shortcut.0,shortcut,False,True,32768,256,conv4_x.0.shortcut.1,conv4_x.0.act,0.4890775680541992,0.8934292197227478,0.0234375,1.021822452545166,2.573716878890991,1.021822452545166,3.0152931213378906
conv4_x.1.residual_function.0,residual_preact,False,True,589824,256,conv4_x.1.residual_function.1,conv4_x.1.residual_function.2,0.5763639211654663,1.0286905765533447,0.67578125,1.3244010210037231,3.114762306213379,1.3244010210037231,3.0152931213378906
conv4_x.1.residual_function.3,residual_terminal,False,True,589824,256,conv4_x.1.residual_function.4,conv4_x.1.act,1.5585684776306152,3.5868334770202637,0.984375,5.235177040100098,13.347333908081055,5.235177040100098,3.0152931213378906
conv5_x.0.residual_function.0,residual_preact,False,True,1179648,512,conv5_x.0.residual_function.1,conv5_x.0.residual_function.2,0.7192825078964233,1.5261043310165405,0.75,1.8931294679641724,5.104417324066162,1.8931294679641724,3.0152931213378906
conv5_x.0.residual_function.3,residual_terminal,False,True,2359296,512,conv5_x.0.residual_function.4,conv5_x.0.act,1.662064790725708,3.9680304527282715,0.994140625,5.64861536026001,14.872121810913086,5.64861536026001,3.0152931213378906
conv5_x.0.shortcut.0,shortcut,False,True,131072,512,conv5_x.0.shortcut.1,conv5_x.0.act,0.9221358895301819,2.908151149749756,0.87109375,2.697004795074463,10.632604598999023,2.697004795074463,3.0152931213378906
conv5_x.1.residual_function.0,residual_preact,False,True,2359296,512,conv5_x.1.residual_function.1,conv5_x.1.residual_function.2,0.5836433172225952,1.2791427373886108,0.5546875,1.3632771968841553,4.116570949554443,1.3632771968841553,3.0152931213378906
conv5_x.1.residual_function.3,residual_terminal,False,True,2359296,512,conv5_x.1.residual_function.4,conv5_x.1.act,1.1289535760879517,3.2951486110687256,0.94140625,3.519591808319092,12.180594444274902,3.519591808319092,3.0152931213378906
fc,classifier_head,True,False,5120,10,,,nan,nan,nan,1.0,1.0,1.0,1.0
