name,role,is_head,matched,n_params,out_channels,bn_name,if_name,risk_mean,risk_max,p_gt_tau,q_mean,q_max,q_os_mean,q_mean_pre_norm
conv1.0,stem,False,True,1728,64,conv1.1,conv1.2,7.153994083404541,7.8574981689453125,1.0,27.615976333618164,30.42999267578125,27.615976333618164,3.01069974899292
conv2_x.0.residual_function.0,residual_preact,False,True,36864,64,conv2_x.0.residual_function.1,conv2_x.0.residual_function.2,1.3228943347930908,7.8574981689453125,0.875,4.29587984085083,30.42999267578125,4.29587984085083,3.01069974899292
conv2_x.0.residual_function.3,residual_terminal,False,True,36864,64,conv2_x.0.residual_function.4,conv2_x.0.act,0.6383333802223206,1.443825125694275,0.390625,1.5748672485351562,4.7753005027771,1.5748672485351562,3.01069974899292
conv2_x.1.residual_function.0,residual_preact,False,True,36864,64,conv2_x.1.residual_function.1,conv2_x.1.residual_function.2,0.5133014917373657,0.8255149722099304,0.15625,1.0832648277282715,2.3020598888397217,1.0832648277282715,3.01069974899292
conv2_x.1.residual_function.3,residual_terminal,False,True,36864,64,conv2_x.1.residual_function.4,conv2_x.1.act,1.2524908781051636,7.8574981689453125,0.75,4.018869876861572,30.42999267578125,4.018869876861572,3.01069974899292
conv3_x.0.residual_function.0,residual_preact,False,True,73728,128,conv3_x.0.residual_function.1,conv3_x.0.residual_function.2,0.4920511841773987,0.5574253797531128,0.0234375,1.0029418468475342,1.2297015190124512,1.0029418468475342,3.01069974899292
conv3_x.0.residual_function.3,residual_terminal,False,True,147456,128,conv3_x.0.residual_function.4,conv3_x.0.act,0.510452151298523,1.174013376235962,0.15625,1.0718601942062378,3.6960535049438477,1.0718601942062378,3.01069974899292
conv3_x.0.shortcut.0,shortcut,False,True,8192,128,conv3_x.0.shortcut.1,conv3_x.0.act,0.5054054260253906,0.9264137744903564,0.09375,1.0539073944091797,2.705655097961426,1.0539073944091797,3.01069974899292
conv3_x.1.residual_function.0,residual_preact,False,True,147456,128,conv3_x.1.residual_function.1,conv3_x.1.residual_function.2,0.4916270673274994,0.559373140335083,0.0078125,1.0018553733825684,1.237492561340332,1.0018553733825684,3.01069974899292
conv3_x.1.residual_function.3,residual_terminal,False,True,147456,128,conv3_x.1.residual_function.4,conv3_x.1.act,0.6125892400741577,1.4368150234222412,0.4609375,1.4693143367767334,4.747260093688965,1.4693143367767334,3.01069974899292
conv4_x.0.residual_function.0,residual_preact,False,True,294912,256,conv4_x.0.residual_function.1,conv4_x.0.residual_function.2,0.49109363555908203,0.49109363555908203,0.0,1.0,1.0,1.0,3.01069974899292
conv4_x.0.residual_function.3,residual_terminal,False,True,589824,256,conv4_x.0.residual_function.4,conv4_x.0.act,0.511954128742218,0.8695405721664429,0.18359375,1.07668936252594,2.4781622886657715,1.07668936252594,3.01069974899292
conv4_x.0.shortcut.0,shortcut,False,True,32768,256,conv4_x.0.shortcut.1,conv4_x.0.act,0.49109363555908203,0.49109363555908203,0.0,1.0,1.0,1.0,3.01069974899292
conv4_x.1.residual_function.0,residual_preact,False,True,589824,256,conv4_x.1.residual_function.1,conv4_x.1.residual_function.2,0.49109363555908203,0.49109363555908203,0.0,1.0,1.0,1.0,3.01069974899292
conv4_x.1.residual_function.3,residual_terminal,False,True,589824,256,conv4_x.1.residual_function.4,conv4_x.1.act,0.7433398962020874,1.7805616855621338,0.80078125,1.9801843166351318,6.122246742248535,1.9801843166351318,3.01069974899292
conv5_x.0.residual_function.0,residual_preact,False,True,1179648,512,conv5_x.0.residual_function.1,conv5_x.0.residual_function.2,0.49109363555908203,0.49109363555908203,0.0,1.0,1.0,1.0,3.01069974899292
conv5_x.0.residual_function.3,residual_terminal,False,True,2359296,512,conv5_x.0.residual_function.4,conv5_x.0.act,1.1852824687957764,2.308364152908325,1.0,3.7411298751831055,8.2334566116333,3.7411298751831055,3.01069974899292
conv5_x.0.shortcut.0,shortcut,False,True,131072,512,conv5_x.0.shortcut.1,conv5_x.0.act,0.4911104440689087,0.4996910095214844,0.0,1.0,1.0,1.0,3.01069974899292
conv5_x.1.residual_function.0,residual_preact,False,True,2359296,512,conv5_x.1.residual_function.1,conv5_x.1.residual_function.2,0.7914445400238037,1.4315327405929565,0.982421875,2.1663360595703125,4.726130962371826,2.1663360595703125,3.01069974899292
conv5_x.1.residual_function.3,residual_terminal,False,True,2359296,512,conv5_x.1.residual_function.4,conv5_x.1.act,1.7940142154693604,2.5212619304656982,1.0,6.176056861877441,9.085047721862793,6.176056861877441,3.01069974899292
fc,classifier_head,True,False,51200,100,,,nan,nan,nan,1.0,1.0,1.0,1.0
