name,role,is_head,matched,n_params,out_channels,bn_name,if_name,risk_mean,risk_max,p_gt_tau,q_mean,q_max,q_os_mean,q_mean_pre_norm
conv1.0,stem,False,True,1728,64,conv1.1,conv1.2,7.619840621948242,7.85555362701416,1.0,29.47936248779297,30.42221450805664,29.47936248779297,3.0104451179504395
conv2_x.0.residual_function.0,residual_preact,False,True,36864,64,conv2_x.0.residual_function.1,conv2_x.0.residual_function.2,1.475649118423462,7.85555362701416,0.828125,4.9088029861450195,30.42221450805664,4.9088029861450195,3.0104451179504395
conv2_x.0.residual_function.3,residual_terminal,False,True,36864,64,conv2_x.0.residual_function.4,conv2_x.0.act,0.7631336450576782,7.193438529968262,0.453125,2.0722832679748535,27.773754119873047,2.0722832679748535,3.0104451179504395
conv2_x.1.residual_function.0,residual_preact,False,True,36864,64,conv2_x.1.residual_function.1,conv2_x.1.residual_function.2,0.5651766657829285,1.2154408693313599,0.203125,1.2894830703735352,3.8617634773254395,1.2894830703735352,3.0104451179504395
conv2_x.1.residual_function.3,residual_terminal,False,True,36864,64,conv2_x.1.residual_function.4,conv2_x.1.act,1.3262548446655273,5.968613624572754,0.828125,4.311225891113281,22.874454498291016,4.311225891113281,3.0104451179504395
conv3_x.0.residual_function.0,residual_preact,False,True,73728,128,conv3_x.0.residual_function.1,conv3_x.0.residual_function.2,0.49213263392448425,0.5840365290641785,0.015625,1.0040251016616821,1.3361461162567139,1.0040251016616821,3.0104451179504395
conv3_x.0.residual_function.3,residual_terminal,False,True,147456,128,conv3_x.0.residual_function.4,conv3_x.0.act,0.523342490196228,1.27241051197052,0.21875,1.1215744018554688,4.08964204788208,1.1215744018554688,3.0104451179504395
conv3_x.0.shortcut.0,shortcut,False,True,8192,128,conv3_x.0.shortcut.1,conv3_x.0.act,0.4951505661010742,0.6646869778633118,0.0546875,1.0147390365600586,1.658747911453247,1.0147390365600586,3.0104451179504395
conv3_x.1.residual_function.0,residual_preact,False,True,147456,128,conv3_x.1.residual_function.1,conv3_x.1.residual_function.2,0.49203991889953613,0.6276545524597168,0.0078125,1.0039892196655273,1.5106182098388672,1.0039892196655273,3.0104451179504395
conv3_x.1.residual_function.3,residual_terminal,False,True,147456,128,conv3_x.1.residual_function.4,conv3_x.1.act,0.6463597416877747,1.5688198804855347,0.6015625,1.599677324295044,5.275279521942139,1.599677324295044,3.0104451179504395
conv4_x.0.residual_function.0,residual_preact,False,True,294912,256,conv4_x.0.residual_function.1,conv4_x.0.residual_function.2,0.4915066659450531,0.6278220415115356,0.00390625,1.0019972324371338,1.5112881660461426,1.0019972324371338,3.0104451179504395
conv4_x.0.residual_function.3,residual_terminal,False,True,589824,256,conv4_x.0.residual_function.4,conv4_x.0.act,0.5125653743743896,0.8069189190864563,0.21875,1.0782206058502197,2.227675676345825,1.0782206058502197,3.0104451179504395
conv4_x.0.shortcut.0,shortcut,False,True,32768,256,conv4_x.0.shortcut.1,conv4_x.0.act,0.490972101688385,0.490972101688385,0.0,1.0,1.0,1.0,3.0104451179504395
conv4_x.1.residual_function.0,residual_preact,False,True,589824,256,conv4_x.1.residual_function.1,conv4_x.1.residual_function.2,0.49433398246765137,0.6531781554222107,0.046875,1.011505365371704,1.6127126216888428,1.011505365371704,3.0104451179504395
conv4_x.1.residual_function.3,residual_terminal,False,True,589824,256,conv4_x.1.residual_function.4,conv4_x.1.act,0.82833331823349,1.881271243095398,0.83984375,2.318817138671875,6.525084972381592,2.318817138671875,3.0104451179504395
conv5_x.0.residual_function.0,residual_preact,False,True,1179648,512,conv5_x.0.residual_function.1,conv5_x.0.residual_function.2,0.4918880760669708,0.6263643503189087,0.013671875,1.0030592679977417,1.5054574012756348,1.0030592679977417,3.0104451179504395
conv5_x.0.residual_function.3,residual_terminal,False,True,2359296,512,conv5_x.0.residual_function.4,conv5_x.0.act,1.154436707496643,2.3365113735198975,1.0,3.617746353149414,8.34604549407959,3.617746353149414,3.0104451179504395
conv5_x.0.shortcut.0,shortcut,False,True,131072,512,conv5_x.0.shortcut.1,conv5_x.0.act,0.49099504947662354,0.4981266260147095,0.0,1.0,1.0,1.0,3.0104451179504395
conv5_x.1.residual_function.0,residual_preact,False,True,2359296,512,conv5_x.1.residual_function.1,conv5_x.1.residual_function.2,0.7832691073417664,1.3361403942108154,0.98046875,2.133754253387451,4.344561576843262,2.133754253387451,3.0104451179504395
conv5_x.1.residual_function.3,residual_terminal,False,True,2359296,512,conv5_x.1.residual_function.4,conv5_x.1.act,1.8008334636688232,2.61612606048584,1.0,6.203333854675293,9.46450424194336,6.203333854675293,3.0104451179504395
fc,classifier_head,True,False,51200,100,,,nan,nan,nan,1.0,1.0,1.0,1.0
