epoch,alpha,q_assignment,q_mean,q_mean_pre_norm,q_tilde_mean,q_std,q_min,q_max,q_os_mean,q_os_std,p_gt_tau,p_at_qmax,q_cap,mean_normalize_q,mne_grad_match_scale,mne_ref_grad_norm,reg_grad_norm,reg_coeff_grad_norm,ce_grad_norm,reg_ce_ratio,ann_train_acc,ann_test_acc,train_loss
0.0,0.25,risk,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,,,1.7634852715667053,0.00017634852715667053,0.7070665307206635,0.00024940867583836954,4.784,8.53,1699.2610964775085
1.0,0.25,risk,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,,,1.7020925094369743,0.00017020925094369743,0.8991901118415032,0.00018929172897054673,8.884,14.45,1562.5506184101105
2.0,0.25,risk,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,,,1.5929670983570678,0.0001592967098357068,1.0785534559052463,0.00014769477485193966,12.95,20.83,1460.5509660243988
3.0,0.25,risk,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,,,1.8169580808319261,0.00018169580808319262,1.1747862054513234,0.00015466287162725889,17.414,26.46,1354.4758281707764
4.0,0.25,risk,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,,,2.4717061774425546,0.0002471706177442555,1.3653940022864133,0.00018102512339321635,21.82,31.15,1256.1991617679596
5.0,0.25,risk,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,,,2.563608050084994,0.0002563608050084994,1.3166046781176437,0.00019471357596497355,26.414,35.9,1162.9832220077515
6.0,0.25,risk,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,,,3.6772317052191688,0.0003677231705219169,1.467462959647614,0.0002505842945502483,29.664,42.72,1093.2589893341064
7.0,0.25,risk,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,,,6.361124713751207,0.0006361124713751207,1.422103174498055,0.00044730402321170734,33.406,43.45,1023.4139678478241
8.0,0.25,risk,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,,,8.093965594507404,0.0008093965594507405,1.3516633472886266,0.0005988152013401503,36.44,46.67,964.7319321632385
9.0,0.25,risk,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,,,9.150837473011963,0.0009150837473011963,1.3669000638974949,0.0006694591444322438,39.186,47.56,919.143495798111
10.0,0.25,risk,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,,,12.387673199340306,0.0012387673199340307,1.4323403835589368,0.0008648554031940823,41.19,50.34,879.9413638114929
11.0,0.25,risk,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,,,17.185630700179622,0.0017185630700179623,1.3254033265039273,0.001296634040108447,43.34,52.72,839.9220961332321
12.0,0.25,risk,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,,,21.367713986914623,0.002136771398691462,1.332339455258507,0.0016037740158921252,45.584,56.0,807.3863226175308
13.0,0.25,risk,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,,,20.03320788549114,0.0020033207885491143,1.5328425003191053,0.0013069319177489308,47.162,54.81,781.2779836654663
14.0,0.25,risk,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,,,20.160770945726767,0.0020160770945726767,1.243786132015456,0.0016209194190851645,48.462,58.12,755.8304432630539
15.0,0.25,risk,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,,,22.842755220719656,0.0022842755220719656,1.3393825325579436,0.0017054690997869533,50.312,61.05,728.8450595140457
16.0,0.25,risk,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,,,18.183270902464862,0.0018183270902464863,1.3242794024481226,0.0013730690720440452,51.608,60.59,705.4116619825363
17.0,0.25,risk,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,,,20.35212919269157,0.002035212919269157,1.4090533992601255,0.0014443831016892755,52.682,60.89,685.9114887714386
18.0,0.25,risk,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,,,19.888777294025182,0.0019888777294025184,1.4487293331332758,0.0013728428657553465,54.076,61.7,666.7939059734344
19.0,0.25,risk,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,,,20.259543956480815,0.0020259543956480815,1.2835222540950575,0.0015784334001099755,55.296,63.81,648.5611073970795
20.0,0.25,risk,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,,,23.798835124086,0.0023798835124086,1.2353732532254835,0.0019264489547550676,56.02,64.11,631.3307747840881
21.0,0.25,risk,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,,,19.72906307989418,0.001972906307989418,1.310592135810902,0.001505354911021744,56.898,61.75,619.105791091919
22.0,0.25,risk,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,,,20.75375949314997,0.0020753759493149972,1.3705122309921833,0.0015143067696758367,57.588,63.36,605.7354217767715
