name,role,is_head,matched,n_params,out_channels,bn_name,if_name,risk_mean,risk_max,p_gt_tau,q_mean,q_max,q_os_mean,q_mean_pre_norm
conv1.0,stem,False,True,1728,64,conv1.1,conv1.2,7.539419174194336,7.868145942687988,1.0,29.157676696777344,30.472583770751953,29.157676696777344,3.0095694065093994
conv2_x.0.residual_function.0,residual_preact,False,True,36864,64,conv2_x.0.residual_function.1,conv2_x.0.residual_function.2,1.1856069564819336,6.2302165031433105,0.8125,3.7486085891723633,23.920866012573242,3.7486085891723633,3.0095694065093994
conv2_x.0.residual_function.3,residual_terminal,False,True,36864,64,conv2_x.0.residual_function.4,conv2_x.0.act,0.6767107844352722,1.8030213117599487,0.453125,1.7248700857162476,6.212085247039795,1.7248700857162476,3.0095694065093994
conv2_x.1.residual_function.0,residual_preact,False,True,36864,64,conv2_x.1.residual_function.1,conv2_x.1.residual_function.2,0.5173830986022949,0.946644127368927,0.109375,1.0987913608551025,2.786576509475708,1.0987913608551025,3.0095694065093994
conv2_x.1.residual_function.3,residual_terminal,False,True,36864,64,conv2_x.1.residual_function.4,conv2_x.1.act,1.1002132892608643,3.5577826499938965,0.765625,3.4085793495178223,13.231130599975586,3.4085793495178223,3.0095694065093994
conv3_x.0.residual_function.0,residual_preact,False,True,73728,128,conv3_x.0.residual_function.1,conv3_x.0.residual_function.2,0.49185317754745483,0.5038002729415894,0.0078125,1.0001187324523926,1.0152010917663574,1.0001187324523926,3.0095694065093994
conv3_x.0.residual_function.3,residual_terminal,False,True,147456,128,conv3_x.0.residual_function.4,conv3_x.0.act,0.5241175889968872,1.6742894649505615,0.1328125,1.1247591972351074,5.697157859802246,1.1247591972351074,3.0095694065093994
conv3_x.0.shortcut.0,shortcut,False,True,8192,128,conv3_x.0.shortcut.1,conv3_x.0.act,0.49765753746032715,0.7908412218093872,0.0546875,1.0213994979858398,2.163364887237549,1.0213994979858398,3.0095694065093994
conv3_x.1.residual_function.0,residual_preact,False,True,147456,128,conv3_x.1.residual_function.1,conv3_x.1.residual_function.2,0.49175912141799927,0.49175912141799927,0.0,1.0,1.0,1.0,3.0095694065093994
conv3_x.1.residual_function.3,residual_terminal,False,True,147456,128,conv3_x.1.residual_function.4,conv3_x.1.act,0.6108701229095459,1.2993669509887695,0.5078125,1.4597046375274658,4.197467803955078,1.4597046375274658,3.0095694065093994
conv4_x.0.residual_function.0,residual_preact,False,True,294912,256,conv4_x.0.residual_function.1,conv4_x.0.residual_function.2,0.49175912141799927,0.49175912141799927,0.0,1.0,1.0,1.0,3.0095694065093994
conv4_x.0.residual_function.3,residual_terminal,False,True,589824,256,conv4_x.0.residual_function.4,conv4_x.0.act,0.5101791024208069,1.016118049621582,0.1640625,1.0680590867996216,3.064472198486328,1.0680590867996216,3.0095694065093994
conv4_x.0.shortcut.0,shortcut,False,True,32768,256,conv4_x.0.shortcut.1,conv4_x.0.act,0.49204128980636597,0.5639963746070862,0.00390625,1.000999927520752,1.2559854984283447,1.000999927520752,3.0095694065093994
conv4_x.1.residual_function.0,residual_preact,False,True,589824,256,conv4_x.1.residual_function.1,conv4_x.1.residual_function.2,0.4981478452682495,0.6526387929916382,0.109375,1.0216035842895508,1.6105551719665527,1.0216035842895508,3.0095694065093994
conv4_x.1.residual_function.3,residual_terminal,False,True,589824,256,conv4_x.1.residual_function.4,conv4_x.1.act,0.8010039329528809,1.8016915321350098,0.8359375,2.2093124389648438,6.206766128540039,2.2093124389648438,3.0095694065093994
conv5_x.0.residual_function.0,residual_preact,False,True,1179648,512,conv5_x.0.residual_function.1,conv5_x.0.residual_function.2,0.49337607622146606,0.6464223861694336,0.02734375,1.0055618286132812,1.5856895446777344,1.0055618286132812,3.0095694065093994
conv5_x.0.residual_function.3,residual_terminal,False,True,2359296,512,conv5_x.0.residual_function.4,conv5_x.0.act,1.151119589805603,2.0896780490875244,1.0,3.604477882385254,7.358712196350098,3.604477882385254,3.0095694065093994
conv5_x.0.shortcut.0,shortcut,False,True,131072,512,conv5_x.0.shortcut.1,conv5_x.0.act,0.4922955632209778,0.736243724822998,0.00390625,1.0019664764404297,1.9449748992919922,1.0019664764404297,3.0095694065093994
conv5_x.1.residual_function.0,residual_preact,False,True,2359296,512,conv5_x.1.residual_function.1,conv5_x.1.residual_function.2,0.8180373311042786,1.5945725440979004,0.984375,2.272646903991699,5.378290176391602,2.272646903991699,3.0095694065093994
conv5_x.1.residual_function.3,residual_terminal,False,True,2359296,512,conv5_x.1.residual_function.4,conv5_x.1.act,1.7874019145965576,2.655243158340454,1.0,6.1496076583862305,9.620972633361816,6.1496076583862305,3.0095694065093994
fc,classifier_head,True,False,51200,100,,,nan,nan,nan,1.0,1.0,1.0,1.0
