epoch,alpha,q_assignment,q_mean,q_mean_pre_norm,q_tilde_mean,q_std,q_min,q_max,q_os_mean,q_os_std,p_gt_tau,p_at_qmax,q_cap,mean_normalize_q,mne_grad_match_scale,mne_ref_grad_norm,reg_grad_norm,reg_coeff_grad_norm,ce_grad_norm,reg_ce_ratio,ann_train_acc,ann_test_acc,train_loss
0.0,0.25,risk,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,,,0.8086030396328681,8.086030396328681e-05,0.8031119728489864,0.00010068372368605121,4.51,8.59,1705.868558883667
1.0,0.25,risk,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,,,0.6673134578786565,6.673134578786565e-05,1.091243071404747,6.115167879321608e-05,8.732,13.33,1565.0708310604095
2.0,0.25,risk,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,,,0.6228855968428134,6.228855968428134e-05,1.1283099438940756,5.520518543806162e-05,12.658,19.65,1461.891860961914
3.0,0.25,risk,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,,,0.5442417679255227,5.442417679255227e-05,1.3699191423696448,3.9728021245407936e-05,17.422,27.93,1353.8471820354462
4.0,0.25,risk,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,,,0.5073162561035898,5.073162561035898e-05,1.448692155184673,3.501891373456905e-05,22.494,34.55,1246.5209817886353
5.0,0.25,risk,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,,,0.4747557242735714,4.747557242735714e-05,1.3197353277818886,3.597355577890795e-05,27.334,36.29,1144.4406304359436
6.0,0.25,risk,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,,,0.45256845027316095,4.5256845027316094e-05,1.5519138358587574,2.916195730819878e-05,30.582,42.49,1073.4922349452972
7.0,0.25,risk,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,,,0.4071930018439003,4.071930018439003e-05,1.377780615816533,2.9554269901132255e-05,34.074,43.47,1006.796516418457
8.0,0.25,risk,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,,,0.3981067486094745,3.981067486094745e-05,1.4153249218732176,2.8128293542840353e-05,37.434,46.6,944.9957830905914
9.0,0.25,risk,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,,,0.38787450660876416,3.878745066087642e-05,1.3835066240637077,2.8035608927514855e-05,40.034,48.9,900.8417376279831
10.0,0.25,risk,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,,,0.37497993939605406,3.749799393960541e-05,1.4018703202018463,2.6748546851470765e-05,41.888,52.59,861.1893931627274
11.0,0.25,risk,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,,,0.3641226648174945,3.641226648174945e-05,1.3209855477643053,2.756446998483457e-05,44.298,55.45,822.6261576414108
12.0,0.25,risk,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,,,0.36815340750173065,3.6815340750173065e-05,1.324171954840171,2.7802537741117404e-05,46.116,55.36,789.9092853069305
13.0,0.25,risk,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,,,0.36635135883051245,3.663513588305125e-05,1.396499325095885,2.6233550725515634e-05,47.854,57.28,764.3343164920807
14.0,0.25,risk,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,,,0.3650241670176881,3.650241670176881e-05,1.255600912071566,2.9071671062698516e-05,49.218,58.5,736.2909004688263
15.0,0.25,risk,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,,,0.35699053961084143,3.569905396108415e-05,1.4206180766436363,2.5129240960685944e-05,50.816,60.38,711.9743918180466
16.0,0.25,risk,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,,,0.3541436412867125,3.541436412867125e-05,1.2688380155496986,2.7910863084700916e-05,52.292,61.46,690.4280512332916
17.0,0.25,risk,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,,,0.3526109558726239,3.5261095587262396e-05,1.5391116060553407,2.2910031636779523e-05,52.84,61.01,673.2198201417923
18.0,0.25,risk,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,,,0.3512139765077928,3.512139765077928e-05,1.375981938048811,2.5524606595187297e-05,54.508,62.37,651.6141595840454
19.0,0.25,risk,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,,,0.3437835097235626,3.437835097235626e-05,1.337847759092584,2.5696758647391923e-05,55.652,63.99,633.1125067472458
20.0,0.25,risk,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,,,0.3477997965690617,3.477997965690617e-05,1.3338838048595572,2.607421990595958e-05,56.316,64.17,617.4153845310211
21.0,0.25,risk,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,,,0.35600010489612277,3.5600010489612276e-05,1.4005075736823303,2.5419363064213772e-05,57.454,62.94,603.8642826080322
22.0,0.25,risk,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,,,0.3472034071420778,3.472034071420778e-05,1.2641114404297633,2.746620242785226e-05,58.246,64.2,592.1477282047272
23.0,0.25,risk,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,,,0.35498271715798024,3.5498271715798026e-05,1.2785326472899692,2.776485355383113e-05,59.236,65.11,576.2655463218689
24.0,0.25,risk,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,,,0.34275931141755367,3.427593114175537e-05,1.43888281200778,2.3821211050486885e-05,59.856,65.78,565.9271523952484
25.0,0.25,risk,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,,,0.3449710486883443,3.4497104868834426e-05,1.4081815697452413,2.4497625597440116e-05,60.482,64.99,555.087850689888
26.0,0.25,risk,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,,,0.33944752494310315,3.394475249431032e-05,1.4347022542315244,2.3659788917312525e-05,61.82,66.79,538.7180111408234
27.0,0.25,risk,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,,,0.33767029574182333,3.3767029574182334e-05,1.3895269387871485,2.43010974682189e-05,62.26,67.0,527.1378926038742
28.0,0.25,risk,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,,,0.3340309818831331,3.3403098188313313e-05,1.3223521960887556,2.5260364286543912e-05,62.676,67.69,516.8273282051086
