epoch,alpha,q_assignment,q_mean,q_mean_pre_norm,q_tilde_mean,q_std,q_min,q_max,q_os_mean,q_os_std,p_gt_tau,p_at_qmax,q_cap,mean_normalize_q,mne_grad_match_scale,mne_ref_grad_norm,reg_grad_norm,reg_coeff_grad_norm,ce_grad_norm,reg_ce_ratio,ann_train_acc,ann_test_acc,train_loss
0.0,0.25,risk,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,,,0.5005563289624172,5.005563289624172e-05,0.7890125861916053,6.344085477501638e-05,4.312,8.96,1710.5633027553558
1.0,0.25,risk,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,,,0.434757653517939,4.3475765351793904e-05,1.1165663588321069,3.893701884164608e-05,8.318,12.5,1575.0718913078308
2.0,0.25,risk,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,,,0.4034709685841799,4.034709685841799e-05,1.1117630778010308,3.6291092647383995e-05,11.988,18.29,1480.6275997161865
3.0,0.25,risk,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,,,0.4201909816446414,4.2019098164464146e-05,1.402085857922485,2.9968990791138263e-05,16.242,24.41,1383.166897058487
4.0,0.25,risk,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,,,0.4909835638998854,4.909835638998854e-05,1.6614375276584041,2.9551731902424736e-05,20.24,27.71,1289.5103363990784
5.0,0.25,risk,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,,,0.5376200682661394,5.3762006826613945e-05,1.3497531079254066,3.983099317270479e-05,24.812,35.65,1198.446194410324
6.0,0.25,risk,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,,,0.636585801489722,6.36585801489722e-05,1.4553712475084557,4.374044097542359e-05,27.708,37.58,1133.0902225971222
7.0,0.25,risk,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,,,0.6915923363363233,6.915923363363233e-05,1.30042039171523,5.31822125169943e-05,31.272,40.31,1066.1624372005463
8.0,0.25,risk,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,,,0.8086456066816811,8.08645606681681e-05,1.3904549756541882,5.815690697221069e-05,34.122,46.96,1006.8491721153259
9.0,0.25,risk,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,,,0.8351083732681641,8.351083732681642e-05,1.4041541750865465,5.947412243507316e-05,36.952,45.32,958.5990650653839
10.0,0.25,risk,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,,,0.8806793388119162,8.806793388119163e-05,1.359566322857397,6.477648967951741e-05,39.082,49.38,912.0651588439941
11.0,0.25,risk,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,,,0.9090422279015246,9.090422279015247e-05,1.2451926535006121,7.300414320193206e-05,41.668,51.36,869.974923491478
12.0,0.25,risk,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,,,0.9435833952265004,9.435833952265005e-05,1.2834609256741814,7.351866943131528e-05,43.798,53.51,835.8265866041183
13.0,0.25,risk,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,,,0.9685474444039859,9.68547444403986e-05,1.397413844598558,6.930999346741304e-05,45.594,55.62,805.399297118187
14.0,0.25,risk,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,,,1.023137098666596,0.0001023137098666596,1.279458380886734,7.99664228200613e-05,47.354,56.14,773.340669631958
