dataset,method,seed,corruption,severity,accuracy,n_samples
cifar10,l2all,42,clean,0,90.500000,10000
cifar10,l2all,42,gaussian_noise,1,81.010000,10000
cifar10,l2all,42,gaussian_noise,2,67.750000,10000
cifar10,l2all,42,gaussian_noise,3,52.930000,10000
cifar10,l2all,42,gaussian_noise,4,45.280000,10000
cifar10,l2all,42,gaussian_noise,5,38.210000,10000
cifar10,l2all,42,shot_noise,1,85.310000,10000
cifar10,l2all,42,shot_noise,2,79.700000,10000
cifar10,l2all,42,shot_noise,3,63.800000,10000
cifar10,l2all,42,shot_noise,4,56.870000,10000
cifar10,l2all,42,shot_noise,5,45.450000,10000
cifar10,l2all,42,impulse_noise,1,88.870000,10000
cifar10,l2all,42,impulse_noise,2,85.840000,10000
cifar10,l2all,42,impulse_noise,3,81.660000,10000
cifar10,l2all,42,impulse_noise,4,66.310000,10000
cifar10,l2all,42,impulse_noise,5,44.980000,10000
cifar10,l2all,42,defocus_blur,1,89.950000,10000
cifar10,l2all,42,defocus_blur,2,88.340000,10000
cifar10,l2all,42,defocus_blur,3,84.290000,10000
cifar10,l2all,42,defocus_blur,4,77.330000,10000
cifar10,l2all,42,defocus_blur,5,61.230000,10000
cifar10,l2all,42,glass_blur,1,55.430000,10000
cifar10,l2all,42,glass_blur,2,59.620000,10000
cifar10,l2all,42,glass_blur,3,65.270000,10000
cifar10,l2all,42,glass_blur,4,43.020000,10000
cifar10,l2all,42,glass_blur,5,49.260000,10000
cifar10,l2all,42,motion_blur,1,84.710000,10000
cifar10,l2all,42,motion_blur,2,77.680000,10000
cifar10,l2all,42,motion_blur,3,69.950000,10000
cifar10,l2all,42,motion_blur,4,69.900000,10000
cifar10,l2all,42,motion_blur,5,62.760000,10000
cifar10,l2all,42,zoom_blur,1,83.540000,10000
cifar10,l2all,42,zoom_blur,2,81.980000,10000
cifar10,l2all,42,zoom_blur,3,78.190000,10000
cifar10,l2all,42,zoom_blur,4,74.030000,10000
cifar10,l2all,42,zoom_blur,5,66.080000,10000
cifar10,l2all,42,snow,1,87.710000,10000
cifar10,l2all,42,snow,2,75.350000,10000
cifar10,l2all,42,snow,3,79.780000,10000
cifar10,l2all,42,snow,4,76.830000,10000
cifar10,l2all,42,snow,5,70.230000,10000
cifar10,l2all,42,frost,1,87.150000,10000
cifar10,l2all,42,frost,2,81.840000,10000
cifar10,l2all,42,frost,3,72.410000,10000
cifar10,l2all,42,frost,4,70.630000,10000
cifar10,l2all,42,frost,5,58.810000,10000
cifar10,l2all,42,fog,1,90.020000,10000
cifar10,l2all,42,fog,2,88.830000,10000
cifar10,l2all,42,fog,3,87.490000,10000
cifar10,l2all,42,fog,4,85.100000,10000
cifar10,l2all,42,fog,5,75.070000,10000
cifar10,l2all,42,brightness,1,90.320000,10000
cifar10,l2all,42,brightness,2,90.270000,10000
cifar10,l2all,42,brightness,3,89.870000,10000
cifar10,l2all,42,brightness,4,89.400000,10000
cifar10,l2all,42,brightness,5,88.100000,10000
cifar10,l2all,42,contrast,1,89.810000,10000
cifar10,l2all,42,contrast,2,87.570000,10000
cifar10,l2all,42,contrast,3,85.740000,10000
cifar10,l2all,42,contrast,4,82.910000,10000
cifar10,l2all,42,contrast,5,64.260000,10000
cifar10,l2all,42,elastic_transform,1,85.150000,10000
cifar10,l2all,42,elastic_transform,2,85.150000,10000
cifar10,l2all,42,elastic_transform,3,82.950000,10000
cifar10,l2all,42,elastic_transform,4,79.490000,10000
cifar10,l2all,42,elastic_transform,5,77.990000,10000
cifar10,l2all,42,pixelate,1,89.200000,10000
cifar10,l2all,42,pixelate,2,84.710000,10000
cifar10,l2all,42,pixelate,3,80.030000,10000
cifar10,l2all,42,pixelate,4,60.930000,10000
cifar10,l2all,42,pixelate,5,41.200000,10000
cifar10,l2all,42,jpeg_compression,1,87.410000,10000
cifar10,l2all,42,jpeg_compression,2,84.820000,10000
cifar10,l2all,42,jpeg_compression,3,83.940000,10000
cifar10,l2all,42,jpeg_compression,4,83.150000,10000
cifar10,l2all,42,jpeg_compression,5,80.500000,10000
