dataset,method,seed,corruption,severity,accuracy,n_samples
cifar10,mne,42,clean,0,90.500000,10000
cifar10,mne,42,gaussian_noise,1,77.450000,10000
cifar10,mne,42,gaussian_noise,2,58.960000,10000
cifar10,mne,42,gaussian_noise,3,39.940000,10000
cifar10,mne,42,gaussian_noise,4,32.390000,10000
cifar10,mne,42,gaussian_noise,5,26.880000,10000
cifar10,mne,42,shot_noise,1,83.770000,10000
cifar10,mne,42,shot_noise,2,74.800000,10000
cifar10,mne,42,shot_noise,3,54.490000,10000
cifar10,mne,42,shot_noise,4,46.300000,10000
cifar10,mne,42,shot_noise,5,34.150000,10000
cifar10,mne,42,impulse_noise,1,87.520000,10000
cifar10,mne,42,impulse_noise,2,81.710000,10000
cifar10,mne,42,impulse_noise,3,73.760000,10000
cifar10,mne,42,impulse_noise,4,50.280000,10000
cifar10,mne,42,impulse_noise,5,28.320000,10000
cifar10,mne,42,defocus_blur,1,90.070000,10000
cifar10,mne,42,defocus_blur,2,88.570000,10000
cifar10,mne,42,defocus_blur,3,84.760000,10000
cifar10,mne,42,defocus_blur,4,77.890000,10000
cifar10,mne,42,defocus_blur,5,62.920000,10000
cifar10,mne,42,glass_blur,1,52.500000,10000
cifar10,mne,42,glass_blur,2,56.520000,10000
cifar10,mne,42,glass_blur,3,63.390000,10000
cifar10,mne,42,glass_blur,4,39.520000,10000
cifar10,mne,42,glass_blur,5,45.970000,10000
cifar10,mne,42,motion_blur,1,84.050000,10000
cifar10,mne,42,motion_blur,2,76.020000,10000
cifar10,mne,42,motion_blur,3,68.010000,10000
cifar10,mne,42,motion_blur,4,68.170000,10000
cifar10,mne,42,motion_blur,5,60.480000,10000
cifar10,mne,42,zoom_blur,1,83.460000,10000
cifar10,mne,42,zoom_blur,2,82.010000,10000
cifar10,mne,42,zoom_blur,3,78.060000,10000
cifar10,mne,42,zoom_blur,4,74.820000,10000
cifar10,mne,42,zoom_blur,5,68.010000,10000
cifar10,mne,42,snow,1,86.470000,10000
cifar10,mne,42,snow,2,70.710000,10000
cifar10,mne,42,snow,3,76.560000,10000
cifar10,mne,42,snow,4,73.420000,10000
cifar10,mne,42,snow,5,66.160000,10000
cifar10,mne,42,frost,1,85.770000,10000
cifar10,mne,42,frost,2,79.780000,10000
cifar10,mne,42,frost,3,68.500000,10000
cifar10,mne,42,frost,4,66.420000,10000
cifar10,mne,42,frost,5,53.910000,10000
cifar10,mne,42,fog,1,89.830000,10000
cifar10,mne,42,fog,2,88.170000,10000
cifar10,mne,42,fog,3,86.200000,10000
cifar10,mne,42,fog,4,82.800000,10000
cifar10,mne,42,fog,5,69.480000,10000
cifar10,mne,42,brightness,1,90.290000,10000
cifar10,mne,42,brightness,2,89.790000,10000
cifar10,mne,42,brightness,3,89.550000,10000
cifar10,mne,42,brightness,4,89.170000,10000
cifar10,mne,42,brightness,5,87.560000,10000
cifar10,mne,42,contrast,1,89.220000,10000
cifar10,mne,42,contrast,2,86.030000,10000
cifar10,mne,42,contrast,3,83.660000,10000
cifar10,mne,42,contrast,4,78.660000,10000
cifar10,mne,42,contrast,5,53.670000,10000
cifar10,mne,42,elastic_transform,1,84.760000,10000
cifar10,mne,42,elastic_transform,2,85.650000,10000
cifar10,mne,42,elastic_transform,3,82.560000,10000
cifar10,mne,42,elastic_transform,4,79.450000,10000
cifar10,mne,42,elastic_transform,5,76.980000,10000
cifar10,mne,42,pixelate,1,89.370000,10000
cifar10,mne,42,pixelate,2,86.300000,10000
cifar10,mne,42,pixelate,3,83.100000,10000
cifar10,mne,42,pixelate,4,67.500000,10000
cifar10,mne,42,pixelate,5,46.060000,10000
cifar10,mne,42,jpeg_compression,1,86.420000,10000
cifar10,mne,42,jpeg_compression,2,84.050000,10000
cifar10,mne,42,jpeg_compression,3,83.040000,10000
cifar10,mne,42,jpeg_compression,4,82.480000,10000
cifar10,mne,42,jpeg_compression,5,81.140000,10000
