dataset,method,seed,corruption,severity,accuracy,n_samples
cifar10,onesided,42,clean,0,90.330000,10000
cifar10,onesided,42,gaussian_noise,1,81.230000,10000
cifar10,onesided,42,gaussian_noise,2,67.150000,10000
cifar10,onesided,42,gaussian_noise,3,52.560000,10000
cifar10,onesided,42,gaussian_noise,4,45.800000,10000
cifar10,onesided,42,gaussian_noise,5,39.210000,10000
cifar10,onesided,42,shot_noise,1,85.680000,10000
cifar10,onesided,42,shot_noise,2,79.580000,10000
cifar10,onesided,42,shot_noise,3,63.490000,10000
cifar10,onesided,42,shot_noise,4,56.920000,10000
cifar10,onesided,42,shot_noise,5,45.920000,10000
cifar10,onesided,42,impulse_noise,1,87.380000,10000
cifar10,onesided,42,impulse_noise,2,82.640000,10000
cifar10,onesided,42,impulse_noise,3,75.970000,10000
cifar10,onesided,42,impulse_noise,4,57.190000,10000
cifar10,onesided,42,impulse_noise,5,38.020000,10000
cifar10,onesided,42,defocus_blur,1,89.840000,10000
cifar10,onesided,42,defocus_blur,2,88.290000,10000
cifar10,onesided,42,defocus_blur,3,83.690000,10000
cifar10,onesided,42,defocus_blur,4,76.470000,10000
cifar10,onesided,42,defocus_blur,5,60.860000,10000
cifar10,onesided,42,glass_blur,1,55.340000,10000
cifar10,onesided,42,glass_blur,2,58.200000,10000
cifar10,onesided,42,glass_blur,3,64.480000,10000
cifar10,onesided,42,glass_blur,4,40.980000,10000
cifar10,onesided,42,glass_blur,5,47.260000,10000
cifar10,onesided,42,motion_blur,1,84.280000,10000
cifar10,onesided,42,motion_blur,2,76.320000,10000
cifar10,onesided,42,motion_blur,3,68.580000,10000
cifar10,onesided,42,motion_blur,4,68.540000,10000
cifar10,onesided,42,motion_blur,5,61.500000,10000
cifar10,onesided,42,zoom_blur,1,82.800000,10000
cifar10,onesided,42,zoom_blur,2,81.480000,10000
cifar10,onesided,42,zoom_blur,3,77.270000,10000
cifar10,onesided,42,zoom_blur,4,73.810000,10000
cifar10,onesided,42,zoom_blur,5,66.910000,10000
cifar10,onesided,42,snow,1,87.060000,10000
cifar10,onesided,42,snow,2,72.960000,10000
cifar10,onesided,42,snow,3,78.400000,10000
cifar10,onesided,42,snow,4,75.730000,10000
cifar10,onesided,42,snow,5,69.560000,10000
cifar10,onesided,42,frost,1,87.010000,10000
cifar10,onesided,42,frost,2,81.690000,10000
cifar10,onesided,42,frost,3,72.020000,10000
cifar10,onesided,42,frost,4,69.760000,10000
cifar10,onesided,42,frost,5,58.000000,10000
cifar10,onesided,42,fog,1,89.730000,10000
cifar10,onesided,42,fog,2,88.650000,10000
cifar10,onesided,42,fog,3,87.260000,10000
cifar10,onesided,42,fog,4,84.330000,10000
cifar10,onesided,42,fog,5,75.050000,10000
cifar10,onesided,42,brightness,1,90.240000,10000
cifar10,onesided,42,brightness,2,89.770000,10000
cifar10,onesided,42,brightness,3,89.210000,10000
cifar10,onesided,42,brightness,4,88.660000,10000
cifar10,onesided,42,brightness,5,87.490000,10000
cifar10,onesided,42,contrast,1,89.270000,10000
cifar10,onesided,42,contrast,2,86.010000,10000
cifar10,onesided,42,contrast,3,83.210000,10000
cifar10,onesided,42,contrast,4,76.590000,10000
cifar10,onesided,42,contrast,5,44.240000,10000
cifar10,onesided,42,elastic_transform,1,85.070000,10000
cifar10,onesided,42,elastic_transform,2,85.370000,10000
cifar10,onesided,42,elastic_transform,3,82.220000,10000
cifar10,onesided,42,elastic_transform,4,79.560000,10000
cifar10,onesided,42,elastic_transform,5,77.700000,10000
cifar10,onesided,42,pixelate,1,88.790000,10000
cifar10,onesided,42,pixelate,2,85.000000,10000
cifar10,onesided,42,pixelate,3,81.910000,10000
cifar10,onesided,42,pixelate,4,65.040000,10000
cifar10,onesided,42,pixelate,5,44.100000,10000
cifar10,onesided,42,jpeg_compression,1,87.430000,10000
cifar10,onesided,42,jpeg_compression,2,85.260000,10000
cifar10,onesided,42,jpeg_compression,3,84.130000,10000
cifar10,onesided,42,jpeg_compression,4,83.120000,10000
cifar10,onesided,42,jpeg_compression,5,81.340000,10000
