dataset,method,seed,corruption,severity,accuracy,n_samples
cifar100,l2wo,42,clean,0,63.470000,10000
cifar100,l2wo,42,gaussian_noise,1,46.300000,10000
cifar100,l2wo,42,gaussian_noise,2,34.470000,10000
cifar100,l2wo,42,gaussian_noise,3,24.720000,10000
cifar100,l2wo,42,gaussian_noise,4,21.280000,10000
cifar100,l2wo,42,gaussian_noise,5,18.830000,10000
cifar100,l2wo,42,shot_noise,1,52.530000,10000
cifar100,l2wo,42,shot_noise,2,44.680000,10000
cifar100,l2wo,42,shot_noise,3,31.500000,10000
cifar100,l2wo,42,shot_noise,4,26.790000,10000
cifar100,l2wo,42,shot_noise,5,21.040000,10000
cifar100,l2wo,42,impulse_noise,1,61.250000,10000
cifar100,l2wo,42,impulse_noise,2,57.750000,10000
cifar100,l2wo,42,impulse_noise,3,51.440000,10000
cifar100,l2wo,42,impulse_noise,4,37.290000,10000
cifar100,l2wo,42,impulse_noise,5,24.570000,10000
cifar100,l2wo,42,defocus_blur,1,62.730000,10000
cifar100,l2wo,42,defocus_blur,2,59.860000,10000
cifar100,l2wo,42,defocus_blur,3,54.820000,10000
cifar100,l2wo,42,defocus_blur,4,48.510000,10000
cifar100,l2wo,42,defocus_blur,5,35.510000,10000
cifar100,l2wo,42,glass_blur,1,24.070000,10000
cifar100,l2wo,42,glass_blur,2,26.510000,10000
cifar100,l2wo,42,glass_blur,3,29.830000,10000
cifar100,l2wo,42,glass_blur,4,18.030000,10000
cifar100,l2wo,42,glass_blur,5,21.290000,10000
cifar100,l2wo,42,motion_blur,1,55.460000,10000
cifar100,l2wo,42,motion_blur,2,48.570000,10000
cifar100,l2wo,42,motion_blur,3,40.660000,10000
cifar100,l2wo,42,motion_blur,4,40.660000,10000
cifar100,l2wo,42,motion_blur,5,33.700000,10000
cifar100,l2wo,42,zoom_blur,1,54.470000,10000
cifar100,l2wo,42,zoom_blur,2,52.480000,10000
cifar100,l2wo,42,zoom_blur,3,48.900000,10000
cifar100,l2wo,42,zoom_blur,4,45.170000,10000
cifar100,l2wo,42,zoom_blur,5,39.200000,10000
cifar100,l2wo,42,snow,1,59.630000,10000
cifar100,l2wo,42,snow,2,43.270000,10000
cifar100,l2wo,42,snow,3,50.390000,10000
cifar100,l2wo,42,snow,4,46.350000,10000
cifar100,l2wo,42,snow,5,37.820000,10000
cifar100,l2wo,42,frost,1,55.670000,10000
cifar100,l2wo,42,frost,2,47.990000,10000
cifar100,l2wo,42,frost,3,36.030000,10000
cifar100,l2wo,42,frost,4,34.240000,10000
cifar100,l2wo,42,frost,5,24.930000,10000
cifar100,l2wo,42,fog,1,62.560000,10000
cifar100,l2wo,42,fog,2,59.320000,10000
cifar100,l2wo,42,fog,3,55.170000,10000
cifar100,l2wo,42,fog,4,48.520000,10000
cifar100,l2wo,42,fog,5,32.160000,10000
cifar100,l2wo,42,brightness,1,63.290000,10000
cifar100,l2wo,42,brightness,2,62.910000,10000
cifar100,l2wo,42,brightness,3,62.230000,10000
cifar100,l2wo,42,brightness,4,60.680000,10000
cifar100,l2wo,42,brightness,5,57.790000,10000
cifar100,l2wo,42,contrast,1,61.960000,10000
cifar100,l2wo,42,contrast,2,56.980000,10000
cifar100,l2wo,42,contrast,3,52.820000,10000
cifar100,l2wo,42,contrast,4,46.010000,10000
cifar100,l2wo,42,contrast,5,25.170000,10000
cifar100,l2wo,42,elastic_transform,1,55.640000,10000
cifar100,l2wo,42,elastic_transform,2,56.120000,10000
cifar100,l2wo,42,elastic_transform,3,53.350000,10000
cifar100,l2wo,42,elastic_transform,4,51.130000,10000
cifar100,l2wo,42,elastic_transform,5,48.710000,10000
cifar100,l2wo,42,pixelate,1,60.920000,10000
cifar100,l2wo,42,pixelate,2,53.400000,10000
cifar100,l2wo,42,pixelate,3,46.950000,10000
cifar100,l2wo,42,pixelate,4,27.140000,10000
cifar100,l2wo,42,pixelate,5,12.000000,10000
cifar100,l2wo,42,jpeg_compression,1,57.750000,10000
cifar100,l2wo,42,jpeg_compression,2,54.240000,10000
cifar100,l2wo,42,jpeg_compression,3,52.760000,10000
cifar100,l2wo,42,jpeg_compression,4,50.800000,10000
cifar100,l2wo,42,jpeg_compression,5,48.720000,10000
