name,role,is_head,matched,n_params,out_channels,bn_name,if_name,risk_mean,risk_max,p_gt_tau,q_mean,q_max,q_os_mean,q_mean_pre_norm,kappa_mean
layer1.0,layer1,False,True,1728,64,layer1.1,layer1.2,4.312723159790039,7.011520862579346,1.0,16.250892639160156,27.046083450317383,16.250892639160156,3.0949175357818604,1.0
layer1.4,layer1,False,True,36864,64,layer1.5,layer1.6,0.48427215218544006,2.5464444160461426,0.078125,1.1610910892486572,9.18577766418457,1.1610910892486572,3.0949175357818604,1.0
layer2.0,layer2,False,True,73728,128,layer2.1,layer2.2,0.4940183162689209,1.5236413478851318,0.15625,1.1728265285491943,5.094565391540527,1.1728265285491943,3.0949175357818604,1.0
layer2.4,layer2,False,True,147456,128,layer2.5,layer2.6,0.4382200539112091,0.4382200539112091,0.0,1.0,1.0,1.0,3.0949175357818604,1.0
layer3.0,layer3,False,True,294912,256,layer3.1,layer3.2,0.6141149401664734,1.0456069707870483,0.71875,1.5156903266906738,3.1824278831481934,1.5156903266906738,3.0949175357818604,1.0
layer3.4,layer3,False,True,589824,256,layer3.5,layer3.6,0.4384349584579468,0.4932379722595215,0.0,1.0,1.0,1.0,3.0949175357818604,1.0
layer3.8,layer3,False,True,589824,256,layer3.9,layer3.10,0.5873861908912659,1.1131197214126587,0.57421875,1.444378137588501,3.4524788856506348,1.444378137588501,3.0949175357818604,1.0
layer4.0,layer4,False,True,1179648,512,layer4.1,layer4.2,2.78607177734375,6.424011707305908,1.0,10.144287109375,24.696046829223633,10.144287109375,3.0949175357818604,1.0
layer4.4,layer4,False,True,2359296,512,layer4.5,layer4.6,0.4382200539112091,0.4382200539112091,0.0,1.0,1.0,1.0,3.0949175357818604,1.0
layer4.8,layer4,False,True,2359296,512,layer4.9,layer4.10,0.4382200539112091,0.4382200539112091,0.0,1.0,1.0,1.0,3.0949175357818604,1.0
layer5.0,layer5,False,True,2359296,512,layer5.1,layer5.2,0.4382200539112091,0.4382200539112091,0.0,1.0,1.0,1.0,3.0949175357818604,1.0
layer5.4,layer5,False,True,2359296,512,layer5.5,layer5.6,0.4382200539112091,0.4382200539112091,0.0,1.0,1.0,1.0,3.0949175357818604,1.0
layer5.8,layer5,False,True,2359296,512,layer5.9,layer5.10,0.4394460916519165,0.6450077891349792,0.005859375,1.0026967525482178,1.580031156539917,1.0026967525482178,3.0949175357818604,1.0
classifier.1,classifier_head,True,True,2097152,4096,,classifier.2,1.3797619342803955,1.3797619342803955,1.0,4.519047737121582,4.519047737121582,4.519047737121582,3.0949175357818604,1.0
classifier.4,classifier_head,True,True,16777216,4096,,classifier.5,1.2707602977752686,1.2707602977752686,1.0,4.083041191101074,4.083041191101074,4.083041191101074,3.0949175357818604,1.0
classifier.7,classifier_head,True,False,40960,10,,,nan,nan,nan,1.0,1.0,1.0,1.0,1.0
