epoch,alpha,q_assignment,q_mean,q_mean_pre_norm,q_tilde_mean,q_std,q_min,q_max,q_os_mean,q_os_std,p_gt_tau,p_at_qmax,q_cap,mean_normalize_q,ga_mode,ga_kappa_res_mean,ga_kappa_sc_mean,ga_frac_phi_neg_res,ga_cov_mean,mne_grad_match_scale,mne_ref_grad_norm,reg_grad_norm,reg_coeff_grad_norm,ce_grad_norm,reg_ce_ratio,ann_train_acc,ann_test_acc,train_loss
0.0,0.25,risk,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.1988931873929687e-06,0.6597937941551208,0.0,0.0,0.0,off,1.0,1.0,0.0,0.0,,,4.226295609187354,0.00042262956091873545,1.1308953316828507,0.00037371235788004656,15.138,19.38,867.680023431778
1.0,0.25,risk,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.1988931873929687e-06,0.6597937941551208,0.0,0.0,0.0,off,1.0,1.0,0.0,0.0,,,3.506514663773544,0.0003506514663773544,0.8933515474093857,0.0003925122952931602,18.458,22.06,819.528538107872
2.0,0.25,risk,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.1988931873929687e-06,0.6597937941551208,0.0,0.0,0.0,off,1.0,1.0,0.0,0.0,,,3.249620618686387,0.0003249620618686387,1.2064142632230772,0.0002693619196779591,21.136,26.14,792.7625834941864
3.0,0.25,risk,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.1988931873929687e-06,0.6597937941551208,0.0,0.0,0.0,off,1.0,1.0,0.0,0.0,,,3.523718549958568,0.0003523718549958568,1.072192640735731,0.00032864603020783817,23.83,32.48,765.5273994207382
4.0,0.25,risk,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.1988931873929687e-06,0.6597937941551208,0.0,0.0,0.0,off,1.0,1.0,0.0,0.0,,,4.978724409595478,0.0004978724409595479,0.9926067777791164,0.000501580738823384,26.572,32.98,740.9598522186279
5.0,0.25,risk,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.1988931873929687e-06,0.6597937941551208,0.0,0.0,0.0,off,1.0,1.0,0.0,0.0,,,7.316801686653693,0.0007316801686653693,0.9368170349655854,0.000781027822249462,29.678,34.47,719.0925991535187
6.0,0.25,risk,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.1988931873929687e-06,0.6597937941551208,0.0,0.0,0.0,off,1.0,1.0,0.0,0.0,,,9.085073843529473,0.0009085073843529474,0.930203861474504,0.0009766755675608952,31.572,40.47,702.2600980997086
7.0,0.25,risk,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.1988931873929687e-06,0.6597937941551208,0.0,0.0,0.0,off,1.0,1.0,0.0,0.0,,,12.03839091768172,0.001203839091768172,0.9810720261845783,0.0012270649449153516,33.148,42.85,690.517733335495
8.0,0.25,risk,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.1988931873929687e-06,0.6597937941551208,0.0,0.0,0.0,off,1.0,1.0,0.0,0.0,,,14.389539942008362,0.0014389539942008362,1.1019437791812303,0.0013058324947122187,35.462,45.55,677.5170387029648
9.0,0.25,risk,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.1988931873929687e-06,0.6597937941551208,0.0,0.0,0.0,off,1.0,1.0,0.0,0.0,,,15.993114889829908,0.0015993114889829908,0.9264545766137269,0.0017262708063126152,38.06,47.77,658.8706238269806
